bund_nr,lfd_nr,baumkennzahl,zwiesel,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
130026,25,1,0,hbu,25,1,115,130,NA,NA,295,1116,4,2
130026,26,1,0,hbu,25,1,176,130,NA,NA,294,1122,3,2
130026,27,1,0,gki,82,1,357,130,NA,NA,307,901,3,1
130026,28,1,0,gki,82,1,260,130,NA,NA,313,883,3,1
130026,29,3,0,hbu,25,1,NA,NA,NA,NA,314,595,NA,NA
130026,30,3,0,hbu,25,1,NA,NA,NA,NA,315,424,NA,NA
130026,31,3,0,gki,82,1,NA,NA,NA,NA,313,336,NA,NA
130026,32,1,2,rbu,25,1,125,130,NA,NA,295,307,3,2
130026,33,1,2,rbu,55,5,217,130,NA,NA,285,319,2,2
130026,34,1,0,gki,82,1,287,130,237,199,262,257,2,1
130026,35,1,0,gki,82,1,366,130,NA,NA,268,679,1,1
130026,36,3,0,hbu,25,1,NA,NA,NA,NA,283,735,NA,NA
130026,37,1,0,bah,55,5,265,130,NA,NA,277,1042,1,2
130026,38,1,0,gki,82,1,388,130,NA,NA,270,1467,2,1
130026,39,1,0,gki,82,1,365,130,NA,NA,262,1579,1,1
130026,40,1,0,gki,82,1,325,130,NA,NA,249,1677,2,1
130026,41,1,0,rbu,55,5,200,130,NA,NA,243,1254,2,2
130026,42,1,0,gki,82,1,307,130,NA,NA,235,1082,2,1
130026,43,1,0,hbu,55,5,202,130,NA,NA,250,954,2,2
130026,44,3,0,gki,82,1,NA,NA,NA,NA,244,913,NA,NA
130026,45,7,0,gki,82,1,NA,NA,NA,NA,132,1437,NA,NA
130026,46,1,0,gki,82,1,346,130,NA,NA,219,1510,2,1
130026,47,1,0,gki,82,1,351,130,NA,NA,202,1491,2,1
130026,48,1,0,ela,82,1,308,130,256,116,184,1284,3,1
130026,49,1,0,gki,82,1,307,130,NA,NA,190,1112,2,1
130026,50,1,0,gki,82,1,335,130,NA,NA,186,825,2,1
130026,51,1,0,gki,82,1,300,130,258,159,216,909,2,1
130026,52,1,0,hbu,55,5,185,130,NA,NA,231,608,2,2
130026,53,1,0,hbu,25,1,119,130,NA,NA,234,608,4,2
130026,54,1,0,gki,82,1,213,130,NA,NA,215,514,3,1
130026,55,3,0,gki,82,1,NA,NA,NA,NA,194,325,NA,NA
130026,56,1,0,rbu,25,1,154,130,NA,NA,180,305,2,2
130026,57,1,0,rbu,55,5,183,130,226,111,163,552,3,2
130026,58,1,0,rbu,55,5,210,130,NA,NA,175,568,2,2
130026,59,1,0,gki,82,1,366,130,NA,NA,159,658,1,1
130026,60,1,0,gki,82,1,264,130,NA,NA,160,917,2,1
130026,61,1,0,gki,82,1,355,130,NA,NA,146,873,2,1
130026,62,1,0,hbu,25,1,144,130,135,61,137,929,3,2
130026,63,1,0,rbu,55,5,209,130,177,88,142,987,1,2
130026,64,1,0,gki,82,1,354,130,NA,NA,149,1232,2,1
130026,65,3,0,gki,82,1,NA,NA,NA,NA,165,1248,NA,NA
130026,66,1,0,gki,82,1,318,130,NA,NA,140,1556,3,1
130026,67,1,0,ela,82,1,355,130,285,162,128,1536,2,1
130026,68,1,0,gki,82,1,355,130,278,210,112,1262,2,1
130026,69,1,0,gki,82,1,469,130,304,218,97,877,1,1
130026,70,1,1,rbu,55,5,247,130,205,113,81,697,2,2
130026,71,1,0,gki,82,1,329,130,NA,NA,115,451,2,1
130026,72,1,0,gki,82,1,283,130,NA,NA,74,957,3,1
130027,1,1,0,gki,105,1,364,130,NA,NA,265,184,2,1
130027,2,2,0,sbi,40,5,NA,NA,NA,NA,247,268,NA,NA
130027,3,1,0,gfi,60,5,218,130,205,59,300,298,2,2
130027,4,2,0,gki,105,1,NA,NA,NA,NA,318,380,NA,NA
130027,5,2,0,sbi,40,5,NA,NA,NA,NA,325,402,NA,NA
130027,6,2,0,gki,105,1,NA,NA,NA,NA,330,561,NA,NA
130027,7,1,0,gki,105,1,475,130,NA,NA,276,591,1,1
130027,8,1,0,gki,105,1,351,130,325,262,254,1460,2,1
130027,9,2,0,gki,105,1,NA,NA,NA,NA,286,1653,NA,NA
130027,10,2,0,sbi,40,5,NA,NA,NA,NA,289,1201,NA,NA
130027,11,1,0,gki,105,1,433,130,NA,NA,298,1386,2,1
130027,12,2,0,gki,105,1,NA,NA,NA,NA,318,1111,NA,NA
130027,13,1,0,rbu,60,5,333,150,229,23,320,871,2,2
130027,14,1,0,rbu,60,5,296,130,230,39,353,1129,2,2
130027,15,1,0,gfi,60,5,313,130,242,79,383,479,1,2
130027,16,2,0,sbi,105,1,NA,NA,NA,NA,25,259,NA,NA
130027,17,2,0,gki,105,1,NA,NA,NA,NA,52,321,NA,NA
130027,18,1,0,gki,105,1,553,130,345,248,19,886,1,1
