"";"plot_ID";"inv_year";"dw_sp";"dw_type";"decay";"compartiment";"B_t_ha";"C_t_ha";"N_t_ha";"plot_A_ha";"stand_component";"n_ha"
"205";50006;2012;"all";"1";"4";"ag";1,16296375712338;0,581481878561688;0,00828497671529231;NA;"DW";NA
"206";50006;2012;"all";"1";"5";"ag";0,347535293511921;0,173767646755961;0,00251163756621065;NA;"DW";NA
"207";50006;2012;"all";"3";"3";"ag";0,845883951466869;0,422941975733435;0,00611320331725107;NA;"DW";NA
"208";50006;2012;"all";"4";"4";"ag";0,631696254781357;0,315848127390678;0,00412780157759675;NA;"DW";NA
"209";50006;2012;"all";"1";"all";"ag";9,1212218486994;4,5606109243497;0,0657993079431123;NA;"DW";NA
"210";50006;2012;"all";"3";"all";"ag";0,845883951466869;0,422941975733435;0,00611320331725107;NA;"DW";NA
"211";50006;2012;"all";"4";"all";"ag";0,631696254781357;0,315848127390678;0,00412780157759675;NA;"DW";NA
"212";50006;2012;"all";"all";"2";"ag";1,47642034252476;0,738210171262379;0,0106700898154264;NA;"DW";NA
"213";50006;2012;"all";"all";"3";"ag";6,98018640700622;3,49009320350311;0,0504458071634339;NA;"DW";NA
"214";50006;2012;"all";"all";"4";"ag";1,79466001190473;0,897330005952365;0,0124127782928891;NA;"DW";NA
"215";50006;2012;"all";"all";"5";"ag";0,347535293511921;0,173767646755961;0,00251163756621065;NA;"DW";NA
"216";50006;2012;"2";"all";"all";"ag";9,82487203668869;4,91243601834434;0,0710043502091491;NA;"DW";NA
"217";50006;2012;"3";"all";"all";"ag";0,773930018258946;0,386965009129472;0,00503596262881096;NA;"DW";NA
"218";50006;2012;"all";"all";"all";"ag";10,5988020549476;5,29940102747381;0,0760403128379601;NA;"DW";379,738839156273
"219";50007;2012;"2";"1";"2";"ag";0,467147711604101;0,233573855802049;0,00337607651176283;NA;"DW";NA
"220";50007;2012;"2";"1";"3";"ag";2,82454459376986;1,41227229688493;0,0204129837791748;NA;"DW";NA
"221";50007;2012;"2";"1";"4";"ag";0,415480797968661;0,20774039898433;0,00300267972691951;NA;"DW";NA
"222";50007;2012;"2";"3";"3";"ag";0,164380740454239;0,0821903702271193;0,00118797961126278;NA;"DW";NA
"223";50007;2012;"2";"4";"5";"ag";0,0340584587641683;0,0170292293820841;0,000246140481488645;NA;"DW";NA
"224";50007;2012;"2";"1";"all";"ag";3,70717310334263;1,85358655167131;0,0267917400178572;NA;"DW";NA
"225";50007;2012;"2";"3";"all";"ag";0,164380740454239;0,0821903702271193;0,00118797961126278;NA;"DW";NA
"226";50007;2012;"2";"4";"all";"ag";0,0340584587641683;0,0170292293820841;0,000246140481488645;NA;"DW";NA
"227";50007;2012;"2";"all";"2";"ag";0,467147711604101;0,233573855802049;0,00337607651176283;NA;"DW";NA
"228";50007;2012;"2";"all";"3";"ag";2,9889253342241;1,49446266711205;0,0216009633904376;NA;"DW";NA
"229";50007;2012;"2";"all";"4";"ag";0,415480797968661;0,20774039898433;0,00300267972691951;NA;"DW";NA
"230";50007;2012;"2";"all";"5";"ag";0,0340584587641683;0,0170292293820841;0,000246140481488645;NA;"DW";NA
"231";50007;2012;"all";"1";"2";"ag";0,467147711604101;0,233573855802049;0,00337607651176283;NA;"DW";NA
