"";"plot_ID";"stand";"SP_code";"C_layer";"age_period";"annual_growth_cm";"stand_component";"stand_type";"compartiment";"B_t_ha_diff";"C_t_ha_diff";"N_t_ha_diff";"n_ha_diff";"n_SP_diff";"BA_percent_diff"
"158";"140053";"A";"isk";"2";10;1,71;"LT";1;"sb";0,398707225539126;0,199353612769563;0,00172999065161427;NA;NA;NA
"159";"140053";"A";"isk";"2";10;1,71;"LT";1;"stb";0,0130311876899408;0,00651559384497038;5,65423233866529e-05;NA;NA;NA
"160";"140053";"A";"isk";"2";10;1,71;"LT";1;"stw";0,103363259586258;0,0516816297931289;8,20704281114888e-05;NA;NA;NA
"161";"140053";"A";"isk";"2";10;1,71;"LT";1;"sw";3,27137915651014;1,63568957825507;0,00259747505026905;NA;NA;NA
"162";"140053";"A";"isk";"2";10;1,71;"LT";1;"total";3,39806292242152;1,69903146121076;0,011734895534198;NA;NA;NA
"163";"140053";"A";"sbi";"1";10;0,2;"LT";1;"ag";3,5685679961248;1,7842839980623;0,005197317057378;NA;NA;NA
"164";"140053";"A";"sbi";"1";10;0,2;"LT";1;"bg";0,18245509754276;0,0912275487713801;0,00067508386090818;NA;NA;NA
"165";"140053";"A";"sbi";"1";10;0,2;"LT";1;"fwb";-2,5411092888012;-1,27055464440062;-0,0153914989622693;NA;NA;NA
"166";"140053";"A";"sbi";"1";10;0,2;"LT";1;"ndl";-0,25717469941517;-0,128587349707584;0;NA;NA;NA
"167";"140053";"A";"sbi";"1";10;0,2;"LT";1;"sb";0,55497002757563;0,27748501378781;0,0034025212390662;NA;NA;NA
"168";"140053";"A";"sbi";"1";10;0,2;"LT";1;"stb";0,00902446355979711;0,0045122317798985;5,53289860851161e-05;NA;NA;NA
"169";"140053";"A";"sbi";"1";10;0,2;"LT";1;"stw";0,21919588965934;0,109597944829671;0,00040069008629728;NA;NA;NA
"170";"140053";"A";"sbi";"1";10;0,2;"LT";1;"sw";9,1522295996712;4,5761147998357;0,0167302757081988;NA;NA;NA
"171";"140053";"A";"sbi";"1";10;0,2;"LT";1;"total";3,65979554489619;1,829897772448;0,005872400918287;NA;NA;NA
"172";"140053";"A";"sbi";"2";10;1,65;"LT";1;"ag";3,5685679961248;1,7842839980623;0,005197317057378;NA;NA;NA
"173";"140053";"A";"sbi";"2";10;1,65;"LT";1;"bg";0,18245509754276;0,0912275487713801;0,00067508386090818;NA;NA;NA
"174";"140053";"A";"sbi";"2";10;1,65;"LT";1;"fwb";-2,5411092888012;-1,27055464440062;-0,0153914989622693;NA;NA;NA
"175";"140053";"A";"sbi";"2";10;1,65;"LT";1;"ndl";-0,25717469941517;-0,128587349707584;0;NA;NA;NA
"176";"140053";"A";"sbi";"2";10;1,65;"LT";1;"sb";0,55497002757563;0,27748501378781;0,0034025212390662;NA;NA;NA
"177";"140053";"A";"sbi";"2";10;1,65;"LT";1;"stb";0,00902446355979711;0,0045122317798985;5,53289860851161e-05;NA;NA;NA
