"stand_component","plot_ID","stand","stand_type","C_layer","SP_code","compartiment","age_period","annual_growth_cm","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_SP_diff","mean_DBH_cm_diff","sd_DBH_cm_diff","Dg_cm_diff","mean_BA_m2_diff","mean_H_m_diff","sd_H_m_diff","Hg_m_diff","BA_percent_diff","dw_sp","dw_type","ST_LY_type","decay","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff","B_t_ha_BZE3","C_t_ha_BZE3","N_t_ha_BZE3","B_t_ha_HBI","C_t_ha_HBI","N_t_ha_HBI"
"DW","140037",NA,NA,NA,NA,"stb",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4",NA,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stw",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","4",NA,"all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stb",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stw",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stb",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stw",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","all",NA,"all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","1","L","all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","1",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","1",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","1",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","4","L","all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stb",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","4","L","all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stw",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","4","L","all",NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"ag",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","4",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stb",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","4",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DW","140037",NA,NA,NA,NA,"stw",NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"all","4",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
