"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"CCS_RG_inv_status";"CCS_max_dist_cm"
"387";50097;3;"s";1000;1;97
"388";50097;4;"w";1000;1;37
"389";50098;3;"s";1000;1;265
"390";50098;4;"w";1000;1;162
"391";50098;2;"o";1000;1;200
"392";50098;1;"n";1000;1;157
"393";50099;2;"o";1000;2;-9
"394";50099;1;"n";1000;2;-9
"395";50099;3;"s";1000;2;-9
"396";50099;4;"w";1000;2;-9
"397";50100;4;"w";1000;2;-9
"398";50100;3;"s";1000;1;431
"399";50100;1;"n";1000;1;448
"400";50100;2;"o";1000;1;358
"401";50101;3;"s";1000;1;106
"402";50101;1;"n";1000;2;-9
"403";50101;2;"o";1000;1;490
"404";50101;4;"w";1000;1;213
"405";50102;4;"w";1000;1;40
"406";50102;1;"n";1000;1;60
"407";50102;2;"o";1000;1;110
"408";50102;3;"s";1000;1;60
"409";50103;1;"n";1000;2;-9
"410";50103;4;"w";1000;2;-9
"411";50103;2;"o";1000;2;-9
"412";50103;3;"s";1000;2;-9
"413";50104;4;"w";1000;2;-9
"414";50104;3;"s";1000;2;-9
"415";50104;1;"n";1000;2;-9
"416";50104;2;"o";1000;2;-9
"417";50105;4;"w";1000;1;353
"418";50105;1;"n";1000;1;412
"419";50105;2;"o";1000;1;450
"420";50105;3;"s";1000;1;415
"421";50106;4;"w";1000;2;-9
"422";50106;1;"n";1000;2;-9
"423";50106;2;"o";1000;2;-9
"424";50106;3;"s";1000;1;410
"425";50107;2;"o";1000;1;465
"426";50107;1;"n";1000;1;270
"427";50107;4;"w";1000;1;120
"428";50107;3;"s";1000;1;455
"429";50108;1;"n";1000;1;110
"430";50108;3;"s";1000;1;95
"431";50108;2;"o";1000;1;85
"432";50108;4;"w";500;1;80
"433";50109;1;"n";1000;1;399
"434";50109;3;"s";500;1;462
"435";50109;2;"o";1000;1;380
"436";50109;4;"nw";1000;1;193
"437";50110;3;"s";1000;1;300
"438";50110;4;"w";1000;1;397
"439";50110;2;"o";500;1;98
"440";50110;1;"n";1000;1;150
"441";50111;1;"n";1000;2;-9
"442";50111;4;"w";1000;2;-9
"443";50111;2;"o";1000;2;-9
"444";50111;3;"s";1000;1;223
"445";50112;4;"w";1000;1;440
"446";50112;2;"o";1000;2;-9
"447";50112;3;"s";1000;2;-9
"448";50112;1;"n";1000;2;-9
"449";50113;2;"o";1000;1;52
"450";50113;4;"w";1000;1;18
"451";50113;1;"n";1000;1;25
"452";50113;3;"s";1000;1;67
"453";50114;3;"s";1000;1;409
"454";50114;4;"w";1000;1;301
"455";50114;1;"n";1000;1;473
"456";50114;2;"o";1000;1;175
"457";50115;3;"s";1000;1;124
"458";50115;2;"o";1000;1;190
"459";50115;1;"n";1000;1;41
"460";50115;4;"w";1000;1;105
"461";50116;4;"w";1000;1;100
"462";50116;3;"s";1000;1;80
"463";50116;2;"o";1000;1;82
"464";50116;1;"n";1000;1;36
"465";50117;2;"o";1000;1;415
"466";50117;4;"w";1000;2;-9
"467";50117;3;"s";1000;2;-9
"468";50117;1;"n";1000;1;450
"469";50118;3;"s";1000;1;321
"470";50118;1;"n";1000;1;143
"471";50118;4;"w";1000;1;286
"472";50118;2;"o";1000;1;205
"473";50119;4;"w";1000;1;49
"474";50119;1;"n";1000;1;205
"475";50119;2;"o";1000;1;120
"476";50119;3;"s";1000;1;177
"477";50120;2;"o";1000;1;125
"478";50120;1;"n";1000;1;500
"479";50120;3;"s";1000;1;240
"480";50120;4;"w";1000;1;145
"481";50121;1;"n";1000;1;490
"482";50121;4;"w";1000;1;410
"483";50121;2;"o";1000;1;460
"484";50121;3;"s";1000;1;400
"485";50122;4;"w";500;1;437
"486";50122;3;"s";1000;2;-9
"487";50122;2;"o";1000;2;-9
"488";50122;1;"n";1000;2;-9
"489";50123;2;"o";1000;2;-9
"490";50123;1;"n";1000;2;-9
"491";50123;3;"s";1000;2;-9
"492";50123;4;"w";1000;2;-9
"493";50124;3;"s";1000;1;55
"494";50124;4;"w";1000;1;497
"495";50124;2;"o";1000;1;495
"496";50124;1;"n";1000;1;447
"497";50125;3;"s";1000;1;185
"498";50125;4;"w";1000;1;347
"499";50125;1;"n";1000;1;280
"500";50125;2;"o";1000;1;180
"501";50126;3;"s";1000;1;153
"502";50126;1;"n";1000;1;243
"503";50126;4;"w";1000;1;93
"504";50126;2;"o";1000;1;212
"505";50127;4;"w";1000;1;476
"506";50127;3;"s";1000;1;485
"507";50127;2;"o";1000;1;220
"508";50127;1;"n";1000;1;429
"509";50128;1;"n";1000;2;-9
"510";50128;3;"s";1000;2;-9
"511";50128;2;"o";1000;2;-9
"512";50128;4;"w";1000;2;-9
"513";50129;3;"s";1000;2;-9
"514";50129;2;"o";1000;2;-9
"515";50129;1;"n";1000;2;-9
