"plot_ID","inv","dw_sp","dw_type","decay","compartiment","B_t_ha","C_t_ha","N_t_ha","inv_year","stand_component","ST_LY_type","mean_d_cm","sd_d_cm","mean_l_m","sd_l_m","n_ha","n_dec","n_dw_TY"
140001,"HBI","all","5","all","ag",6.71522992839979,3.3576149641999,0.0222991082171919,NA,"DW","L",12.7142857142857,3.81725406168211,9.15714285714286,1.00142755247554,NA,NA,NA
140001,"HBI","all","5","all","fwb",2.80426789487906,1.40213394743953,0.0129024365843386,NA,"DW","L",12.7142857142857,3.81725406168211,9.15714285714286,1.00142755247554,NA,NA,NA
140001,"HBI","all","5","all","sb",0.246759666520264,0.123379833260132,0.00178333210994195,NA,"DW","L",12.7142857142857,3.81725406168211,9.15714285714286,1.00142755247554,NA,NA,NA
140001,"HBI","all","5","all","stb",0.00772801748375748,0.00386400874187874,5.58503823551153e-05,NA,"DW","L",12.7142857142857,3.81725406168211,9.15714285714286,1.00142755247554,NA,NA,NA
140001,"HBI","all","5","all","stw",0.114928773812821,0.0574643869064107,0.000153429913040116,NA,"DW","L",12.7142857142857,3.81725406168211,9.15714285714286,1.00142755247554,NA,NA,NA
140001,"HBI","all","5","all","sw",3.08735414937133,1.54367707468566,0.00412161778941072,NA,"DW","L",12.7142857142857,3.81725406168211,9.15714285714286,1.00142755247554,NA,NA,NA
140001,"HBI","all","all","1","ag",5.26884855178824,2.63442427589412,0.0157932830036181,NA,"DW",NA,13.75,4.5,9.45,1.70977581376429,NA,NA,NA
140001,"HBI","all","all","1","fwb",2.28717974665115,1.14358987332557,0.0105233140143419,NA,"DW",NA,13.75,4.5,9.45,1.70977581376429,NA,NA,NA
140001,"HBI","all","all","1","sb",0.212263798182607,0.106131899091304,0.0015340304694657,NA,"DW",NA,13.75,4.5,9.45,1.70977581376429,NA,NA,NA
140001,"HBI","all","all","1","stb",0.00658228708863961,0.0032911435443198,4.75701887895984e-05,NA,"DW",NA,13.75,4.5,9.45,1.70977581376429,NA,NA,NA
140001,"HBI","all","all","1","stw",0.0980937210860121,0.0490468605430061,0.000130955117649826,NA,"DW",NA,13.75,4.5,9.45,1.70977581376429,NA,NA,NA
140001,"HBI","all","all","1","sw",2.66472899877984,1.33236449938992,0.00355741321337109,NA,"DW",NA,13.75,4.5,9.45,1.70977581376429,NA,NA,NA
140001,"HBI","all","all","2","ag",5.22321896076334,2.61160948038167,0.0204592798495531,NA,"DW",NA,13.3333333333333,2.25092573548455,7.11666666666667,3.18648186353958,NA,NA,NA
140001,"HBI","all","all","2","fwb",2.0659547917242,1.0329773958621,0.00950545799672307,NA,"DW",NA,13.3333333333333,2.25092573548455,7.11666666666667,3.18648186353958,NA,NA,NA
