"plot_ID","LT_FSI_DBH_RMS_BZE3","LT_FSI_DBH_SD_BZE3","LT_FSI_H_SD_BZE3","LT_FSI_n_SP_BZE3","LT_FSI_bark_TY_BZE3","LT_FSI_V40_BZE3","LT_FSI_fruit_TY_BZE3","DW_FSI_n_dec_BZE3","DW_FSI_LY_mean_D_cm_BZE3","DW_FSI_ST_mean_D_cm_BZE3","RG_FSI_n_SP_BZE3","FSI_sum_BZE3","FSI_total_BZE3","LT_FSI_DBH_RMS_HBI","LT_FSI_DBH_SD_HBI","LT_FSI_H_SD_HBI","LT_FSI_n_SP_HBI","LT_FSI_bark_TY_HBI","LT_FSI_V40_HBI","LT_FSI_fruit_TY_HBI","DW_FSI_n_dec_HBI","DW_FSI_LY_mean_D_cm_HBI","DW_FSI_ST_mean_D_cm_HBI","RG_FSI_n_SP_HBI","FSI_sum_HBI","FSI_total_HBI","LT_FSI_DBH_RMS_diff","LT_FSI_DBH_SD_diff","LT_FSI_H_SD_diff","LT_FSI_n_SP_diff","LT_FSI_bark_TY_diff","LT_FSI_V40_diff","LT_FSI_fruit_TY_diff","DW_FSI_n_dec_diff","DW_FSI_LY_mean_D_cm_diff","DW_FSI_ST_mean_D_cm_diff","RG_FSI_n_SP_diff","FSI_sum_diff","FSI_total_diff","stand_component"
140057,0.745979532188852,0.636065155478279,0.402305418513899,0.222222222222222,0.4,0.399094523354097,0.4,1,0.18847867078403,0.408163265306122,0.571428571428571,4.8023087878475,0.436573526167955,0.745979532188852,0.636065155478279,0.402305418513899,0.222222222222222,0.4,0.399094523354097,0.4,1,0.18847867078403,0.408163265306122,0.571428571428571,4.8023087878475,0.436573526167955,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140058,0.472014842986729,0.317051967043466,0.314956379443829,0.222222222222222,0.3,0,0.2,0.75,0.643805227936555,0,0.428571428571429,3.2200506396328,0.292731876330255,0.472014842986729,0.317051967043466,0.314956379443829,0.222222222222222,0.3,0,0.2,0.75,0.643805227936555,0,0.428571428571429,3.2200506396328,0.292731876330255,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140059,0.506798782186185,0.541488979056713,0.686860521419495,1,0.8,0.0539253276405715,0.8,1,0.196018142592624,0.551020408163265,0.714285714285714,6.13611216105885,0.557828378278078,0.506798782186185,0.541488979056713,0.686860521419495,1,0.8,0.0539253276405715,0.8,1,0.196018142592624,0.551020408163265,0.714285714285714,6.13611216105885,0.557828378278078,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140060,0.432491138287471,0.473620319548983,0.40149323419085,0.888888888888889,1,0.126104484073145,0.8,1,0.329562120259795,0.363945578231292,0.857142857142857,5.81610576348043,0.52873688758913,0.432491138287471,0.473620319548983,0.40149323419085,0.888888888888889,1,0.126104484073145,0.8,1,0.329562120259795,0.363945578231292,0.857142857142857,5.81610576348043,0.52873688758913,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140061,0.637117926147258,0.435122294633759,0.245122311487785,0.333333333333333,0.5,0.0446959548644246,0.6,0.75,0.200502828409805,0.557823129251701,0.714285714285714,4.30371777812807,0.391247070738915,0.637117926147258,0.435122294633759,0.245122311487785,0.333333333333333,0.5,0.0446959548644246,0.6,0.75,0.200502828409805,0.557823129251701,0.714285714285714,4.30371777812807,0.391247070738915,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140062,0.566769895158671,0.204709063219912,0.394009974317285,0.111111111111111,0.2,0,0.2,0.75,0.239504262760077,0,0.714285714285714,2.66610430656705,0.242373118778823,0.566769895158671,0.204709063219912,0.394009974317285,0.111111111111111,0.2,0,0.2,0.75,0.239504262760077,0,0.714285714285714,2.66610430656705,0.242373118778823,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140063,0.66515141681169,0.706286272729651,0.793586105202281,0.333333333333333,0.4,0.171822932603107,0.6,0,0.00691389063482087,0,0.857142857142857,3.67709395131488,0.334281268301353,0.66515141681169,0.706286272729651,0.793586105202281,0.333333333333333,0.4,0.171822932603107,0.6,0,0.00691389063482087,0,0.857142857142857,3.67709395131488,0.334281268301353,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140064,0.358754230642956,0.187946092884602,0.287897176378039,0.111111111111111,0.2,0,0.2,0.5,0.0909868007542426,0.255102040816327,0.571428571428571,2.19179745258728,0.199254313871571,0.358754230642956,0.187946092884602,0.287897176378039,0.111111111111111,0.2,0,0.2,0.5,0.0909868007542426,0.255102040816327,0.571428571428571,2.19179745258728,0.199254313871571,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140067,0.484999837786467,0.297948872380962,0.251696958008038,0.111111111111111,0.1,0,0.2,0.75,0.393138126097228,0,0.857142857142857,2.58889490538381,0.235354082307619,0.484999837786467,0.297948872380962,0.251696958008038,0.111111111111111,0.1,0,0.2,0.75,0.393138126097228,0,0.857142857142857,2.58889490538381,0.235354082307619,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140068,0.718137792245174,0.906395625860149,0.732001299663533,0.444444444444444,0.5,0.197458257836201,0.4,0.75,0.580766813324953,0.551020408163265,0.714285714285714,5.78022464153772,0.52547496741252,0.718137792245174,0.906395625860149,0.732001299663533,0.444444444444444,0.5,0.197458257836201,0.4,0.75,0.580766813324953,0.551020408163265,0.714285714285714,5.78022464153772,0.52547496741252,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140187,0.662535463450184,0.802699007727846,0.78635115069275,0.222222222222222,0.2,0.0331400532283236,0.4,0.5,1,0.975510204081633,0.571428571428571,5.58245810140296,0.507496191036633,0.662535463450184,0.802699007727846,0.78635115069275,0.222222222222222,0.2,0.0331400532283236,0.4,0.5,1,0.975510204081633,0.571428571428571,5.58245810140296,0.507496191036633,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140252,0.885146210590258,0.360085613724701,0.146061452634694,0.111111111111111,0.2,0.644875421353325,0.2,0.75,0.557510999371465,0,0.714285714285714,3.85479080878555,0.350435528071414,0.885146210590258,0.360085613724701,0.146061452634694,0.111111111111111,0.2,0.644875421353325,0.2,0.75,0.557510999371465,0,0.714285714285714,3.85479080878555,0.350435528071414,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140254,0.346644673104748,0.287938772250188,0.31781294685887,0.777777777777778,0.8,0,1,0.75,0.251999393138126,0,0.571428571428571,4.53217356312971,0.412015778466337,0.346644673104748,0.287938772250188,0.31781294685887,0.777777777777778,0.8,0,1,0.75,0.251999393138126,0,0.571428571428571,4.53217356312971,0.412015778466337,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140315,0.800959335914483,1,0.992927520158992,0.333333333333333,0.5,0.693587878905448,0.8,0.5,0.439346323067253,1,0.142857142857143,7.06015439137951,0.641832217398137,0.800959335914483,1,0.992927520158992,0.333333333333333,0.5,0.693587878905448,0.8,0.5,0.439346323067253,1,0.142857142857143,7.06015439137951,0.641832217398137,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140316,0.499743638604031,0.358253634897179,0.378299757226045,0.333333333333333,0.4,0,0.4,0.5,0.165304839723444,0.448979591836735,0.428571428571429,3.48391479562077,0.316719526874615,0.499743638604031,0.358253634897179,0.378299757226045,0.333333333333333,0.4,0,0.4,0.5,0.165304839723444,0.448979591836735,0.428571428571429,3.48391479562077,0.316719526874615,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
