"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv","rem_reason"
140029,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140029,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140029,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140029,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140030,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140030,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140030,3,"s",130,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140030,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140031,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140031,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140031,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140031,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140032,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140032,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140032,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140032,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140033,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140033,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140033,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140033,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140034,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140034,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140034,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140034,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140035,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140035,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140035,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140035,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140036,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140036,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140036,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140036,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140056,4,"w",1600,3,-1,2022,"BZE3","RG circle excluded during inventory status sorting"
140066,1,"n",1600,-9,-2,1980,"warning","RG circle excluded during inventory status sorting"
140066,2,"o",1600,-9,-9,1980,"warning","RG circle excluded during inventory status sorting"
140066,3,"s",1600,-9,-9,1980,"warning","RG circle excluded during inventory status sorting"
140066,4,"w",1600,-9,-9,1980,"warning","RG circle excluded during inventory status sorting"
140089,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140089,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140089,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140089,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140102,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140102,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140102,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140102,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140175,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140175,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140175,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140175,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140234,1,"n",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140234,2,"o",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140234,3,"s",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140234,4,"w",1000,-9,-9,1970,"warning","RG circle excluded during inventory status sorting"
140254,3,"sw",1600,3,-1,2022,"BZE3","RG circle excluded during inventory status sorting"
