"";"plot_ID";"CCS_nr";"CCS_position";"CCS_dist";"CCS_RG_inv_status";"CCS_max_dist_cm";"inv_year";"inv"
"199";140051;3;"s";1000;1;102;2011;"HBI"
"200";140051;4;"w";1000;1;418;2011;"HBI"
"201";140052;1;"n";1000;1;160;2011;"HBI"
"202";140052;2;"o";1000;1;240;2011;"HBI"
"203";140052;3;"s";1000;1;330;2011;"HBI"
"204";140052;4;"w";1000;1;405;2011;"HBI"
"205";140053;1;"n";1000;1;130;2012;"HBI"
"206";140053;2;"o";1000;1;460;2012;"HBI"
"207";140053;3;"s";1000;1;170;2012;"HBI"
"208";140053;4;"w";1000;1;195;2012;"HBI"
"209";140054;1;"n";1000;2;500;2011;"HBI"
"210";140054;2;"o";1000;1;450;2011;"HBI"
"211";140054;3;"s";1000;2;500;2011;"HBI"
"212";140054;4;"w";1000;2;500;2011;"HBI"
"213";140055;1;"n";1000;1;330;2011;"HBI"
"214";140055;2;"o";1000;1;495;2011;"HBI"
"215";140055;3;"s";1000;1;190;2011;"HBI"
"216";140055;4;"w";1000;1;350;2011;"HBI"
"217";140056;1;"n";1000;1;140;2011;"HBI"
"218";140056;2;"o";1000;1;500;2011;"HBI"
"219";140056;3;"s";1000;1;300;2011;"HBI"
"220";140056;4;"w";500;1;105;2011;"HBI"
"221";140057;1;"n";1000;1;500;2011;"HBI"
"222";140057;2;"o";1000;1;500;2011;"HBI"
"223";140057;3;"s";1000;1;130;2011;"HBI"
"224";140057;4;"w";1000;1;205;2011;"HBI"
"225";140058;1;"n";1000;1;500;2011;"HBI"
"226";140058;2;"o";1000;2;500;2011;"HBI"
"227";140058;3;"s";1000;2;500;2011;"HBI"
"228";140058;4;"w";1000;1;500;2011;"HBI"
"229";140059;1;"n";1000;1;130;2012;"HBI"
"230";140059;2;"o";1000;1;225;2012;"HBI"
"231";140059;3;"s";1000;1;240;2012;"HBI"
"232";140059;4;"w";1000;1;160;2012;"HBI"
"233";140060;1;"n";1000;1;190;2012;"HBI"
"234";140060;2;"o";1000;1;175;2012;"HBI"
"235";140060;3;"s";1000;1;120;2012;"HBI"
"236";140060;4;"w";1000;1;205;2012;"HBI"
"237";140061;1;"n";1000;1;310;2012;"HBI"
"238";140061;2;"o";1000;1;340;2012;"HBI"
"239";140061;3;"s";1000;1;170;2012;"HBI"
"240";140061;4;"w";1000;1;110;2012;"HBI"
"241";140062;1;"n";1000;1;500;2012;"HBI"
"242";140062;2;"o";1000;1;500;2012;"HBI"
"243";140062;3;"s";1000;1;450;2012;"HBI"
"244";140062;4;"w";1000;1;350;2012;"HBI"
"245";140063;1;"n";1000;1;150;2012;"HBI"
"246";140063;2;"o";1000;1;300;2012;"HBI"
"247";140063;3;"s";1000;1;305;2012;"HBI"
"248";140063;4;"w";1000;1;195;2012;"HBI"
"249";140064;1;"n";1000;1;500;2012;"HBI"
"250";140064;2;"o";1000;1;500;2012;"HBI"
"251";140064;3;"s";1000;2;500;2012;"HBI"
"252";140064;4;"w";1000;1;500;2012;"HBI"
"253";140065;1;"n";1000;1;340;2012;"HBI"
"254";140065;2;"o";1000;1;180;2012;"HBI"
"255";140065;3;"s";1000;1;400;2012;"HBI"
"256";140065;4;"w";1000;1;310;2012;"HBI"
"257";140066;1;"n";1000;1;500;2012;"HBI"
"258";140066;2;"o";1000;1;500;2012;"HBI"
"259";140066;3;"s";1000;2;500;2012;"HBI"
"260";140066;4;"w";1000;1;500;2012;"HBI"
"261";140067;1;"n";1000;1;500;2012;"HBI"
"262";140067;2;"o";1000;1;500;2012;"HBI"
"263";140067;3;"s";1000;1;300;2012;"HBI"
"264";140067;4;"w";1000;1;500;2012;"HBI"
"265";140068;1;"n";1000;2;500;2012;"HBI"
"266";140068;2;"o";1000;2;500;2012;"HBI"
"267";140068;3;"s";1000;2;500;2012;"HBI"
"268";140068;4;"w";1000;2;500;2012;"HBI"
"269";140089;1;"n";1000;1;500;2012;"HBI"
"270";140089;2;"o";1000;1;210;2012;"HBI"
"271";140089;3;"s";1000;1;500;2012;"HBI"
"272";140089;4;"w";1000;1;500;2012;"HBI"
"273";140102;1;"n";1000;1;230;2012;"HBI"
"274";140102;2;"o";1000;1;210;2012;"HBI"
"275";140102;3;"s";1000;1;240;2012;"HBI"
"276";140102;4;"w";1000;1;280;2012;"HBI"
"277";140175;1;"n";1000;1;490;2011;"HBI"
"278";140175;2;"o";1000;1;470;2011;"HBI"
"279";140175;3;"s";1000;1;290;2011;"HBI"
"280";140175;4;"w";1000;1;290;2011;"HBI"
"281";140187;1;"n";1000;1;270;2011;"HBI"
"282";140187;2;"o";1000;1;190;2011;"HBI"
"283";140187;3;"s";1000;1;295;2011;"HBI"
"284";140187;4;"w";1000;1;350;2011;"HBI"
"285";140234;1;"n";1000;1;195;2011;"HBI"
"286";140234;2;"o";1000;1;260;2011;"HBI"
"287";140234;3;"s";1000;1;500;2011;"HBI"
"288";140234;4;"w";1000;1;260;2011;"HBI"
"289";140252;1;"n";1000;1;260;2012;"HBI"
"290";140252;2;"o";1000;1;460;2012;"HBI"
"291";140252;3;"s";1000;1;175;2012;"HBI"
"292";140252;4;"w";1000;1;90;2012;"HBI"
"293";140254;1;"n";1000;1;260;2012;"HBI"
"294";140254;2;"o";1000;1;230;2012;"HBI"
"295";140254;3;"sw";500;1;250;2012;"HBI"
"296";140254;4;"w";1000;1;260;2012;"HBI"
"297";140315;1;"n";1000;1;350;2012;"HBI"
"298";140315;2;"o";1000;1;140;2012;"HBI"
"299";140315;3;"s";1000;1;500;2012;"HBI"
"300";140315;4;"w";1000;1;145;2012;"HBI"
"301";140316;1;"n";1000;2;500;2012;"HBI"
"302";140316;2;"o";1000;1;500;2012;"HBI"
"303";140316;3;"s";1000;1;500;2012;"HBI"
"304";140316;4;"w";1000;2;500;2012;"HBI"
