"plot_ID","LT_RMS_DBH","LT_FSI_DBH_RMS","LT_sd_DBH_cm","LT_FSI_DBH_SD","LT_sd_H_m","LT_FSI_H_SD","LT_n_SP","LT_FSI_n_SP","inv","LT_n_bark_TY","LT_FSI_bark_TY","LT_Vm340_plot","LT_FSI_V40","LT_n_fruit_TY","LT_FSI_fruit_TY","DW_n_dec","DW_FSI_n_dec","DW_LY_mean_D_cm","DW_FSI_LY_mean_D_cm","DW_ST_mean_D_cm","DW_FSI_ST_mean_D_cm","RG_n_SP","RG_FSI_n_SP","FSI_sum","FSI_total"
140038,41.5941290122145,0.840674010712017,8.24408900968081,0.400420152012403,2.34040455419109,0.127698933037236,1,0,"HBI",3,0.111111111111111,30.8597871421787,0.635280802761295,1,0,5,1,21.275,0.54242209631728,0,0,3,0.333333333333333,3.65760710595134,0.332509736904667
140039,36.0351201307245,0.686939238236688,8.27575683497781,0.402461054857795,3.13247625328481,0.205885381747138,1,0,"HBI",2,0,19.1558012122981,0.394342083943012,1,0,5,1,24.0769230769231,0.613859228590107,0,0,5,0.555555555555556,3.30348698737474,0.300316998852249
140040,45.4566526784284,0.947492368024445,8.97475521956931,0.447509547410018,2.15720954172379,0.109615510207493,1,0,"HBI",2,0,42.114556092669,0.866971923014937,1,0,4,0.8,26.8620689655172,0.684868613851714,0,0,3,0.333333333333333,3.85645796250861,0.350587087500782
140041,36.0224298811928,0.686588288514175,7.55733147241081,0.356160547863289,2.44876524965095,0.138395361109891,1,0,"HBI",2,0,10.8399946593725,0.223152560236619,1,0,5,1,22.6530612244898,0.57755680175753,21,0.428571428571429,2,0.222222222222222,3.41042498805293,0.310038635277539
140042,41.5589469210965,0.839701047565431,6.70854476697036,0.301458616612324,1.8769386574652,0.0819495992274188,1,0,"HBI",2,0,29.7458355211962,0.612348950485236,1,0,5,1,30.6170212765957,0.780603941896209,20,0.408163265306122,2,0.222222222222222,4.02422542109274,0.365838674644795
140043,38.6042400901919,0.757988427192953,9.60956572142591,0.488421310291519,3.27241685618154,0.219699104397925,4,0.6,"HBI",6,0.444444444444444,33.8754499965567,0.697361357956317,3,0.5,2,0.4,21.28,0.542549575070822,0,0,3,0.333333333333333,4.65046421935398,0.422769474486725
140044,36.518901277751,0.700318239089451,6.98620621149036,0.3193531207932,2.69421146829911,0.162623683125854,1,0,"HBI",2,0,20.6294705834397,0.42467910009903,1,0,5,1,22.1578947368421,0.564932160429402,20.5,0.418367346938776,2,0.222222222222222,3.59027365047571,0.32638851367961
140045,38.2490656864445,0.74816605465979,9.52287625878443,0.482834416675959,3.4175086541298,0.23402130834927,1,0,"HBI",3,0.111111111111111,20.3507001939039,0.418940321797209,1,0,5,1,24.5625,0.626239376770538,0,0,4,0.444444444444444,3.62131258936388,0.329210235396716
140046,29.0510642128899,0.493794692082361,8.51943826995966,0.418165642380283,5.10093403716953,0.400194462267763,2,0.2,"HBI",5,0.333333333333333,1.92819016271323,0.0396937992087009,2,0.25,3,0.6,14,0.356940509915014,0,0,3,0.333333333333333,3.09212243918746,0.281102039926132
140047,28.4947166804255,0.478408862855604,12.1499469183613,0.652141779397939,7.58980414497003,0.645874134009358,1,0,"HBI",3,0.111111111111111,15.6997207468224,0.32319507432822,2,0.25,3,0.6,21.5333333333333,0.549008498583569,0,0,2,0.222222222222222,3.6097394602858,0.328158132753255
