"";"plot_ID";"e_ID";"inv_year";"CCS_r_m";"inter_stat";"area_m2";"stand"
"248";50075;2;2012;5,64;"partly intersecting";7,08061039826134;"B"
"249";50075;0;2012;5,64;"0";92,8065396209713;"A"
"250";50080;1;2012;17,84;"partly intersecting";248,425897305366;"warning"
"251";50080;2;2012;17,84;"partly intersecting";302,233260706067;"B"
"252";50080;0;2012;17,84;"0";448,74491288967;"A"
"253";50080;1;2012;12,62;"partly intersecting";77,7685706047341;"warning"
"254";50080;2;2012;12,62;"partly intersecting";142,503999061882;"B"
"255";50080;0;2012;12,62;"0";279,842710411351;"A"
"256";50080;1;2012;5,64;"fully covering circle";0;"warning"
"257";50080;2;2012;5,64;"partly intersecting";15,1821282841265;"B"
"258";50080;0;2012;5,64;"0";84,7050217495416;"A"
"259";50083;1;2012;17,84;"no intersections";0;"B"
"260";50083;0;2012;17,84;"0";999,404070879798;"A"
"261";50083;1;2012;12,62;"no intersections";0;"B"
"262";50083;0;2012;12,62;"0";500,115280176513;"A"
"263";50083;1;2012;5,64;"no intersections";0;"B"
"264";50083;0;2012;5,64;"0";99,887150010909;"A"
"265";50086;1;2012;17,84;"partly intersecting";310,989368319031;"B"
"266";50086;0;2012;17,84;"0";688,414702579379;"A"
"267";50086;1;2012;12,62;"partly intersecting";118,700429908552;"B"
"268";50086;0;2012;12,62;"0";381,414850241039;"A"
"269";50086;1;2012;5,64;"partly intersecting";0,610271571204066;"B"
"270";50086;0;2012;5,64;"0";99,2768784524524;"A"
"271";50090;1;2012;17,84;"partly intersecting";41,850191308622;"B"
"272";50090;0;2012;17,84;"0";957,55387961329;"A"
"273";50090;1;2012;12,62;"no intersections";0;"B"
"274";50090;0;2012;12,62;"0";500,115280159283;"A"
"275";50090;1;2012;5,64;"no intersections";0;"B"
"276";50090;0;2012;5,64;"0";99,8871500301757;"A"
"277";50092;1;2012;17,84;"partly intersecting";80,7632791531505;"B"
"278";50092;0;2012;17,84;"0";918,640791770769;"A"
"279";50092;1;2012;12,62;"no intersections";0;"B"
"280";50092;0;2012;12,62;"0";500,115280136233;"A"
