"";"X.plot_ID.CCS_no.t_ID.SP_code.H_cm.D_class_cm.inv_year.inv.stand.area_m2"
"528";"317;50010;2;11;tei;60;0;2012;HBI;NA;14"
"529";"5153774639805"
"530";"318;50010;2;12;sbi;320;1;2012;HBI;NA;14"
"531";"5153774639805"
"532";"319;50010;2;12;sbi;320;1;2012;HBI;NA;14"
"533";"5153774639805"
"534";"320;50010;3;1;sbi;610;1;2012;HBI;A;71"
"535";"4476867280046"
"536";"321;50010;3;1;sbi;610;1;2012;HBI;A;71"
"537";"4476867280046"
"538";"322;50010;3;2;sbi;760;3;2012;HBI;A;71"
"539";"4476867280046"
"540";"323;50010;3;2;sbi;760;3;2012;HBI;A;71"
"541";"4476867280046"
"542";"324;50010;3;3;sbi;660;3;2012;HBI;A;71"
"543";"4476867280046"
"544";"325;50010;3;3;sbi;660;3;2012;HBI;A;71"
"545";"4476867280046"
"546";"326;50010;3;4;rbu;80;0;2012;HBI;A;71"
"547";"4476867280046"
"548";"327;50010;3;4;rbu;80;0;2012;HBI;A;71"
"549";"4476867280046"
"550";"328;50010;3;5;sbi;220;1;2012;HBI;A;71"
"551";"4476867280046"
"552";"329;50010;3;5;sbi;220;1;2012;HBI;A;71"
"553";"4476867280046"
"554";"330;50010;3;6;rbu;520;3;2012;HBI;A;71"
"555";"4476867280046"
"556";"331;50010;3;6;rbu;520;3;2012;HBI;A;71"
"557";"4476867280046"
"558";"332;50010;3;7;gfi;20;0;2012;HBI;A;71"
"559";"4476867280046"
"560";"333;50010;3;7;gfi;20;0;2012;HBI;A;71"
"561";"4476867280046"
"562";"334;50010;3;8;gfi;30;0;2012;HBI;A;71"
"563";"4476867280046"
"564";"335;50010;3;8;gfi;30;0;2012;HBI;A;71"
"565";"4476867280046"
"566";"336;50010;3;9;rbu;390;1;2012;HBI;A;71"
"567";"4476867280046"
"568";"337;50010;3;9;rbu;390;1;2012;HBI;A;71"
"569";"4476867280046"
"570";"338;50010;3;10;vbe;130;1;2012;HBI;A;71"
"571";"4476867280046"
