"plot_ID","inv","stand","SP_code","compartiment","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","stand_component","BA_percent","mean_DBH_cm","sd_DBH_cm","Dg_cm","mean_BA_m2","mean_H_m","sd_H_m","Hg_m","n_ha","n_SP"
140038,"HBI","A","all","ndl",3.7448415866807,1.87242079334035,0,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","sb",3.61465784292934,1.80732892146467,0.017494943959778,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","stb",0.171264647160862,0.0856323235804311,0.000828920892258573,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","stw",2.13555265613466,1.06777632806733,0.00173406875678134,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","sw",43.6469371675951,21.8234685837975,0.0354413129800872,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","all","total",73.1656924108482,36.5828462054241,0.139550486948744,9.61254429240951,"LT",NA,NA,NA,NA,NA,NA,NA,NA,59.991820632806,NA
140038,"HBI","A","gfi","ag",62.4863816197131,31.2431908098565,0.0953381402734447,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","bg",10.6793107911352,5.33965539556759,0.0442123466752997,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","fwb",9.17312771921243,4.58656385960622,0.0398388936845396,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","ndl",3.7448415866807,1.87242079334035,0,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","sb",3.61465784292934,1.80732892146467,0.017494943959778,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","stb",0.171264647160862,0.0856323235804311,0.000828920892258573,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","stw",2.13555265613466,1.06777632806733,0.00173406875678134,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","sw",43.6469371675951,21.8234685837975,0.0354413129800872,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","A","gfi","total",73.1656924108482,36.5828462054241,0.139550486948744,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","all","ag",62.4863816197131,31.2431908098565,0.0953381402734447,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","bg",10.6793107911352,5.33965539556759,0.0442123466752997,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","fwb",9.17312771921243,4.58656385960622,0.0398388936845396,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","ndl",3.7448415866807,1.87242079334035,0,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","sb",3.61465784292934,1.80732892146467,0.017494943959778,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","stb",0.171264647160862,0.0856323235804311,0.000828920892258573,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","stw",2.13555265613466,1.06777632806733,0.00173406875678134,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","sw",43.6469371675951,21.8234685837975,0.0354413129800872,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","all","total",73.1656924108482,36.5828462054241,0.139550486948744,9.61254429240951,"LT",NA,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,59.991820632806,1
140038,"HBI","all","gfi","ag",62.4863816197131,31.2431908098565,0.0953381402734447,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","bg",10.6793107911352,5.33965539556759,0.0442123466752997,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","fwb",9.17312771921243,4.58656385960622,0.0398388936845396,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","ndl",3.7448415866807,1.87242079334035,0,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","sb",3.61465784292934,1.80732892146467,0.017494943959778,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","stb",0.171264647160862,0.0856323235804311,0.000828920892258573,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","stw",2.13555265613466,1.06777632806733,0.00173406875678134,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","sw",43.6469371675951,21.8234685837975,0.0354413129800872,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140038,"HBI","all","gfi","total",73.1656924108482,36.5828462054241,0.139550486948744,9.61254429240951,"LT",100,41.4569204323941,18.0670880074623,45.1625463519211,0.160194175669722,25.7994290035916,4.69908389788376,25.7994290035916,NA,NA
140039,"HBI","A","all","ag",98.0566836497423,49.0283418248712,0.143141494916112,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","bg",13.869458637645,6.93472931882249,0.0574195587598502,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","fwb",11.9171653193254,5.95858265966269,0.0517562489818301,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","ndl",6.11371283932474,3.05685641966237,0,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","sb",6.27854399235663,3.13927199617832,0.0303881529230061,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","stb",0.276642669886467,0.138321334943234,0.0013389505222505,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","stw",3.21263867519044,1.60631933759522,0.00260866260425464,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","sw",70.2579801536587,35.1289900768293,0.0570494798847708,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","all","total",111.926142287387,55.9630711436936,0.200561053675962,17.017217231977,"LT",NA,NA,NA,NA,NA,NA,NA,NA,189.960325105761,NA
140039,"HBI","A","gfi","ag",98.0566836497423,49.0283418248712,0.143141494916112,17.017217231977,"LT",49.293645347759,32.8625115420129,7.79843403767344,33.7704035558269,0.08956996042411,25.0051605809118,2.92601529671581,25.0051605809118,NA,NA
140039,"HBI","A","gfi","bg",13.869458637645,6.93472931882249,0.0574195587598502,17.017217231977,"LT",49.293645347759,32.8625115420129,7.79843403767344,33.7704035558269,0.08956996042411,25.0051605809118,2.92601529671581,25.0051605809118,NA,NA
140039,"HBI","A","gfi","fwb",11.9171653193254,5.95858265966269,0.0517562489818301,17.017217231977,"LT",49.293645347759,32.8625115420129,7.79843403767344,33.7704035558269,0.08956996042411,25.0051605809118,2.92601529671581,25.0051605809118,NA,NA
140039,"HBI","A","gfi","ndl",6.11371283932474,3.05685641966237,0,17.017217231977,"LT",49.293645347759,32.8625115420129,7.79843403767344,33.7704035558269,0.08956996042411,25.0051605809118,2.92601529671581,25.0051605809118,NA,NA
