"";"plot_ID";"team";"date";"stand_spec";"stand_type";"structure";"inv_year";"inv";"CCS_r_m";"CCS_LT_inv_status";"CCS_LT_inv_status_old"
"66";50031;"Tilo Schindler; Karin Morgenstern";"2011-08-25";1;5;6;2012;"HBI";17,84;1;1
"67";50031;"Tilo Schindler; Karin Morgenstern";"2011-08-25";1;5;6;2012;"HBI";12,62;1;1
"68";50032;"Tilo Schindler; Karin Morgenstern";"2012-03-14";1;1;1;2012;"HBI";17,84;1;1
"69";50032;"Tilo Schindler; Karin Morgenstern";"2012-03-14";1;1;1;2012;"HBI";12,62;1;1
"70";50033;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;8;2;2012;"HBI";17,84;1;1
"71";50033;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;8;2;2012;"HBI";5,64;1;1
"72";50033;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;8;2;2012;"HBI";12,62;1;1
"73";50034;"Tilo Schindler; Karin Morgenstern";"2011-10-02";1;4;1;2012;"HBI";17,84;1;1
"74";50035;"KT";"2011-11-08";1;2;2;2012;"HBI";12,62;1;1
"75";50035;"KT";"2011-11-08";1;2;2;2012;"HBI";17,84;1;1
"76";50035;"KT";"2011-11-08";1;2;2;2012;"HBI";5,64;1;1
"77";50036;"Tilo Schindler; Karin Morgenstern";"2011-10-03";1;2;2;2012;"HBI";17,84;1;1
"78";50036;"Tilo Schindler; Karin Morgenstern";"2011-10-03";1;2;2;2012;"HBI";12,62;1;1
"79";50036;"Tilo Schindler; Karin Morgenstern";"2011-10-03";1;2;2;2012;"HBI";5,64;1;1
"80";50037;"Tilo Schindler; Karin Morgenstern";"2011-10-02";1;5;2;2012;"HBI";17,84;1;1
"81";50037;"Tilo Schindler; Karin Morgenstern";"2011-10-02";1;5;2;2012;"HBI";12,62;1;1
"82";50038;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;4;2;2012;"HBI";12,62;1;1
"83";50038;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;4;2;2012;"HBI";17,84;1;1
"84";50038;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;4;2;2012;"HBI";5,64;1;1
"85";50039;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;8;2;2012;"HBI";12,62;1;1
"86";50039;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;8;2;2012;"HBI";17,84;1;1
"87";50039;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;8;2;2012;"HBI";5,64;1;1
"88";50040;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;4;2;2012;"HBI";17,84;1;1
"89";50040;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;4;2;2012;"HBI";12,62;1;1
"90";50041;"Tilo Schindler; Karin Morgenstern";"2012-03-14";1;3;1;2012;"HBI";17,84;1;1
"91";50041;"Tilo Schindler; Karin Morgenstern";"2012-03-14";1;3;1;2012;"HBI";12,62;1;1
"92";50042;"Tilo Schindler; Karin Morgenstern";"2011-10-02";1;1;2;2012;"HBI";5,64;1;1
"93";50042;"Tilo Schindler; Karin Morgenstern";"2011-10-02";1;1;2;2012;"HBI";12,62;1;1
"94";50042;"Tilo Schindler; Karin Morgenstern";"2011-10-02";1;1;2;2012;"HBI";17,84;1;1
"95";50043;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;6;1;2012;"HBI";12,62;1;1
"96";50043;"Tilo Schindler; Karin Morgenstern";"2011-10-01";1;6;1;2012;"HBI";17,84;1;1
"97";50044;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;3;1;2012;"HBI";12,62;1;1
"98";50044;"Tilo Schindler; Karin Morgenstern";"2011-10-04";1;3;1;2012;"HBI";5,64;1;1
"99";50045;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;6;2;2012;"HBI";17,84;1;1
"100";50045;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;6;2;2012;"HBI";12,62;1;1
"101";50045;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;6;2;2012;"HBI";5,64;1;1
"102";50046;"Tilo Schindler; Karin Morgenstern";"2012-03-04";1;4;1;2012;"HBI";12,62;1;1
"103";50046;"Tilo Schindler; Karin Morgenstern";"2012-03-04";1;4;1;2012;"HBI";17,84;1;1
"104";50047;"Tilo Schindler; Karin Morgenstern";"2012-02-22";1;1;1;2012;"HBI";12,62;1;1
"105";50047;"Tilo Schindler; Karin Morgenstern";"2012-02-22";1;1;1;2012;"HBI";17,84;1;1
"106";50048;"Tilo Schindler; Karin Morgenstern";"2012-03-03";1;6;1;2012;"HBI";12,62;1;1
"107";50048;"Tilo Schindler; Karin Morgenstern";"2012-03-03";1;6;1;2012;"HBI";17,84;1;1
"108";50049;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;1;1;2012;"HBI";17,84;1;1
"109";50050;"Tilo Schindler; Karin Morgenstern";"2012-03-01";1;1;1;2012;"HBI";12,62;1;1
"110";50050;"Tilo Schindler; Karin Morgenstern";"2012-03-01";1;1;1;2012;"HBI";5,64;1;1
"111";50051;"Tilo Schindler; Karin Morgenstern";"2011-08-23";1;4;2;2012;"HBI";17,84;1;1
"112";50051;"Tilo Schindler; Karin Morgenstern";"2011-08-23";1;4;2;2012;"HBI";12,62;1;1
"113";50052;"Tilo Schindler; Karin Morgenstern";"2012-03-04";1;5;2;2012;"HBI";17,84;1;1
"114";50052;"Tilo Schindler; Karin Morgenstern";"2012-03-04";1;5;2;2012;"HBI";12,62;1;1
"115";50053;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;5;1;2012;"HBI";5,64;1;1
"116";50053;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;5;1;2012;"HBI";17,84;1;1
"117";50054;"Tilo Schindler; Karin Morgenstern";"2012-03-01";1;4;2;2012;"HBI";17,84;1;1
"118";50055;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;4;1;2012;"HBI";17,84;1;1
"119";50055;"Tilo Schindler; Karin Morgenstern";"2012-02-29";1;4;1;2012;"HBI";12,62;1;1
"120";50056;"Tilo Schindler; Karin Morgenstern";"2012-02-28";1;4;1;2012;"HBI";17,84;1;1
"121";50056;"Tilo Schindler; Karin Morgenstern";"2012-02-28";1;4;1;2012;"HBI";12,62;1;1
"122";50057;"Tilo Schindler; Karin Morgenstern";"2012-02-28";1;5;1;2012;"HBI";12,62;1;1
"123";50057;"Tilo Schindler; Karin Morgenstern";"2012-02-28";1;5;1;2012;"HBI";17,84;1;1
"124";50058;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;8;2;2012;"HBI";17,84;1;1
"125";50058;"Tilo Schindler; Karin Morgenstern";"2011-08-24";1;8;2;2012;"HBI";12,62;1;1
"126";50059;"Tilo Schindler; Karin Morgenstern";"2012-03-03";1;5;1;2012;"HBI";12,62;1;1
"127";50059;"Tilo Schindler; Karin Morgenstern";"2012-03-03";1;5;1;2012;"HBI";17,84;1;1
"128";50060;"Tilo Schindler; Karin Morgenstern";"2012-03-02";1;4;1;2012;"HBI";5,64;1;1
