"";"stand_component";"plot_ID";"inv";"compartiment";"SP_code";"B_t_ha";"C_t_ha";"N_t_ha";"stand";"n_ha";"n_SP"
"126";"RG";140042;"BZE3";"ndl";"all";2,28836593555258;1,14418296777629;0;"A";NA;NA
"127";"RG";140042;"BZE3";"ndl";"all";0,312049900302625;0,156024950151312;0;"B";NA;NA
"128";"RG";140042;"BZE3";"total";"all";12,4907763669341;6,24538818346702;0,0436244751071793;"A";NA;NA
"129";"RG";140042;"BZE3";"total";"all";1,7032876864001;0,851643843200048;0,0059487920600699;"B";NA;NA
"130";"RG";140042;"BZE3";"ag";"all";10,7520118997582;5,37600594987912;0,035405277384808;"all";12156,2933120186;2
"131";"RG";140042;"BZE3";"bg";"all";3,8322514347874;1,9161257173937;0,0158655209400198;"all";12156,2933120186;2
"132";"RG";140042;"BZE3";"fwb";"all";7,76139678269152;3,88069839134576;0,0337077462272293;"all";12156,2933120186;2
"133";"RG";140042;"BZE3";"ndl";"all";2,6004158358552;1,3002079179276;0;"all";12156,2933120186;2
"134";"RG";140042;"BZE3";"total";"all";14,1940640533342;7,09703202666707;0,0495732671672492;"all";12156,2933120186;2
"135";"RG";140043;"BZE3";"ag";"gfi";0,172936916208442;0,0864684581042209;0,000644564031371145;"all";NA;NA
"136";"RG";140043;"BZE3";"ag";"rbu";0,113526354680606;0,0567631773403032;0,000522334474550156;"all";NA;NA
"137";"RG";140043;"BZE3";"bg";"gfi";0,0361389085613168;0,0180694542806585;0,000149615081443851;"all";NA;NA
"138";"RG";140043;"BZE3";"bg";"rbu";4,04477617207097e-08;2,02238808603549e-08;1,2255671801375e-10;"all";NA;NA
"139";"RG";140043;"BZE3";"fwb";"gfi";0,0731915463822765;0,0365957731911382;0,000317870885938226;"all";NA;NA
"140";"RG";140043;"BZE3";"fwb";"rbu";0,111646686409069;0,0558233432045346;0,000513686404168127;"all";NA;NA
"141";"RG";140043;"BZE3";"ndl";"gfi";0,0245224489344043;0,0122612244672021;0;"all";NA;NA
"142";"RG";140043;"BZE3";"ndl";"rbu";6,15812461331435e-08;3,07906230665718e-08;0;"all";NA;NA
"143";"RG";140043;"BZE3";"total";"gfi";0,133852903877998;0,0669264519389988;0,000467485967382079;"all";NA;NA
"144";"RG";140043;"BZE3";"total";"rbu";0,111646788438078;0,0558233942190386;0,000513686526724845;"all";NA;NA
"145";"RG";140043;"BZE3";"ag";"all";0,278997445198238;0,139498722599119;0,00113447442494611;"A";NA;NA
"146";"RG";140043;"BZE3";"ag";"all";0,00746582569081009;0,00373291284540504;3,24240809751882e-05;"B";NA;NA
"147";"RG";140043;"BZE3";"bg";"all";0,0361389490090786;0,0180694745045393;0,000149615204000569;"A";NA;NA
"148";"RG";140043;"BZE3";"fwb";"all";0,184838232791346;0,0924191163956728;0,000831557290106354;"A";NA;NA
"149";"RG";140043;"BZE3";"ndl";"all";0,0245225105156504;0,0122612552578252;0;"A";NA;NA
"150";"RG";140043;"BZE3";"total";"all";0,245499692316075;0,122749846158037;0,000981172494106924;"A";NA;NA
"151";"RG";140043;"BZE3";"ag";"all";0,286463270889048;0,143231635444524;0,0011668985059213;"all";2292,72624682028;2
"152";"RG";140043;"BZE3";"bg";"all";0,0361389490090786;0,0180694745045393;0,000149615204000569;"all";2292,72624682028;2
"153";"RG";140043;"BZE3";"fwb";"all";0,184838232791346;0,0924191163956728;0,000831557290106354;"all";2292,72624682028;2
"154";"RG";140043;"BZE3";"ndl";"all";0,0245225105156504;0,0122612552578252;0;"all";2292,72624682028;2
"155";"RG";140043;"BZE3";"total";"all";0,245499692316075;0,122749846158037;0,000981172494106924;"all";2292,72624682028;2
"156";"RG";140044;"BZE3";"ag";"gfi";0,00709996036692714;0,00354998018346357;3,08351278735646e-05;"all";NA;NA
"157";"RG";140044;"BZE3";"ag";"vbe";9,0738332301251e-05;4,53691661506255e-05;4,17487066918056e-07;"all";NA;NA
"158";"RG";140044;"BZE3";"ag";NA;0;0;0;"all";NA;NA
"159";"RG";140044;"BZE3";"bg";NA;0;0;0;"all";NA;NA
"160";"RG";140044;"BZE3";"total";NA;0;0;0;"all";NA;NA
"161";"RG";140044;"BZE3";"ag";"all";0,00719069869922839;0,0035953493496142;3,12526149404827e-05;"A";NA;NA
"162";"RG";140044;"BZE3";"ag";"all";0;0;0;NA;NA;NA
"163";"RG";140044;"BZE3";"bg";"all";0;0;0;NA;NA;NA
"164";"RG";140044;"BZE3";"total";"all";0;0;0;NA;NA;NA
"165";"RG";140044;"BZE3";"ag";"all";0,00719069869922839;0,0035953493496142;3,12526149404827e-05;"all";275,926435931265;2
"166";"RG";140044;"BZE3";"bg";"all";0;0;0;"all";275,926435931265;2
"167";"RG";140044;"BZE3";"total";"all";0;0;0;"all";275,926435931265;2
"168";"RG";140045;"BZE3";"ag";"gfi";0,931417136706203;0,465708568353101;0,00404514462471503;"all";NA;NA
