"stand_component","plot_ID","dw_sp","dw_type","ST_LY_type","decay","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff"
"DW","140039","1","4",NA,"1","ag",2.08589929701804,1.04294964850903,0.00229763973434787,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"1","stb",0.149922915881136,0.074961457940568,0.00072562691286469,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"1","stw",1.93597638113691,0.96798819056846,0.00157201282148318,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"3","ag",1.16629485308706,0.583147426543535,0.00564486708894141,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"4","ag",0.519744211512428,0.259872105756215,0.00251556198372016,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"5","ag",-0.0316706056092887,-0.0158353028046444,-0.000153285731148957,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"all","ag",3.07055123429969,1.53527561714985,0.00954592346521891,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"all","stb",0.0965341882212,0.0482670941106,0.0004672254709906,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","4",NA,"all","stw",1.31964858708829,0.65982429354415,0.0010715546527157,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"1","ag",1.41399772956166,0.70699886478084,-0.00095436385214101,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"1","stb",0.149922915881136,0.074961457940568,0.00072562691286469,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"1","stw",1.93597638113691,0.96798819056846,0.00157201282148318,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"3","ag",1.72380017128749,0.861900085643747,0.00834319282903147,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"4","ag",0.757612812405033,0.378806406202517,0.00366684601204036,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"5","ag",-0.540318489254346,-0.270159244627174,-0.00261514148799103,NA,NA,NA,NA,NA,NA,NA
"DW","140039","1","all",NA,"all","ag",2.08803882097946,1.04401941048973,0.004790563384749,NA,NA,NA,5.3648648648649,2.8470521711619,0.0332147937411089,0.077200730600569
"DW","140039","1","all",NA,"all","stb",0.0965341882212,0.0482670941106,0.0004672254709906,NA,NA,NA,5.3648648648649,2.8470521711619,0.0332147937411089,0.077200730600569
"DW","140039","1","all",NA,"all","stw",1.31964858708829,0.65982429354415,0.0010715546527157,NA,NA,NA,5.3648648648649,2.8470521711619,0.0332147937411089,0.077200730600569
"DW","140039","all","1","L","all","ag",-0.470558706151531,-0.235279353075765,-0.00227750413777341,NA,NA,NA,0.8333333333334,0.14518701539187,0.0833333333333304,0.449514007070171
"DW","140039","all","1",NA,"3","ag",0.557505318200425,0.278752659100213,0.00269832574009006,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","1",NA,"4","ag",0.237868600892604,0.118934300446302,0.0011512840283202,NA,NA,NA,NA,NA,NA,NA
"DW","140039","all","1",NA,"5","ag",0.0033058235236499,0.001652911761825,1.6000185854467e-05,NA,NA,NA,NA,NA,NA,NA
