"";"X.2";"X.1";"plot_ID";"tree_ID";"old_tree_inventory_status";"multi_stem";"dist_cm";"azi_gon";"age";"age_meth";"SP_code";"Kraft";"C_layer";"H_dm";"C_h_dm";"D_mm";"DBH_h_cm";"inv_year";"inv";"X";"Nr_code";"Chr_code_ger";"name";"bot_name";"bot_genus";"bot_species";"Flora_EU";"LH_NH";"IPC";"WZE";"BWI";"BZE_al";"tpS_SP_com_name";"tpS_ID";"H_SP_group";"BWI_SP_group";"Bio_SP_group";"N_SP_group";"N_bg_SP_group";"N_f_SP_group_MoMoK";"RG_Wolff_bio";"BWI_comparisson_group";"bark_type_SP_group";"fruit_type_SP_group";"DBH_cm";"CCS_r_m";"dist_m";"X_tree";"Y_tree";"e_ID";"e_type";"e_form";"stand";"inter_stat";"area_m2";"stand_plot_A_ha";"plot_A_ha";"old_tree_ID";"tree_inventory_status"
"242";607;559;140050;48;7;FALSE;1204;202;36;1;"gfi";1;1;-9;-9;296;140;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";29,6438596491228;12,62;12,04;9,7092776186646;7,11979832043708;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;48;7
"243";608;560;140050;49;7;FALSE;858;212;36;1;"gfi";3;1;-9;-9;124;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";12,4877192982456;12,62;8,58;-8,5658180647763;-0,49311345667297;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;49;7
"244";609;561;140050;50;7;FALSE;639;208;36;1;"gfi";2;1;-9;-9;216;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";21,6;12,62;6,39;3,89194407392088;5,06802440063899;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;50;7
"245";610;562;140050;51;7;FALSE;528;185;36;1;"sbi";4;1;143;67;96;130;2022;"BZE3";36;107;"SBi";"Sand-Birke";"Betula pendula";"Betula";"pendula";"034.001.001";"LB";10;30011;"BI";"WAHR";"Betula spp.";26;"bu";"aLn";"shw";"BI";"BI";"BI";"BI";"aLn";"Betula spp.";"Betula spp.";9,6;5,64;5,28;1,83015983089778;-4,9526674624255;NA;NA;NA;"A";NA;99,9328056736299;0,00999328056736299;0,00999328056736299;51;7
"246";611;563;140050;52;7;FALSE;615;156;36;1;"gfi";4;9;-9;-9;162;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";16,2;12,62;6,15;-5,4229754057109;2,90066160540223;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;52;7
"247";612;564;140050;53;7;FALSE;290;147;36;1;"gfi";4;1;-9;-9;128;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";12,8877192982456;12,62;2,9;1,76622766346155;-2,30009561558279;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;53;7
"248";613;565;140050;54;7;FALSE;186;216;36;1;"gfi";1;1;-9;-9;258;140;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";25,8438596491228;12,62;1,86;1,29466878832154;-1,33545225618367;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;54;7
"249";614;566;140050;55;7;FALSE;721;382;36;1;"gfi";4;9;-9;-9;190;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";19,0877192982456;12,62;7,21;-6,89540694698476;2,10652866951161;NA;NA;NA;"A";NA;500,343869018386;0,0500343869018386;0,0500343869018386;55;7
"250";663;615;140051;14;3;FALSE;1761;32;140;1;"gfi";2;1;-9;-9;455;150;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";45,5877192982456;17,84;17,61;9,71062385666617;14,6906733785196;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;14;3
"251";670;622;140051;21;3;FALSE;1038;160;140;1;"gfi";2;1;275;132;362;130;2022;"BZE3";83;207;"GFi";"Gewoehnliche Fichte";"Picea abies ";"Picea";"abies ";"026.004.001";"NB";118;30014;"FI";"WAHR";"Picea abies";1;"fi";"fi";"fi";"FI";"FI";"FI";"FI";"fi";"Picea abies";"Picea abies";36,2;17,84;10,38;2,27763418197407;-10,1270322668146;NA;NA;NA;"A";NA;999,860870850348;0,0999860870850348;0,0999860870850348;21;3
