bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
50011,7,1,3,-9,20,70,4
50011,8,1,3,-9,20,40,4
50011,9,1,2,-9,13,22,3
50011,10,4,3,-9,20,2,4
50011,11,1,3,-9,20,3,4
50011,12,1,3,-9,25,2,4
50011,13,3,3,-9,11,52,3
50011,14,4,3,-9,19,3,5
50011,15,4,3,-9,32,2,4
50011,16,4,3,-9,13,1,4
50011,17,3,3,-9,15,55,3
50011,18,3,3,-9,15,53,3
50011,19,4,3,-9,30,2,4
50012,1,1,3,-9,8,45,3
50012,2,1,3,-9,7,90,3
50012,3,2,3,-9,14,135,2
50012,4,4,3,-9,23,1,4
50012,5,2,3,-9,23,183,1
50012,6,4,2,-9,30,1,4
50012,7,1,3,-9,10,20,4
50012,8,1,2,-9,11,13,5
50012,9,1,2,-9,12,10,4
50012,10,1,2,-9,12,13,4
50012,11,4,3,-9,18,1,3
50012,12,4,3,-9,26,2,2
50012,13,4,2,-9,23,1,4
50012,14,4,3,-9,14,1,2
50012,15,1,3,-9,13,7,2
50012,16,1,3,-9,11,25,3
50012,17,2,3,-9,19,147,2
50012,18,1,3,-9,10,74,3
50012,19,4,2,-9,30,4,4
50012,20,1,2,-9,10,50,2
50012,21,1,2,-9,11,40,3
50012,22,4,2,-9,13,4,3
50012,24,4,3,-9,20,5,4
50012,25,4,3,-9,23,2,3
50012,26,4,3,-9,10,2,3
50012,27,1,3,-9,11,30,3
50013,1,1,3,-9,10,21,3
50013,2,5,3,-9,16,90,3
50013,3,5,3,-9,11,130,3
50013,4,5,3,-9,15,141,3
50013,5,3,2,-9,11,15,4
50013,6,2,3,-9,17,134,1
50013,7,1,3,-9,12,80,4
50013,8,4,3,-9,16,1,4
50013,9,2,3,-9,26,117,1
50013,10,2,3,-9,21,157,1
50013,11,4,3,-9,31,1,4
50013,12,2,3,-9,17,124,1
50013,13,1,3,-9,12,35,2
50014,1,4,3,-9,15,1,5
50014,2,4,3,-9,14,3,5
50014,3,5,3,-9,17,97,3
50014,4,2,3,-9,16,115,2
50014,5,4,3,-9,13,2,4
50014,6,1,3,-9,7,63,2
50014,7,1,3,-9,9,90,2
50014,8,4,3,-9,33,2,1
50014,9,4,3,-9,18,1,4
50014,10,4,3,-9,14,1,3
50014,11,4,3,-9,17,1,3
50015,1,4,1,-9,36,9,2
50015,2,1,1,-9,26,40,4
50015,3,4,1,-9,15,2,5
50015,4,1,1,-9,24,18,3
50015,5,1,1,-9,10,10,4
50015,6,4,1,-9,34,11,4
50015,7,4,1,-9,24,2,5
50015,8,1,3,-9,8,58,4
50015,9,4,1,-9,34,2,5
50015,10,4,1,-9,33,2,5
50015,11,4,1,-9,30,12,1
50015,12,4,1,-9,22,2,4
50015,13,4,3,-9,27,2,2
50015,14,4,1,-9,42,4,1
50015,15,1,1,-9,24,5,5
