bund_nr,team,datum,domstreuart,astreuart,domhumusform_ka6,ahumusform_ka6,domhumusform_ka5,ahumusform_ka5
120135,Hoelzer;Hoevelmann;Bielefeldt,2006-09-07,vn,-2,-9,-9,moa,gmo
120136,Hoelzer;Hoevelmann;Bielefeldt,2006-09-05,vgn,-2,-9,-9,gmo,-2
120137,Hoelzer;Hoevelmann;Bielefeldt,2006-10-03,vn,vbn,-9,-9,roa,gmo
120138,Hoelzer;Hoevelmann;Bielefeldt,2006-10-03,vn,-2,-9,-9,moa,-2
120139,Hoelzer;Hoevelmann;Bielefeldt,2006-09-18,vgbn,-2,-9,-9,gmo,roa
120140,Hoelzer;Hoevelmann;Bielefeldt,2006-09-19,vn,vgn,-9,-9,roa,gmo
120141,Hoelzer;Hoevelmann;Bielefeldt,2006-09-25,vgn,vn,-9,-9,moa,-2
120142,Hoelzer;Hoevelmann;Bielefeldt,2006-09-26,vgn,-2,-9,-9,gmo,-2
120143,Hoelzer;Hoevelmann;Bielefeldt,2006-09-26,vn,-2,-9,-9,moa,roa
120144,Hoelzer;Hoevelmann;Bielefeldt,2006-09-26,vgn,-2,-9,-9,gmo,moa
120145,Hoelzer;Hoevelmann;Bielefeldt,2006-09-28,vbn,vgbn,-9,-9,roa,ror
120146,Hoelzer;Hoevelmann;Bielefeldt,2006-10-02,vn,vbn,-9,-9,moa,-2
120147,Hoelzer;Hoevelmann;Bielefeldt,2006-09-21,vn,vbn,-9,-9,roa,ror
120148,Hoelzer;Hoevelmann;Bielefeldt,2006-09-12,vbn,vgbn,-9,-9,moa,-2
120149,Hoelzer;Hoevelmann;Bielefeldt,2006-09-12,vbn,vgbn,-9,-9,moa,gmo
120150,Hoelzer;Hoevelmann;Bielefeldt,2006-09-11,vbn,-2,-9,-9,ror,-2
120151,Hoelzer;Hoevelmann;Bielefeldt,2006-09-14,vgn,-2,-9,-9,gmo,roa
120152,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120153,Hoelzer;Hoevelmann;Bielefeldt,2006-09-20,vn,-2,-9,-9,moa,-2
120154,Hoelzer;Hoevelmann;Bielefeldt,2006-09-13,-2,-2,-9,-9,-2,-2
120155,Hoelzer;Hoevelmann;Bielefeldt,2006-09-14,vgbn,-2,-9,-9,gmo,-2
120156,Hoelzer;Hoevelmann;Bielefeldt,2006-09-25,vgbn,vgn,-9,-9,gmo,-2
120157,Hoelzer;Hoevelmann;Bielefeldt,2006-11-28,vgn,-2,-9,-9,gmo,moa
120158,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120159,Hoelzer;Hoevelmann;Bielefeldt,2006-11-29,vb,-9,-9,-9,mut,-9
120160,Hoelzer;Hoevelmann;Bielefeldt,2006-11-22,vgn,vn,-9,-9,roa,gmo
120161,Hoelzer;Hoevelmann;Bielefeldt,2006-09-05,vn,vbn,-9,-9,gmo,-2
120162,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120163,Hoelzer;Hoevelmann;Bielefeldt,2006-11-20,vgbn,vgn,-9,-9,gmo,-2
120164,Hoelzer;Hoevelmann;Bielefeldt,2006-11-02,vbn,vn,-9,-9,moa,mot
120165,Hoelzer;Hoevelmann;Bielefeldt,2006-09-13,vgn,vn,-9,-9,moa,gmo
120166,-9,1970-01-01,-9,-9,-9,-9,-2,-2
120167,Hoelzer;Hoevelmann;Bielefeldt,2006-09-07,vbn,vgbn,-9,-9,moa,gmo
120168,Hoelzer;Hoevelmann;Bielefeldt,2006-11-02,vbg,-2,-9,-9,mut,-2
120169,Hoelzer;Hoevelmann;Bielefeldt,2006-09-19,vgn,vn,-9,-9,gmo,roa
120170,Hoelzer;Hoevelmann;Eglin,2006-08-30,vn,-2,-9,-9,moa,gmo
120181,Hoelzer;Hoevelmann;Bielefeldt,2006-10-12,vbn,vn,-9,-9,ror,roa
120182,Hoelzer;Hoevelmann;Bielefeldt,2006-10-26,vbn,vgbn,-9,-9,ror,roa
120183,Hoelzer;Hoevelmann;Bielefeldt,2006-10-24,vn,vgn,-9,-9,roa,gmo
120184,Hoelzer;Hoevelmann;Bielefeldt,2006-11-20,vgn,vgbn,-9,-9,ror,roa
120185,Hoelzer;Hoevelmann;Bielefeldt,2006-11-07,vbn,vgbn,-9,-9,roa,ror
120186,Hoelzer;Hoevelmann;Bielefeldt,2006-11-16,vgbn,vbn,-9,-9,roa,-2
120187,Hoelzer;Hoevelmann;Bielefeldt,2006-10-25,vb,-2,-9,-9,mom,muo
120188,Hoelzer;Hoevelmann;Bielefeldt,2006-11-14,vbn,-2,-9,-9,mom,-2
