bund_nr,otprobe,utprobe,pr_art,probennr,lfd_nr
120061,170,200,phg,,9
120062,0,5,ftg,,1
120062,5,10,ftg,,2
120062,10,22,phg,,3
120062,22,50,phg,,4
120062,50,75,phg,,5
120062,75,105,phg,,6
120062,105,130,phg,,7
120062,130,170,phg,,8
120063,0,5,ftg,,1
120063,5,10,ftg,,2
120063,10,23,phg,,3
120063,23,35,phg,,4
120063,35,67,phg,,5
120063,67,95,phg,,6
120063,95,130,phg,,7
120063,130,170,phg,,8
120063,170,190,phg,,9
120065,0,5,ftg,,1
120065,5,10,ftg,,2
120065,10,32,phg,,3
120065,32,52,phg,,4
120065,52,115,phg,,5
120065,115,165,phg,,6
120066,0,5,ftg,,1
120066,5,10,ftg,,2
120066,10,15,phg,,3
120066,15,40,phg,,4
120066,40,70,phg,,5
120066,70,120,phg,,6
120066,120,180,phg,,7
120067,0,5,ftg,,1
120067,5,10,ftg,,2
120067,10,25,phg,,3
120067,25,65,phg,,4
120067,65,85,phg,,5
120067,85,130,phg,,6
120067,130,170,phg,,7
120068,0,5,ftg,,1
120068,5,10,ftg,,2
120068,10,32,phg,,3
120068,32,50,phg,,4
120068,50,75,phg,,5
120068,75,125,phg,,6
120068,125,175,phg,,7
120069,0,5,ftg,,1
120069,5,10,ftg,,2
120069,10,35,phg,,3
120069,35,55,phg,,4
120069,55,100,phg,,5
120069,100,140,phg,,6
120069,140,160,phg,,7
120069,160,180,phg,,8
120070,0,5,ftg,,1
120070,5,10,ftg,,2
120070,10,25,phg,,3
120070,25,70,phg,,4
120070,70,100,phg,,5
120070,100,130,phg,,6
120070,130,170,phg,,7
120071,0,5,ftg,,1
120071,5,10,ftg,,2
120071,10,24,phg,,3
120071,24,65,phg,,4
120071,65,150,phg,,5
120072,0,5,ftg,,1
120072,5,10,ftg,,2
120072,10,15,phg,,3
120072,15,43,phg,,4
120072,43,120,phg,,5
120072,120,170,phg,,6
120073,0,5,ftg,,1
120073,5,10,ftg,,2
120073,10,30,phg,,3
120073,30,48,phg,,4
120073,48,95,phg,,5
120073,95,130,phg,,6
120073,130,170,phg,,7
120073,170,205,phg,,8
120074,0,5,ftg,,1
120074,5,10,ftg,,2
120074,10,25,phg,,3
120074,25,73,phg,,4
120074,73,150,phg,,5
120075,0,5,ftg,,1
120075,5,10,ftg,,2
120075,10,48,phg,,3
120075,48,85,phg,,4
120075,85,115,phg,,5
120075,115,135,phg,,6
120075,135,165,phg,,7
120076,0,5,ftg,,1
120076,5,10,ftg,,2
120076,10,23,phg,,3
120076,23,40,phg,,4
120076,40,80,phg,,5
120076,80,130,phg,,6
120076,130,170,phg,,7
120077,0,5,ftg,,1
120077,5,10,ftg,,2
120077,10,50,phg,,3
120077,50,70,phg,,4
120077,70,120,phg,,5
120077,120,170,phg,,6
120078,0,5,ftg,,1
120078,5,10,ftg,,2
120078,10,15,phg,,3
120078,15,40,phg,,4
120078,40,80,phg,,5
120078,80,110,phg,,6
120078,110,190,phg,,7
120079,0,5,ftg,,1
120079,5,10,ftg,,2
120079,10,18,phg,,3
120079,18,53,phg,,4
120079,53,150,phg,,5
120080,0,5,ftg,,1
120080,5,10,ftg,,2
120081,0,5,ftg,,1
120081,5,10,ftg,,2
120081,10,23,phg,,3
120081,23,55,phg,,4
120081,55,110,phg,,5
120081,110,145,phg,,6
120081,145,165,phg,,7
120081,165,205,phg,,8
120083,0,5,ftg,,1
120083,5,10,ftg,,2
120083,10,30,phg,,3
120083,30,50,phg,,4
120083,50,70,phg,,5
120083,70,100,phg,,6
120083,100,140,phg,,7
120083,140,160,phg,,8
120084,0,5,ftg,,1
120084,5,10,ftg,,2
120084,10,25,phg,,3
120084,25,47,phg,,4
120084,47,70,phg,,5
120084,70,90,phg,,6
120084,90,125,phg,,7
120084,125,175,phg,,8
120084,175,200,phg,,9
120085,0,5,ftg,,1
120085,5,10,ftg,,2
120085,10,30,phg,,3
120085,30,55,phg,,4
120085,55,85,phg,,5
120085,85,120,phg,,6
120085,120,180,phg,,7
120086,0,5,ftg,,1
120086,5,10,ftg,,2
120086,10,33,phg,,3
120086,33,70,phg,,4
120086,70,110,phg,,5
120086,110,190,phg,,6
120086,190,205,phg,,7
120087,0,5,ftg,,1
120087,5,10,ftg,,2
120087,10,31,phg,,3
120087,31,52,phg,,4
120087,52,70,phg,,5
120087,70,120,phg,,6
120087,120,170,phg,,7
120087,170,190,phg,,8
120088,0,5,ftg,,1
120088,5,10,ftg,,2
120088,10,27,phg,,3
120088,27,68,phg,,4
120088,68,102,phg,,5
120088,102,130,phg,,6
120088,130,170,phg,,7
120088,170,200,phg,,8
120089,0,5,ftg,,1
120089,5,10,ftg,,2
120089,10,28,phg,,3
120089,28,48,phg,,4
120089,48,75,phg,,5
120089,75,110,phg,,6
120089,110,140,phg,,7
120089,140,160,phg,,8
120089,160,195,phg,,9
120089,195,200,phg,,10
120090,0,5,ftg,,1
120090,5,10,ftg,,2
120090,10,20,phg,,3
120090,20,42,phg,,4
120090,42,65,phg,,5
120090,65,125,phg,,6
120090,125,175,phg,,7
120091,0,5,ftg,,1
120091,5,10,ftg,,2
120091,10,20,phg,,3
120091,20,45,phg,,4
120091,45,80,phg,,5
120091,80,130,phg,,6
120091,130,170,phg,,7
120091,170,210,phg,,8
120091,210,220,phg,,9
120092,0,5,ftg,,1
120092,5,10,ftg,,2
120092,10,27,phg,,3
120092,27,55,phg,,4
120092,55,75,phg,,5
120092,75,95,phg,,6
120092,95,120,phg,,7
120092,120,180,phg,,8
120093,0,5,ftg,,1
120093,5,10,ftg,,2
120093,10,18,phg,,3
120093,18,35,phg,,4
120093,35,70,phg,,5
120093,70,110,phg,,6
120093,110,130,phg,,7
120093,130,170,phg,,8
120094,0,5,ftg,,1
120094,5,10,ftg,,2
120094,10,33,phg,,3
120094,33,52,phg,,4
120094,52,75,phg,,5
120094,75,105,phg,,6
120094,105,140,phg,,7
120094,140,160,phg,,8
120095,0,5,ftg,,1
120095,5,10,ftg,,2
120095,10,25,phg,,3
120095,25,45,phg,,4
120095,45,85,phg,,5
120095,85,135,phg,,6
120095,135,165,phg,,7
120095,165,195,phg,,8
120096,0,5,ftg,,1
120096,5,10,ftg,,2
120096,10,23,phg,,3
120096,23,35,phg,,4
120096,35,75,phg,,5
120096,75,115,phg,,6
120096,115,140,phg,,7
120097,0,5,ftg,,1
120097,5,10,ftg,,2
120097,10,30,phg,,3
120097,30,60,phg,,4
120097,60,114,phg,,5
120097,114,138,phg,,6
120098,0,5,ftg,,1
120098,5,10,ftg,,2
120098,10,20,phg,,3
120098,20,30,phg,,4
120098,30,60,phg,,5
120098,60,80,-9,,6
120098,80,112,-9,,7
120098,112,145,-9,,8
120099,0,5,ftg,,1
120099,5,10,ftg,,2
120099,10,30,phg,,3
120099,30,55,phg,,4
120099,55,110,phg,,5
120099,110,190,phg,,6
120099,190,220,phg,,7
120100,0,5,ftg,,1
120100,5,10,ftg,,2
120100,10,22,phg,,3
120100,22,60,phg,,4
