id,kurz,lang,gueltig_ab,gueltig_bis
036.004.999,036.004.999,Eiche,1989-01-01,
037.001.001,037.001.001,,1989-01-01,
037.001.002,037.001.002,,1989-01-01,
037.001.003,037.001.003,,1989-01-01,
037.001.004,037.001.004,,1989-01-01,
037.001.005,037.001.005,,1989-01-01,
037.001.006,037.001.006,,1989-01-01,
037.001.999,037.001.999,"Ulme, Rüster",1989-01-01,
037.001.999.dl,037.001.999.DL,"Ulme, Rüster",1989-01-01,2021-01-01
037.002.001,037.002.001,,1989-01-01,
037.003.001,037.003.001,,1989-01-01,
037.003.002,037.003.002,,1989-01-01,
037.003.003,037.003.003,,1989-01-01,
037.003.004,037.003.004,,1989-01-01,
037.003.005,037.003.005,,1989-01-01,
037.003.999,037.003.999,,1989-01-01,
038.001.001,038.001.001,,1989-01-01,
038.002.001,038.002.001,,1989-01-01,
038.002.002,038.002.002,,1989-01-01,
038.002.999,038.002.999,,1989-01-01,
038.003.001,038.003.001,,1989-01-01,
038.004.001,038.004.001,,1989-01-01,
039.001.001,039.001.001,,1989-01-01,
039.001.002,039.001.002,,1989-01-01,
039.001.999,039.001.999,,1989-01-01,
039.002.001,039.002.001,,1989-01-01,
040.001.001,040.001.001,,1989-01-01,
040.001.002,040.001.002,,1989-01-01,
040.001.003,040.001.003,,1989-01-01,
040.001.004,040.001.004,,1989-01-01,
040.001.005,040.001.005,,1989-01-01,
040.001.006,040.001.006,,1989-01-01,
040.001.007,040.001.007,,1989-01-01,
040.001.008,040.001.008,,1989-01-01,
040.001.009,040.001.009,,1989-01-01,
040.001.010,040.001.010,,1989-01-01,
040.001.011,040.001.011,,1989-01-01,
040.001.012,040.001.012,,1989-01-01,
040.001.999,040.001.999,,1989-01-01,
040.002.001,040.002.001,,1989-01-01,
040.003.001,040.003.001,,1989-01-01,
040.003.002,040.003.002,,1989-01-01,
040.003.003,040.003.003,,1989-01-01,
040.003.004,040.003.004,,1989-01-01,
040.003.005,040.003.005,,1989-01-01,
040.003.006,040.003.006,,1989-01-01,
040.003.007,040.003.007,,1989-01-01,
040.003.999,040.003.999,,1989-01-01,
040.004.001,040.004.001,,1989-01-01,
040.005.001,040.005.001,,1989-01-01,
041.001.001,041.001.001,,1989-01-01,
041.001.002,041.001.002,,1989-01-01,
041.001.999,041.001.999,,1989-01-01,
042.001.001,042.001.001,,1989-01-01,
042.002.001,042.002.001,,1989-01-01,
042.002.002,042.002.002,,1989-01-01,
042.002.999,042.002.999,,1989-01-01,
042.003.001,042.003.001,,1989-01-01,
042.003.002,042.003.002,,1989-01-01,
042.003.003,042.003.003,,1989-01-01,
042.003.004,042.003.004,,1989-01-01,
042.003.005,042.003.005,,1989-01-01,
042.003.006,042.003.006,,1989-01-01,
042.003.007,042.003.007,,1989-01-01,
042.003.008,042.003.008,,1989-01-01,
042.003.009,042.003.009,,1989-01-01,
042.003.010,042.003.010,,1989-01-01,
042.003.011,042.003.011,,1989-01-01,
042.003.012,042.003.012,,1989-01-01,
042.003.013,042.003.013,,1989-01-01,
042.003.014,042.003.014,,1989-01-01,
042.003.015,042.003.015,,1989-01-01,
042.003.016,042.003.016,,1989-01-01,
042.003.017,042.003.017,,1989-01-01,
042.003.018,042.003.018,,1989-01-01,
042.003.019,042.003.019,,1989-01-01,
042.003.020,042.003.020,,1989-01-01,
042.003.021,042.003.021,,1989-01-01,
042.003.022,042.003.022,,1989-01-01,
042.003.023,042.003.023,,1989-01-01,
042.003.024,042.003.024,,1989-01-01,
042.003.025,042.003.025,,1989-01-01,
042.003.999,042.003.999,,1989-01-01,
043.001.001,043.001.001,,1989-01-01,
043.002.001,043.002.001,,1989-01-01,
043.002.002,043.002.002,,1989-01-01,
043.002.005.dl,043.002.005.DL,,1989-01-01,
043.002.999,043.002.999,,1989-01-01,
043.003.001,043.003.001,,1989-01-01,
043.003.002,043.003.002,,1989-01-01,
043.003.999,043.003.999,,1989-01-01,
044.001.001,044.001.001,,1989-01-01,
044.002.001,044.002.001,,1989-01-01,
044.002.002,044.002.002,,1989-01-01,
044.002.003,044.002.003,,1989-01-01,
044.002.004,044.002.004,,1989-01-01,
044.002.005,044.002.005,,1989-01-01,
044.002.006,044.002.006,,1989-01-01,
044.002.007,044.002.007,,1989-01-01,
