MoMoK_Nr;Name;Bundeland;Datum;Nr_VJ_PK;Lage;Distanz MB [cm];pk_maxdist [cm];LfdNr;Baumart (Code);Baumart ;Hoehe [cm];grklasse
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;7;;FLB;380;1
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;8;;RER;520;1
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;9;;RER;670;2
33050;Rätzsee/Fleeth;MV;08.08.2022;N;Nord;1000;386;10;;FLB;570;2
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;1;;FLB;150;1
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;2;;FLB;100;0
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;3;;RER;80;0
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;4;;FLB;53;0
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;5;;RER;100;0
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;6;;RER;135;1
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;7;;RER;200;1
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;8;;RER;170;1
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;9;;FLB;340;2
33050;Rätzsee/Fleeth;MV;08.08.2022;E;Ost;1000;459;10;;EB;35;0
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;1;;FLB;100;0
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;2;;RER;95;0
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;3;;RER;300;1
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;4;;FLB;270;1
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;5;;RER;155;1
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;6;;FLB;90;0
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;7;;FLB;145;1
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;8;;RER;95;0
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;9;;FLB;160;1
33050;Rätzsee/Fleeth;MV;08.08.2022;S;Süd;1000;482;10;;RER;590;2
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;1;;FLB;155;1
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;2;;RER;70;0
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;3;;RER;140;1
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;4;;RER;70;0
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;5;;RER;200;1
33050;Rätzsee/Fleeth;MV;08.08.2022;W;West;1000;494;6;;RER;330;1
