bund_nr,labor,labornr,methode,parameter,messnr,datum,wert,nwg,laboreinheit,methcode1,methcode2,methcode3,atyp,lab_quelle
140001,220,200600506,30,140,1,2009-05-12,0.06,0.06,mg/l,1100220000,30000000,0821440,10,2
140001,100,0613182,52,1,1,2007-10-16,13.508,0.00179999995231628,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,100,0613183,52,1,1,2007-10-16,15.181,0.00179999995231628,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,100,1101201,52,1,1,2011-11-29,18.305,0.024,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,100,1101202,52,1,1,2011-11-29,18.862,0.024,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;0,14,2
140001,220,200600502,52,1,1,2007-01-16,16.2,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,1,1,2007-01-16,17.7,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,1,1,2007-01-16,19.9,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,1,1,2007-01-16,21.0,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,1,1,2007-01-16,20.8,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,1,1,2007-01-16,18.5,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,1,1,2007-01-16,18.3,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,1,1,2007-01-16,6.85,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,220,200630188,52,1,1,2007-01-16,13.8,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
140001,100,0613182,52,2,1,2007-04-24,38.7999992370605,0.100000001490116,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,0613183,52,2,1,2007-04-24,23.4899997711182,0.100000001490116,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,1101201,52,2,1,2012-02-17,6.44000005722046,0.100000001490116,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,1101202,52,2,1,2012-02-17,7.88000011444092,0.100000001490116,mg/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,5;1;1;-1;-1;0,14,2
140001,100,0613182,52,4,1,2007-10-16,0.532,0.000699999988079071,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;5,14,2
140001,100,0613183,52,4,1,2007-10-16,0.396,0.000699999988079071,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;5,14,2
140001,100,1101201,52,4,1,2011-11-29,0.253,0.076,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;5,14,2
140001,100,1101202,52,4,1,2011-11-29,0.14,0.076,g/kg,1;2;5;5;6;2;4;2;-3;-3,52;-3;-3;-3,4;1;1;-1;-1;5,14,2
140001,220,200600502,52,4,1,2007-01-16,0.598,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600503,52,4,1,2007-01-16,0.43,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600504,52,4,1,2007-01-16,0.461,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600505,52,4,1,2007-01-16,0.528,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600506,52,4,1,2007-01-16,0.226,0.0166666666666667,g/kg,2300620000,52190902,0400000,10,2
140001,220,200600507,52,4,1,2007-01-16,0.3475,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200600508,52,4,1,2007-01-16,0.197,0.0166666666666667,g/kg,2300620000,52190902,0400000,30,2
140001,220,200630187,52,4,1,2007-01-16,9.98,0.0166666666666667,g/kg,2300620000,52190902,0400000,31,2
