bund_nr,othori,uthori,uz,farbe,humus,kalk,hydrooxid,hydrooxidanteil,hydrored,hydroredanteil,geform,aggroesse,pedogen,wurzelintfein,wurzelintgrob,wurzelverteil
50035,75,150,,7.5YR5/8,h0,c0,eh,f6,rb,f6,koh,-1,-1,wf1,wg0,g
50035,150,260,,7.5YR5/8,h0,c0,eh,f5,rb,f6,koh,-1,-1,wf1,wg0,g
50035,260,310,True,2.5Y6/4,h0,c4,eh,f6,rb,f6,koh,-1,-1,wf0,wg0,z
50036,0,10,,5YR3/2,h4,c0,e0,-2,r0,-2,sub,gre3,-1,wf5,wg0,g
50036,10,20,,5YR3/3,h3,c0,ed,f8,r0,-2,sub,gre2,-1,wf4,wg0,g
50036,20,35,,10YR6/3,h2,c0,eh,f7,r0,-2,sub,gre3,-1,wf4,wg0,g
50036,35,65,,10YR5/3,h0,c0,eh,f6,rb,f3,sub,gre3,-1,wf3,wg0,g
50036,65,70,,10YR6/4,h0,c0,eh,f5,rb,f5,kit,gre2,-1,wf0,wg0,z
50036,70,120,,10Y7/1,h0,c0,e0,-2,rb,f9,sub,gre3,-1,wf0,wg0,z
50036,120,180,True,10Y7/1,h0,c0,e0,-2,rb,f9,koh,-1,-1,wf0,wg0,z
50037,0,8,,10YR3/3,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50037,8,25,,7.5YR5/6,h2,c0,e0,-2,r0,-2,sub,gre3,-1,wf4,wg0,g
50037,25,75,,7.5YR5/6,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50037,75,90,,5YR5/4,h0,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50037,90,100,True,5YR4/6,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf0,wg0,z
50038,0,8,,7.5YR2.5/2,h4,c0,e0,-2,r0,-2,sub,gre3,-1,wf5,wg0,g
50038,8,13,,5YR3/2,h3,c0,e0,-2,r0,-2,sub,gre3,-1,wf3,wg0,g
50038,13,30,,10YR5/6,h2,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50038,30,80,,10YR6/6,h1,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50038,80,100,,10YR5/8,h0,c0,eh,f6,rb,f4,sub,gre2,-1,wf3,wg0,g
50038,100,120,,gr,h0,c0,e0,-2,r0,-2,sub,gre2,-1,wf2,wg0,u
50038,120,160,True,sw,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf1,wg0,u
50039,0,5,,10YR3/2,h4,c2,e0,-2,r0,-2,kru,gre2,-1,wf5,wg0,u
50039,5,13,,10YR3/3,h4,c2,e0,-2,r0,-2,bro,gra2,-1,wf2,wg0,u
50039,13,45,,10YR6/4,h2,c2,e0,-2,r0,-2,bro,gra2,-1,wf1,wg0,u
50039,45,70,,10YR4/2,h3,c3,e0,-2,r0,-2,bro,gra2,-1,wf1,wg0,u
50039,70,90,True,10YR4/2,h3,c3,-1,-1,r0,-2,bro,gra2,-1,wf1,wg0,u
50040,0,12,,10YR3/1,h4,c0,e0,-2,rb,f2,sub,gre2,-1,wf3,wg0,g
50040,12,20,,10YR4/2,h2,c0,eh,f6,rb,f6,pol,gre3,-1,wf2,wg0,g
50040,20,30,,10YR7/1,h1,c0,eh,f6,rb,f6,pol,gre3,-1,wf2,wg0,g
50040,30,45,,10YR6/1,h0,c0,eh,f4,rb,f7,pol,gre3,-1,wf2,wg0,g
50040,45,60,,10YR6/1,h0,c0,eh,f4,rb,f7,pol,gre3,-1,wf1,wg0,g
50040,60,140,True,10YR8/1,h0,c4,eh,f4,rb,f7,-1,-1,-1,wf1,wg0,k
50041,0,7,,10YR3/2,h4,c0,e0,-2,r0,-2,sub,gre2,-1,wf5,wg0,g
50041,7,35,,10YR4/6,h3,c0,e0,-2,r0,-2,sub,gre2,-1,wf4,wg0,g
50041,35,45,,10YR4/6,h2,c0,e0,-2,r0,-2,sub,gre2,-1,wf3,wg0,k
50041,45,70,True,-1,h0,c0,e0,-2,r0,-2,-1,-1,-1,wf0,wg0,z
50042,0,10,,7.5YR3/1,h4,c0,e0,-2,r0,-2,pol,gre3,ko;-9,wf4,wg0,g
50042,10,50,,10YR3/2,h3,c0,ed,f2,r0,-2,pol,gre3,ko;-9,wf3,wg0,g
50042,50,65,,10YR4/1,h3,c0,ed,f3,r0,-2,pol,gre3,ko;-9,wf2,wg0,g
50042,65,80,,2.5Y6/2,h2,c0,eh,f2,rb,f6,pol,gre3,ko;-9,wf2,wg0,g
50042,80,95,,2.5Y6/2,h1,c0,eh,f2,rb,f7,pol,gre3,ko;-9,wf2,wg0,g
50042,95,110,,2.5Y6/2,h0,c0,eh,f2,rb,f7,koh,-1,-1,wf0,wg0,z
