"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"92",92,92,218,"ETa","Edeltanne","Abies procera","Abies","procera","026.001.001","NB",106,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI"
"93",93,93,219,"Eib","Eibe","Taxus baccata","Taxus","baccata","029.001.001","NB",137,30012,"EIB","WAHR","Coniferales trees",14,"fi","fi","fi","FI","FI"
"94",94,94,220,"HTa","Hemlocktanne","Tsuga spp.","Tsuga","spp.","","NB",139,30012,"SNB","WAHR","Tsuga heterophylla",13,"fi","fi","fi","FI","FI"
"95",95,95,221,"HLä","Hybridlaerche","Larix eurolepis","Larix","eurolepis","","NB",150,30012,"LAE","FALSCH","Larix spp.",9,"lae","ki","ki","KI","LA"
"96",96,96,222,"Ara","Japantanne","Araucaria araucana","Araucaria","araucana","","NB",157,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"97",97,97,223,"Le","Lebensbaum","Thuja spp.","Thuja","spp.","","NB",138,30012,"SNB","WAHR","Thuja plicata",12,"fi","fi","fi","FI","FI"
"98",98,98,224,"LTa","Lowes Tanne","abies …","abies","…","","NB",199,30012,"TA","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"99",99,99,225,"Mes","Urweltmammutbaum","Metasequoia glyptostroboides","Metasequoia","glyptostroboides","","NB",160,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"100",100,100,226,"NTa","Nordmannstanne","Abies nordmanniana","Abies","nordmanniana","026.001.005","NB",104,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI"
"101",101,101,227,"OFi","Omorika Fichte","Picea omorika","Picea","omorika","","NB",119,30012,"FI","FALSCH","Picea abies",1,"fi","fi","fi","FI","FI"
"102",102,102,228,"PKi","Pechkiefer","Pinus rigida","Pinus","rigida","","NB",155,30012,"KI","FALSCH","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"103",103,103,229,"PTa","Purpurtanne","Abies amabilis","Abies","amabilis","","NB",147,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"104",104,104,230,"RZy","Rauchzypresse","Calocedrus decurrens","Calocedrus","decurrens","","NB",158,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"105",105,105,232,"Se","Riesenmammutbaum","Sequoiadendron giganteum","Sequoiadendron","giganteum","027.002.001","NB",161,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"106",106,106,233,"TaS","Sicheltanne","Cryptomeria japonica","Cryptomeria","japonica","027.004.001","NB",159,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"107",107,107,234,"FiS","Stechfichte","Picea pungens","Picea","pungens","026.004.005","NB",152,30012,"FI","FALSCH","Picea abies",1,"fi","fi","fi","FI","FI"
"108",108,108,236,"SLä","Sumpflaerche","Larix laricina","Larix","laricina","","NB",199,30012,"LAE","FALSCH","Larix spp.",9,"lae","ki","ki","KI","LA"
"109",109,109,237,"VTa","Veits Tanne","Abies veitchii","Abies","veitchii","","NB",149,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"110",110,110,238,"WFi","Weißfichte","Picea glauca","Picea","glauca","026.004.003","NB",151,30012,"FI","FALSCH","Picea abies",1,"fi","fi","fi","FI","FI"
"111",111,111,239,"ZKi","Zirbelkiefer","Pinus cembra","Pinus","cembra","026.007.014","NB",123,30012,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI"
"112",112,112,299,"sNd","sonstige Nadelbaeume","alii acus","alii","acus","999.999.002.DL","NB",199,30012,"SNB","WAHR","Coniferales trees",14,"fi","fi","fi","FI","FI"
"113",113,113,303,"SWa","Stinkende Wacholder","Juniperus foetidissima","Juniperus","foetidissima","028.005.008","NB",145,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"114",114,114,304,"KFi","Kaukasus-Fichte","Picea orientalis","Picea","orientalis","026.004.002","NB",146,30012,"FI","FALSCH","Picea abies",1,"fi","fi","fi","FI","FI"
"115",115,115,305,"LZe","Libanon-Zeder","Cedrus libani","Cedrus","libani","","NB",143,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"116",116,116,306,"CTa","Kilikische Tanne","Abies cilicica","Abies","cilicica","","NB",142,30012,"TA","FALSCH","Abies alba",3,"ta","fi","fi","FI","FI"
"117",117,117,307,"GWa","Gemeiner Wacholder","Juniperus communis","Juniperus","communis","028.005.002","NB",111,30012,"SNB","FALSCH","Coniferales trees",14,"fi","fi","fi","FI","FI"
"118",118,118,308,"FrA","Französische Ahorn","Acer monspessulanum","Acer","monspessulanum","095.001.013","LB",2,30011,"AH","WAHR","Acer spp.",22,"bu","aLh","bu","AH","BU"
