"";"bfhnr";"lfdnr";"ort";"bart";"schi";"bhd";"hori";"azi";"hoehe";"alter";"roid";"fadd"
"3733";50117;16;9;"RBu";1;22;NA;NA;NA;70;3733;2013-06-19 10:11:40
"3734";50117;17;9;"RBu";1;24;NA;NA;NA;70;3734;2013-06-19 10:11:40
"3735";50117;18;9;"RBu";1;39;NA;NA;28,5;70;3735;2013-06-19 10:11:40
"3736";50117;19;9;"RBu";1;42;NA;NA;26;70;3736;2013-06-19 10:11:40
"3737";50117;20;9;"RBu";1;26;NA;NA;NA;70;3737;2013-06-19 10:11:40
"3738";50117;21;9;"RBu";1;30;NA;NA;NA;70;3738;2013-06-19 10:11:40
"3739";50117;22;9;"RBu";1;37;NA;NA;NA;70;3739;2013-06-19 10:11:40
"3740";50117;23;9;"SEi";1;37;NA;NA;NA;90;3740;2013-06-19 10:11:40
"3741";50117;24;9;"SEi";1;45;NA;NA;NA;90;3741;2013-06-19 10:11:40
"3742";50117;25;9;"SEi";1;46;NA;NA;NA;90;3742;2013-06-19 10:11:40
"3743";50117;26;9;"ELa";1;42;NA;NA;NA;70;3743;2013-06-19 10:11:40
"3744";50118;1;9;"GEs";1;52;NA;NA;35;163;3744;2013-06-19 10:11:40
"3745";50118;2;9;"RBu";1;52;NA;NA;NA;163;3745;2013-06-19 10:11:40
"3746";50118;3;9;"RBu";1;76;NA;NA;42;163;3746;2013-06-19 10:11:40
"3747";50118;4;9;"RBu";1;73;NA;NA;41;163;3747;2013-06-19 10:11:40
"3748";50118;5;9;"RBu";2;42;NA;NA;NA;NA;3748;2013-06-19 10:11:40
"3749";50118;6;9;"RBu";1;39;NA;NA;36;163;3749;2013-06-19 10:11:40
"3750";50118;7;9;"Ei";1;63;NA;NA;39;163;3750;2013-06-19 10:11:40
"3751";50118;8;9;"RBu";2;31;NA;NA;NA;NA;3751;2013-06-19 10:11:40
"3752";50118;9;9;"RBu";2;15;NA;NA;NA;NA;3752;2013-06-19 10:11:40
"3753";50118;10;9;"RBu";2;23;NA;NA;NA;NA;3753;2013-06-19 10:11:40
"3754";50118;11;9;"RBu";1;71;NA;NA;43;163;3754;2013-06-19 10:11:40
"3755";50118;12;9;"RBu";1;70;NA;NA;43;163;3755;2013-06-19 10:11:40
"3756";50118;13;9;"RBu";1;46;NA;NA;NA;163;3756;2013-06-19 10:11:40
"3757";50118;14;9;"RBu";1;67;NA;NA;NA;163;3757;2013-06-19 10:11:40
"3758";50118;15;9;"RBu";1;48;NA;NA;NA;163;3758;2013-06-19 10:11:40
"3759";50118;16;9;"RBu";1;34;NA;NA;NA;163;3759;2013-06-19 10:11:40
"3760";50118;17;9;"RBu";2;30;NA;NA;NA;NA;3760;2013-06-19 10:11:40
"3761";50118;18;9;"RBu";1;59;NA;NA;NA;163;3761;2013-06-19 10:11:40
"3762";50119;1;9;"RBu";1;68;NA;NA;37;169;3762;2013-06-19 10:11:40
"3763";50119;2;9;"RBu";1;55;NA;NA;32,5;169;3763;2013-06-19 10:11:40
"3764";50119;3;9;"RBu";1;47;NA;NA;NA;169;3764;2013-06-19 10:11:40
"3765";50119;4;9;"RBu";1;44;NA;NA;NA;169;3765;2013-06-19 10:11:40
"3766";50119;5;9;"RBu";1;47;NA;NA;NA;169;3766;2013-06-19 10:11:40
"3767";50119;6;9;"RBu";1;58;NA;NA;33,5;169;3767;2013-06-19 10:11:40
"3768";50119;7;9;"RBu";1;42;NA;NA;NA;169;3768;2013-06-19 10:11:40
"3769";50119;8;9;"RBu";1;43;NA;NA;NA;169;3769;2013-06-19 10:11:40
"3770";50119;9;9;"RBu";1;48;NA;NA;NA;169;3770;2013-06-19 10:11:40
"3771";50119;10;9;"RBu";1;52;NA;NA;35,5;169;3771;2013-06-19 10:11:40
"3772";50119;11;9;"RBu";1;57;NA;NA;35;169;3772;2013-06-19 10:11:40
"3773";50119;12;9;"RBu";1;47;NA;NA;NA;169;3773;2013-06-19 10:11:40
"3774";50119;13;9;"RBu";1;47;NA;NA;NA;169;3774;2013-06-19 10:11:40
"3775";50119;14;9;"RBu";1;44;NA;NA;NA;169;3775;2013-06-19 10:11:40
"3776";50119;15;9;"RBu";1;51;NA;NA;NA;169;3776;2013-06-19 10:11:40
"3777";50119;16;9;"RBu";1;44;NA;NA;NA;169;3777;2013-06-19 10:11:40
"3778";50119;17;9;"RBu";1;48;NA;NA;NA;169;3778;2013-06-19 10:11:40
"3779";50119;18;9;"RBu";1;40;NA;NA;NA;169;3779;2013-06-19 10:11:40
"3780";50119;19;9;"RBu";1;39;NA;NA;NA;169;3780;2013-06-19 10:11:40
"3781";50119;20;9;"RBu";1;43;NA;NA;NA;169;3781;2013-06-19 10:11:40
"3782";50120;1;9;"GFi";1;48;NA;NA;NA;144;3782;2013-06-19 10:11:40
"3783";50120;2;9;"GFi";1;44;NA;NA;NA;144;3783;2013-06-19 10:11:40
"3784";50120;3;9;"GFi";1;48;NA;NA;NA;144;3784;2013-06-19 10:11:40
"3785";50120;4;9;"GFi";1;42;NA;NA;NA;144;3785;2013-06-19 10:11:40
"3786";50120;5;9;"GFi";1;50;NA;NA;NA;144;3786;2013-06-19 10:11:40
"3787";50120;6;9;"GFi";1;40;NA;NA;NA;144;3787;2013-06-19 10:11:40
"3788";50120;7;9;"GFi";1;47;NA;NA;NA;144;3788;2013-06-19 10:11:40
"3789";50120;8;9;"GFi";1;39;NA;NA;NA;144;3789;2013-06-19 10:11:40
"3790";50120;9;9;"GFi";1;63;NA;NA;31;144;3790;2013-06-19 10:11:40
"3791";50120;10;9;"GFi";1;52;NA;NA;33;144;3791;2013-06-19 10:11:40
"3792";50120;11;9;"GFi";1;46;NA;NA;NA;144;3792;2013-06-19 10:11:40
"3793";50120;12;9;"GFi";1;49;NA;NA;NA;144;3793;2013-06-19 10:11:40
"3794";50120;13;9;"GFi";1;35;NA;NA;NA;144;3794;2013-06-19 10:11:40
"3795";50120;14;9;"GFi";1;47;NA;NA;NA;144;3795;2013-06-19 10:11:40
"3796";50120;15;9;"GFi";1;57;NA;NA;35;144;3796;2013-06-19 10:11:40
"3797";50120;16;9;"GFi";1;54;NA;NA;33;144;3797;2013-06-19 10:11:40
"3798";50120;17;9;"GFi";1;45;NA;NA;NA;144;3798;2013-06-19 10:11:40
"3799";50120;18;9;"GFi";1;62;NA;NA;34;144;3799;2013-06-19 10:11:40
"3800";50121;1;9;"REi";1;34;NA;NA;28;50;3800;2013-06-19 10:11:40
"3801";50121;2;9;"REi";1;28;NA;NA;NA;50;3801;2013-06-19 10:11:40
"3802";50121;3;9;"REi";1;34;NA;NA;28,5;50;3802;2013-06-19 10:11:40
"3803";50121;4;9;"REi";1;18;NA;NA;NA;50;3803;2013-06-19 10:11:40
"3804";50121;5;9;"REi";2;14;NA;NA;NA;50;3804;2013-06-19 10:11:40
"3805";50121;6;9;"REi";2;8;NA;NA;NA;50;3805;2013-06-19 10:11:40
"3806";50121;7;9;"REi";2;12;NA;NA;NA;50;3806;2013-06-19 10:11:40
"3807";50121;8;9;"REi";2;10;NA;NA;NA;50;3807;2013-06-19 10:11:40
"3808";50121;9;9;"REi";2;10;NA;NA;NA;50;3808;2013-06-19 10:11:40
"3809";50121;10;9;"REi";2;9;NA;NA;NA;50;3809;2013-06-19 10:11:40
"3810";50121;11;9;"REi";2;11;NA;NA;NA;50;3810;2013-06-19 10:11:40
"3811";50121;12;9;"REi";2;10;NA;NA;NA;50;3811;2013-06-19 10:11:40
"3812";50121;13;9;"RBu";2;8;NA;NA;NA;50;3812;2013-06-19 10:11:40
"3813";50121;14;9;"RBu";2;10;NA;NA;NA;50;3813;2013-06-19 10:11:40
"3814";50121;15;9;"RBu";2;7;NA;NA;NA;50;3814;2013-06-19 10:11:40
"3815";50121;16;9;"RBu";2;8;NA;NA;NA;50;3815;2013-06-19 10:11:40
"3816";50121;17;9;"RBu";2;11;NA;NA;NA;50;3816;2013-06-19 10:11:40
"3817";50121;18;9;"RBu";2;9;NA;NA;NA;50;3817;2013-06-19 10:11:40
"3818";50121;19;9;"REi";1;35;NA;NA;29,5;50;3818;2013-06-19 10:11:40
"3819";50121;20;9;"REi";1;40;NA;NA;28;50;3819;2013-06-19 10:11:40
"3820";50121;21;9;"REi";1;32;NA;NA;28;50;3820;2013-06-19 10:11:40
"3821";50121;22;9;"GFi";1;21;NA;NA;NA;50;3821;2013-06-19 10:11:40
"3822";50121;23;9;"REi";2;10;NA;NA;NA;50;3822;2013-06-19 10:11:40
"3823";50121;24;9;"REi";2;10;NA;NA;NA;50;3823;2013-06-19 10:11:40
"3824";50121;25;9;"REi";2;7;NA;NA;NA;50;3824;2013-06-19 10:11:40
"3825";50121;26;9;"REi";2;13;NA;NA;NA;50;3825;2013-06-19 10:11:40
"3826";50121;27;9;"REi";2;10;NA;NA;NA;50;3826;2013-06-19 10:11:40
"3827";50121;28;9;"REi";2;15;NA;NA;NA;50;3827;2013-06-19 10:11:40
"3828";50121;29;9;"REi";2;10;NA;NA;NA;50;3828;2013-06-19 10:11:40
"3829";50121;30;9;"REi";2;10;NA;NA;NA;50;3829;2013-06-19 10:11:40
"3830";50121;31;9;"REi";2;8;NA;NA;NA;50;3830;2013-06-19 10:11:40
"3831";50121;32;9;"RBu";2;9;NA;NA;NA;50;3831;2013-06-19 10:11:40
"3832";50121;33;9;"RBu";2;10;NA;NA;NA;50;3832;2013-06-19 10:11:40
"3833";50121;34;9;"RBu";2;8;NA;NA;NA;50;3833;2013-06-19 10:11:40
"3834";50121;35;9;"RBu";2;12;NA;NA;NA;50;3834;2013-06-19 10:11:40
"3835";50121;36;9;"RBu";2;10;NA;NA;NA;50;3835;2013-06-19 10:11:40
"3836";50121;37;9;"REi";2;11;NA;NA;NA;50;3836;2013-06-19 10:11:40
"3837";50121;38;9;"REi";1;21;NA;NA;NA;50;3837;2013-06-19 10:11:40
"3838";50121;39;9;"REi";1;27;NA;NA;NA;50;3838;2013-06-19 10:11:40
"3839";50121;40;9;"GFi";2;7;NA;NA;NA;50;3839;2013-06-19 10:11:40
"3840";50121;41;9;"RBu";2;7;NA;NA;NA;50;3840;2013-06-19 10:11:40
"3841";50121;42;9;"RBu";2;11;NA;NA;NA;50;3841;2013-06-19 10:11:40
"3842";50121;43;9;"RBu";2;13;NA;NA;NA;50;3842;2013-06-19 10:11:40
"3843";50121;44;9;"REi";2;7;NA;NA;NA;50;3843;2013-06-19 10:11:40
"3844";50121;45;9;"ELa";1;53;NA;NA;27;50;3844;2013-06-19 10:11:40
"3845";50121;46;9;"ELa";1;43;NA;NA;28,5;50;3845;2013-06-19 10:11:40
"3846";50121;47;9;"ELa";1;42;NA;NA;26,5;50;3846;2013-06-19 10:11:40
"3847";50121;48;9;"REi";1;20;NA;NA;NA;50;3847;2013-06-19 10:11:40
"3848";50121;49;9;"RBu";2;18;NA;NA;NA;50;3848;2013-06-19 10:11:40
"3849";50121;50;9;"RBu";2;8;NA;NA;NA;50;3849;2013-06-19 10:11:40
"3850";50121;51;9;"RBu";2;11;NA;NA;NA;50;3850;2013-06-19 10:11:40
"3851";50121;52;9;"RBu";2;10;NA;NA;NA;50;3851;2013-06-19 10:11:40
"3852";50121;53;9;"REi";2;8;NA;NA;NA;50;3852;2013-06-19 10:11:40
"3853";50121;54;9;"REi";2;7;NA;NA;NA;50;3853;2013-06-19 10:11:40
"3854";50121;55;9;"REi";2;15;NA;NA;NA;50;3854;2013-06-19 10:11:40
"3855";50121;56;9;"REi";2;7;NA;NA;NA;50;3855;2013-06-19 10:11:40
"3856";50121;57;9;"REi";2;12;NA;NA;NA;50;3856;2013-06-19 10:11:40
"3857";50122;1;9;"GFi";1;28;NA;NA;NA;78;3857;2013-06-19 10:11:40
"3858";50122;2;9;"GFi";1;41;NA;NA;20,5;78;3858;2013-06-19 10:11:40
"3859";50122;3;9;"GFi";1;33;NA;NA;NA;78;3859;2013-06-19 10:11:40
"3860";50122;4;9;"GFi";1;41;NA;NA;23;78;3860;2013-06-19 10:11:40
"3861";50122;5;9;"GFi";1;39;NA;NA;NA;78;3861;2013-06-19 10:11:40
"3862";50122;6;9;"GFi";1;36;NA;NA;NA;78;3862;2013-06-19 10:11:40
"3863";50122;7;9;"GFi";1;23;NA;NA;NA;78;3863;2013-06-19 10:11:40
"3864";50122;8;9;"GFi";1;38;NA;NA;19,5;78;3864;2013-06-19 10:11:40
"3865";50122;9;9;"GFi";1;42;NA;NA;18,5;78;3865;2013-06-19 10:11:40
"3866";50122;10;9;"GFi";1;26;NA;NA;NA;78;3866;2013-06-19 10:11:40
"3867";50122;11;9;"GFi";1;18;NA;NA;NA;78;3867;2013-06-19 10:11:40
"3868";50122;12;9;"GFi";1;20;NA;NA;NA;78;3868;2013-06-19 10:11:40
"3869";50122;13;9;"GFi";1;36;NA;NA;NA;78;3869;2013-06-19 10:11:40
"3870";50122;14;9;"GFi";1;26;NA;NA;NA;78;3870;2013-06-19 10:11:40
"3871";50122;15;9;"GFi";1;18;NA;NA;NA;78;3871;2013-06-19 10:11:40
"3872";50122;16;9;"GFi";1;26;NA;NA;NA;78;3872;2013-06-19 10:11:40
"3873";50122;17;9;"GFi";1;43;NA;NA;21;78;3873;2013-06-19 10:11:40
"3874";50122;18;9;"GFi";1;20;NA;NA;NA;78;3874;2013-06-19 10:11:40
"3875";50122;19;9;"GFi";1;31;NA;NA;NA;78;3875;2013-06-19 10:11:40
"3876";50122;20;9;"GFi";1;23;NA;NA;NA;78;3876;2013-06-19 10:11:40
"3877";50122;21;9;"GFi";2;14;NA;NA;NA;78;3877;2013-06-19 10:11:40
"3878";50123;1;9;"GKi";1;19;NA;NA;NA;50;3878;2013-06-19 10:11:40
"3879";50123;2;9;"GKi";1;12,2;NA;NA;NA;50;3879;2013-06-19 10:11:40
"3880";50123;3;9;"GKi";1;20,2;NA;NA;NA;50;3880;2013-06-19 10:11:40
"3881";50123;4;9;"GKi";1;9,25;NA;NA;NA;50;3881;2013-06-19 10:11:40
"3882";50123;5;9;"GKi";1;10;NA;NA;NA;50;3882;2013-06-19 10:11:40
"3883";50123;6;9;"GKi";1;15,8;NA;NA;13;50;3883;2013-06-19 10:11:40
"3884";50123;7;9;"GKi";1;13;NA;NA;NA;50;3884;2013-06-19 10:11:40
"3885";50123;8;9;"GKi";1;13,45;NA;NA;NA;50;3885;2013-06-19 10:11:40
"3886";50123;9;9;"GKi";1;7,85;NA;NA;NA;50;3886;2013-06-19 10:11:40
"3887";50123;10;9;"GKi";1;10,4;NA;NA;NA;50;3887;2013-06-19 10:11:40
"3888";50123;11;9;"GKi";1;10,6;NA;NA;NA;50;3888;2013-06-19 10:11:40
"3889";50123;12;9;"GKi";1;9,35;NA;NA;NA;50;3889;2013-06-19 10:11:40
"3890";50123;13;9;"GKi";1;18;NA;NA;14,5;50;3890;2013-06-19 10:11:40
"3891";50123;14;9;"GKi";1;16,15;NA;NA;NA;50;3891;2013-06-19 10:11:40
"3892";50123;15;9;"GKi";1;7,35;NA;NA;NA;50;3892;2013-06-19 10:11:40
"3893";50123;16;9;"GKi";1;19,1;NA;NA;14;50;3893;2013-06-19 10:11:40
"3894";50123;17;9;"GKi";1;21;NA;NA;13;50;3894;2013-06-19 10:11:40
"3895";50123;18;9;"GKi";1;16,35;NA;NA;12;50;3895;2013-06-19 10:11:40
"3896";50124;1;9;"Fi";2;13,75;NA;NA;NA;52;3896;2013-06-19 10:11:40
"3897";50124;2;9;"Fi";2;16,6;NA;NA;12,5;52;3897;2013-06-19 10:11:40
"3898";50124;3;9;"Fi";2;12,2;NA;NA;NA;52;3898;2013-06-19 10:11:40
"3899";50124;4;9;"Fi";2;13,5;NA;NA;NA;52;3899;2013-06-19 10:11:40
"3900";50124;5;9;"Fi";2;8,25;NA;NA;NA;52;3900;2013-06-19 10:11:40
"3901";50124;6;9;"ELa";2;12,5;NA;NA;13,5;52;3901;2013-06-19 10:11:40
"3902";50124;7;9;"Fi";2;7,65;NA;NA;NA;52;3902;2013-06-19 10:11:40
"3903";50124;8;9;"ELa";2;17,25;NA;NA;13;52;3903;2013-06-19 10:11:40
"3904";50124;9;9;"Fi";2;10,8;NA;NA;NA;52;3904;2013-06-19 10:11:40
"3905";50124;10;9;"GKi";1;35;NA;NA;23;52;3905;2013-06-19 10:11:40
"3906";50124;11;9;"Fi";2;12;NA;NA;NA;52;3906;2013-06-19 10:11:40
"3907";50124;12;9;"Fi";2;12,65;NA;NA;NA;52;3907;2013-06-19 10:11:40
"3908";50124;13;9;"Fi";2;15,05;NA;NA;NA;52;3908;2013-06-19 10:11:40
"3909";50124;14;9;"GKi";1;36;NA;NA;23,5;52;3909;2013-06-19 10:11:40
"3910";50124;15;9;"Fi";2;17,85;NA;NA;NA;52;3910;2013-06-19 10:11:40
"3911";50124;16;9;"Fi";2;15;NA;NA;NA;52;3911;2013-06-19 10:11:40
"3912";50124;17;9;"Fi";2;18,2;NA;NA;NA;52;3912;2013-06-19 10:11:40
"3913";50124;18;9;"Fi";2;11,4;NA;NA;NA;52;3913;2013-06-19 10:11:40
"3914";50124;19;9;"GKi";1;38,7;NA;NA;23,5;52;3914;2013-06-19 10:11:40
"3915";50125;1;9;"Ki";1;32;NA;NA;22;56;3915;2013-06-19 10:11:40
"3916";50125;2;9;"Ki";1;31;NA;NA;NA;56;3916;2013-06-19 10:11:40
"3917";50125;3;9;"Ki";1;29;NA;NA;NA;56;3917;2013-06-19 10:11:40
"3918";50125;4;9;"RBu";3;8;NA;NA;6;NA;3918;2013-06-19 10:11:40
"3919";50125;5;9;"RBu";3;17;NA;NA;9;NA;3919;2013-06-19 10:11:40
"3920";50125;6;9;"Ki";1;22;NA;NA;NA;56;3920;2013-06-19 10:11:40
"3921";50125;7;9;"Lae";1;33;NA;NA;25;56;3921;2013-06-19 10:11:40
"3922";50125;8;9;"Ki";2;17;NA;NA;NA;NA;3922;2013-06-19 10:11:40
"3923";50125;9;9;"Ki";1;28;NA;NA;NA;56;3923;2013-06-19 10:11:40
"3924";50125;10;9;"Lae";1;30;NA;NA;26;56;3924;2013-06-19 10:11:40
"3925";50125;11;9;"Ei";3;10;NA;NA;10;NA;3925;2013-06-19 10:11:40
"3926";50125;12;9;"Fi";3;10;NA;NA;11;56;3926;2013-06-19 10:11:40
"3927";50125;13;9;"Lae";1;40;NA;NA;24;56;3927;2013-06-19 10:11:40
"3928";50125;14;9;"Ki";1;31;NA;NA;22;56;3928;2013-06-19 10:11:40
"3929";50125;15;9;"Ki";1;25;NA;NA;NA;56;3929;2013-06-19 10:11:40
"3930";50125;16;9;"Fi";3;17;NA;NA;13;NA;3930;2013-06-19 10:11:40
"3931";50125;17;9;"Ki";1;29;NA;NA;NA;56;3931;2013-06-19 10:11:40
"3932";50125;18;9;"Ki";1;31;NA;NA;22;56;3932;2013-06-19 10:11:40
"3933";50125;19;9;"Ki";1;29;NA;NA;NA;56;3933;2013-06-19 10:11:40
"3934";50125;20;9;"Ki";1;32;NA;NA;22;56;3934;2013-06-19 10:11:40
"3935";50125;21;9;"Ki";1;27;NA;NA;NA;56;3935;2013-06-19 10:11:40
"3936";50125;22;9;"Fi";3;8;NA;NA;5;NA;3936;2013-06-19 10:11:40
"3937";50125;23;9;"Ki";1;37;NA;NA;23;56;3937;2013-06-19 10:11:40
"3938";50125;24;9;"SFi";1;26;NA;NA;NA;56;3938;2013-06-19 10:11:40
"3939";50126;1;9;"RBu";2;12;NA;NA;NA;68;3939;2013-06-19 10:11:40
"3940";50126;2;9;"RBu";2;13;NA;NA;NA;68;3940;2013-06-19 10:11:40
"3941";50126;3;9;"RBu";1;18;NA;NA;NA;68;3941;2013-06-19 10:11:40
"3942";50126;4;9;"RBu";2;13;NA;NA;NA;68;3942;2013-06-19 10:11:40
"3943";50126;5;9;"RBu";1;41;NA;NA;28;68;3943;2013-06-19 10:11:40
"3944";50126;6;9;"RBu";1;28;NA;NA;NA;68;3944;2013-06-19 10:11:40
"3945";50126;7;9;"RBu";1;31;NA;NA;NA;68;3945;2013-06-19 10:11:40
"3946";50126;8;9;"RBu";1;17;NA;NA;NA;68;3946;2013-06-19 10:11:40
"3947";50126;9;9;"RBu";2;12;NA;NA;NA;68;3947;2013-06-19 10:11:40
"3948";50126;10;9;"RBu";1;34;NA;NA;26,5;68;3948;2013-06-19 10:11:40
"3949";50126;11;9;"RBu";2;12;NA;NA;NA;68;3949;2013-06-19 10:11:40
"3950";50126;12;9;"RBu";1;21;NA;NA;NA;68;3950;2013-06-19 10:11:40
"3951";50126;13;9;"RBu";1;32;NA;NA;NA;68;3951;2013-06-19 10:11:40
"3952";50126;14;9;"RBu";1;41;NA;NA;31;68;3952;2013-06-19 10:11:40
"3953";50126;15;9;"RBu";1;25;NA;NA;NA;68;3953;2013-06-19 10:11:40
"3954";50126;16;9;"RBu";1;31;NA;NA;NA;68;3954;2013-06-19 10:11:40
"3955";50126;17;9;"RBu";1;19;NA;NA;NA;68;3955;2013-06-19 10:11:40
"3956";50126;18;9;"RBu";1;40;NA;NA;29;68;3956;2013-06-19 10:11:40
"3957";50126;19;9;"RBu";1;28;NA;NA;NA;68;3957;2013-06-19 10:11:40
"3958";50126;20;9;"RBu";1;36;NA;NA;26;68;3958;2013-06-19 10:11:40
"3959";50126;21;9;"RBu";1;18;NA;NA;NA;68;3959;2013-06-19 10:11:40
"3960";50126;22;9;"RBu";1;32;NA;NA;NA;68;3960;2013-06-19 10:11:40
"3961";50126;23;9;"GEs";1;37;NA;NA;NA;68;3961;2013-06-19 10:11:40
"3962";50127;1;9;"RBu";1;30,8;NA;NA;21,5;56;3962;2013-06-19 10:11:40
"3963";50127;2;9;"BAh";1;27,2;NA;NA;NA;47;3963;2013-06-19 10:11:40
"3964";50127;3;9;"BAh";1;28,2;NA;NA;NA;47;3964;2013-06-19 10:11:40
"3965";50127;4;9;"BAh";1;23,5;NA;NA;NA;47;3965;2013-06-19 10:11:40
"3966";50127;5;9;"BAh";1;24,5;NA;NA;NA;47;3966;2013-06-19 10:11:40
"3967";50127;6;9;"BAh";1;24,3;NA;NA;NA;47;3967;2013-06-19 10:11:40
"3968";50127;7;9;"BAh";1;32,5;NA;NA;22,5;47;3968;2013-06-19 10:11:40
"3969";50127;8;9;"BAh";1;29,3;NA;NA;NA;47;3969;2013-06-19 10:11:40
"3970";50127;9;9;"BAh";1;29,2;NA;NA;NA;47;3970;2013-06-19 10:11:40
"3971";50127;10;9;"BAh";1;26,6;NA;NA;21;47;3971;2013-06-19 10:11:40
"3972";50127;11;9;"BAh";1;27,3;NA;NA;NA;47;3972;2013-06-19 10:11:40
"3973";50127;12;9;"BAh";1;23,3;NA;NA;NA;47;3973;2013-06-19 10:11:40
"3974";50127;13;9;"BAh";1;23,5;NA;NA;NA;47;3974;2013-06-19 10:11:40
"3975";50127;14;9;"BAh";1;29,15;NA;NA;NA;47;3975;2013-06-19 10:11:40
"3976";50127;15;9;"BAh";1;35,45;NA;NA;NA;47;3976;2013-06-19 10:11:40
"3977";50127;16;9;"RBu";1;18,15;NA;NA;24;47;3977;2013-06-19 10:11:40
"3978";50127;17;9;"RBu";2;7,5;NA;NA;NA;47;3978;2013-06-19 10:11:40
"3979";50127;18;9;"BAh";1;27,4;NA;NA;11;47;3979;2013-06-19 10:11:40
"3980";50127;19;9;"BAh";1;30,7;NA;NA;24,5;47;3980;2013-06-19 10:11:40
"3981";50127;20;9;"RBu";2;30,7;NA;NA;NA;47;3981;2013-06-19 10:11:40
"3982";50127;21;9;"RBu";2;8;NA;NA;10,45;47;3982;2013-06-19 10:11:40
"3983";50127;22;9;"BAh";1;7,15;NA;NA;10;47;3983;2013-06-19 10:11:40
"3984";50127;23;9;"BAh";1;30,7;NA;NA;22;47;3984;2013-06-19 10:11:40
"3985";50128;1;9;"Fi";1;24,6;NA;NA;NA;30;3985;2013-06-19 10:11:40
"3986";50128;2;9;"Fi";1;16,3;NA;NA;NA;30;3986;2013-06-19 10:11:40
"3987";50128;3;9;"Fi";1;22;NA;NA;NA;30;3987;2013-06-19 10:11:40
"3988";50128;4;9;"Fi";1;18;NA;NA;NA;30;3988;2013-06-19 10:11:40
"3989";50128;5;9;"Fi";1;19,9;NA;NA;NA;30;3989;2013-06-19 10:11:40
"3990";50128;6;9;"Fi";1;18,2;NA;NA;NA;30;3990;2013-06-19 10:11:40
"3991";50128;7;9;"Fi";1;19,2;NA;NA;NA;30;3991;2013-06-19 10:11:40
"3992";50128;8;9;"Fi";1;17,85;NA;NA;NA;30;3992;2013-06-19 10:11:40
"3993";50128;9;9;"Fi";1;22,6;NA;NA;16,5;30;3993;2013-06-19 10:11:40
"3994";50128;10;9;"Fi";1;18,5;NA;NA;NA;30;3994;2013-06-19 10:11:40
"3995";50128;11;9;"Fi";1;21,1;NA;NA;NA;30;3995;2013-06-19 10:11:40
"3996";50128;12;9;"Fi";1;15,15;NA;NA;NA;30;3996;2013-06-19 10:11:40
"3997";50128;13;9;"Fi";1;22,35;NA;NA;16;30;3997;2013-06-19 10:11:40
"3998";50128;14;9;"Fi";1;16,9;NA;NA;NA;30;3998;2013-06-19 10:11:40
"3999";50128;15;9;"Fi";1;22,5;NA;NA;NA;30;3999;2013-06-19 10:11:40
"4000";50128;16;9;"Fi";1;24,1;NA;NA;NA;30;4000;2013-06-19 10:11:40
"4001";50128;17;9;"Fi";1;18,15;NA;NA;NA;30;4001;2013-06-19 10:11:40
"4002";50128;18;9;"Fi";1;13,85;NA;NA;NA;30;4002;2013-06-19 10:11:40
"4003";50128;19;9;"Fi";1;15,2;NA;NA;NA;30;4003;2013-06-19 10:11:40
"4004";50128;20;9;"Fi";1;19;NA;NA;NA;30;4004;2013-06-19 10:11:40
"4005";50128;21;9;"Fi";1;13,4;NA;NA;NA;30;4005;2013-06-19 10:11:40
"4006";50128;22;9;"Fi";1;17,6;NA;NA;NA;30;4006;2013-06-19 10:11:40
"4007";50128;23;9;"Fi";1;21,85;NA;NA;NA;30;4007;2013-06-19 10:11:40
"4008";50128;24;9;"Fi";1;21,5;NA;NA;NA;30;4008;2013-06-19 10:11:40
"4009";50128;25;9;"Fi";1;26,4;NA;NA;17,5;30;4009;2013-06-19 10:11:40
"4010";50128;26;9;"Fi";1;14;NA;NA;NA;30;4010;2013-06-19 10:11:40
"4011";50128;27;9;"Fi";1;20,8;NA;NA;NA;30;4011;2013-06-19 10:11:40
"4012";50128;28;9;"Fi";1;26,2;NA;NA;17;30;4012;2013-06-19 10:11:40
"4013";50128;29;9;"Fi";1;22,2;NA;NA;16,5;30;4013;2013-06-19 10:11:40
"4014";50129;1;9;"Fi";1;25,1;NA;NA;20,5;44;4014;2013-06-19 10:11:40
"4015";50129;2;9;"Fi";1;12,15;NA;NA;NA;44;4015;2013-06-19 10:11:40
"4016";50129;3;9;"Pa";1;39,05;NA;NA;25;44;4016;2013-06-19 10:11:40
"4017";50129;4;9;"Fi";1;23,35;NA;NA;20;44;4017;2013-06-19 10:11:40
"4018";50129;5;9;"Fi";1;13,75;NA;NA;NA;44;4018;2013-06-19 10:11:40
"4019";50129;6;9;"Fi";1;34,15;NA;NA;26,5;44;4019;2013-06-19 10:11:40
"4020";50129;7;9;"Fi";1;11,65;NA;NA;NA;44;4020;2013-06-19 10:11:40
"4021";50129;8;9;"Fi";1;13,15;NA;NA;NA;44;4021;2013-06-19 10:11:40
"4022";50129;9;9;"Fi";1;12,5;NA;NA;NA;44;4022;2013-06-19 10:11:40
"4023";50129;10;9;"Fi";1;17,3;NA;NA;18;44;4023;2013-06-19 10:11:40
"4024";50129;11;9;"Fi";1;14,2;NA;NA;NA;44;4024;2013-06-19 10:11:40
"4025";50129;12;9;"Fi";1;27,2;NA;NA;NA;44;4025;2013-06-19 10:11:40
