Messtiefe_cm;pH_Wert;Plot;MoMoK_Nr;method;
240;6,4;BB-KB;32010;H2O;
255;6,5;BB-KB;32010;H2O;
270;6,3;BB-KB;32010;H2O;
285;6,4;BB-KB;32010;H2O;
305;6,5;BB-KB;32010;H2O;
7;4,1;BB-PS;32080;H2O;0-7
15;3,79;BB-PS;32080;H2O;
35;2,85;BB-PS;32080;H2O;
48;3,1;BB-PS;32080;H2O;
75;3,36;BB-PS;32080;H2O;
98;4,16;BB-PS;32080;H2O;
120;4,37;BB-PS;32080;H2O;
140;4,59;BB-PS;32080;H2O;
160;4,92;BB-PS;32080;H2O;
180;5,06;BB-PS;32080;H2O;
210;5,17;BB-PS;32080;H2O;
230;5,31;BB-PS;32080;H2O;
250;5,2;BB-PS;32080;H2O;
267;5,56;BB-PS;32080;H2O;
5;6,39;BB-PL;32020;H2O;
13;6,05;BB-PL;32020;H2O;
25;6,28;BB-PL;32020;H2O;
40;6,48;BB-PL;32020;H2O;
60;6,49;BB-PL;32020;H2O;
80;6,47;BB-PL;32020;H2O;
105;6,62;BB-PL;32020;H2O;
135;6,56;BB-PL;32020;H2O;
165;6,68;BB-PL;32020;H2O;
195;6,59;BB-PL;32020;H2O;
210;6,63;BB-PL;32020;H2O;
270;6,49;BB-PL;32020;H2O;
300;6,59;BB-PL;32020;H2O;
310;6,53;BB-PL;32020;H2O;
340;6,45;BB-PL;32020;H2O;
370;6,66;BB-PL;32020;H2O;
400;6,76;BB-PL;32020;H2O;
15;3,46;BB-ST;32050;H2O;0-15
;3,57;BB-ST;32050;H2O;0-15
;3,36;BB-ST;32050;H2O;0-15
30;3,33;BB-ST;32050;H2O;15-30
;3,31;BB-ST;32050;H2O;15-30
;3,42;BB-ST;32050;H2O;15-30
36;3,24;BB-ST;32050;H2O;
60;3,25;BB-ST;32050;H2O;
85;3,71;BB-ST;32050;H2O;
110;3,98;BB-ST;32050;H2O;
125;4,28;BB-ST;32050;H2O;
140;4,39;BB-ST;32050;H2O;
155;4,05;BB-ST;32050;H2O;
170;4,69;BB-ST;32050;H2O;
190;4,94;BB-ST;32050;H2O;
210;5,05;BB-ST;32050;H2O;
230;5,17;BB-ST;32050;H2O;
255;5,29;BB-ST;32050;H2O;
270;5,22;BB-ST;32050;H2O;
285;5,42;BB-ST;32050;H2O;
300;5,46;BB-ST;32050;H2O;
310;5,5;BB-ST;32050;H2O;
335;5,63;BB-ST;32050;H2O;
350;5,6;BB-ST;32050;H2O;
360;5,63;BB-ST;32050;H2O;
375;5,66;BB-ST;32050;H2O;
390;5,61;BB-ST;32050;H2O;
405;5,62;BB-ST;32050;H2O;
420;5,63;BB-ST;32050;H2O;
435;5,57;BB-ST;32050;H2O;
455;5,49;BB-ST;32050;H2O;
470;5,63;BB-ST;32050;H2O;
490;5,57;BB-ST;32050;H2O;
505;5,57;BB-ST;32050;H2O;
525;5,56;BB-ST;32050;H2O;
545;5,59;BB-ST;32050;H2O;
555;5,59;BB-ST;32050;H2O;
570;5,65;BB-ST;32050;H2O;
585;5,71;BB-ST;32050;H2O;
610;5,91;BB-ST;32050;H2O;
