"";"MoMoK_Nr";"Name";"Bundeland";"Datum";"Nr_VJ_PK";"Lage";"Distanz MB [cm]";"pk_maxdist [cm]";"LfdNr";"Baumart (Code)";"Baumart";"Hoehe [cm]";"grklasse"
"199";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;7;NA;"FLB";145;1
"200";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;8;104;"SER";95;0
"201";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;9;NA;"FLB";160;1
"202";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"S";"Süd";1000;482;10;104;"SER";590;2
"203";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;1;NA;"FLB";155;1
"204";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;2;104;"SER";70;0
"205";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;3;104;"SER";140;1
"206";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;4;104;"SER";70;0
"207";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;5;104;"SER";200;1
"208";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;6;104;"SER";330;1
"209";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;7;104;"SER";120;0
"210";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;8;NA;"FLB";260;1
"211";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;9;104;"SER";660;3
"212";33050;"Rätzsee/Fleeth";"MV";2022-08-08;"W";"West";1000;494;10;NA;"FLB";620;2
"213";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"N";"Nord";1000;498;1;104;"SER";420;3
"214";33010;"Pälitzsee/Pelzkuhl";"MV";2022-08-10;"N";"Nord";1000;498;2;104;"SER";600;1
