"";"MoMoK_Nr";"Name";"Bundesland";"Datum";"Nr_PK";"Nr";"Baumartengruppe";"TYP";"Hoehe/Laenge [dm]";"Durchmesser [cm]";"Zersetzungsgrad"
"65";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";47;2;2;64;"13";1
"66";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";48;2;2;97;"10";1
"67";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";49;2;2;63;"10";3
"68";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";50;2;2;58;"11";3
"69";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";51;2;2;117;"11";1
"70";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";52;2;2;86;"15.5";2
"71";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";53;2;2;87;"12";1
"72";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";54;2;2;20;"12";3
"73";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";55;2;2;108;"16";2
"74";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";56;2;2;98;"13";2
"75";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";57;2;2;74;"10";2
"76";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";58;2;2;137;"16.5";1
"77";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";59;2;2;80;"11";2
"78";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";60;2;1;65;"6.5";2
"79";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";61;2;1;31;"11";5
"80";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";62;2;1;70;"7.5";2
"81";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";63;2;1;47;"11.5";4
"82";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";64;2;1;51;"8.5";3
"83";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";65;2;1;65;"11";4
"84";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";66;2;1;52;"11";5
"85";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";67;2;1;29;"10";3
"86";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";68;2;1;100;"12";5
"87";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"1";69;2;1;95;"14";5
