"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_dec_type","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","N_SP_group","H_SP_group","L_m","D_m","D_h_cm","D_h_m","dec_type_BWI","SP_group_char","SP_dw_tps","S_L_DW_type"
"70",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",52,"2_1",2,2,86,15.5,2,"GFI","Picea abies",1,"NB","FI","fi",8.6,0.155,130,1.3,1,"BU",15,"S"
"71",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",53,"2_1",2,2,87,12,1,"GFI","Picea abies",1,"NB","FI","fi",8.7,0.12,130,1.3,1,"BU",15,"S"
"72",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",54,"2_2",2,2,20,12,3,"GFI","Picea abies",1,"NB","FI","fi",2,0.12,130,1.3,2,"BU",15,"S"
"73",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",55,"2_1",2,2,108,16,2,"GFI","Picea abies",1,"NB","FI","fi",10.8,0.16,130,1.3,1,"BU",15,"S"
"74",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",56,"2_1",2,2,98,13,2,"GFI","Picea abies",1,"NB","FI","fi",9.8,0.13,130,1.3,1,"BU",15,"S"
"75",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",57,"2_1",2,2,74,10,2,"GFI","Picea abies",1,"NB","FI","fi",7.4,0.1,130,1.3,1,"BU",15,"S"
"76",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",58,"2_1",2,2,137,16.5,1,"GFI","Picea abies",1,"NB","FI","fi",13.7,0.165,130,1.3,1,"BU",15,"S"
"77",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",59,"2_1",2,2,80,11,2,"GFI","Picea abies",1,"NB","FI","fi",8,0.11,130,1.3,1,"BU",15,"S"
"78",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",60,"2_1",2,1,65,6.5,2,"GFI","Picea abies",1,"NB","FI","fi",6.5,0.065,NA,NA,1,"BU",15,"L"
"79",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",61,"2_4",2,1,31,11,5,"GFI","Picea abies",1,"NB","FI","fi",3.1,0.11,NA,NA,4,"BU",15,"L"
"80",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",62,"2_1",2,1,70,7.5,2,"GFI","Picea abies",1,"NB","FI","fi",7,0.075,NA,NA,1,"BU",15,"L"
"81",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",63,"2_3",2,1,47,11.5,4,"GFI","Picea abies",1,"NB","FI","fi",4.7,0.115,NA,NA,3,"BU",15,"L"
"82",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",64,"2_2",2,1,51,8.5,3,"GFI","Picea abies",1,"NB","FI","fi",5.1,0.085,NA,NA,2,"BU",15,"L"
"83",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",65,"2_3",2,1,65,11,4,"GFI","Picea abies",1,"NB","FI","fi",6.5,0.11,NA,NA,3,"BU",15,"L"
"84",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",66,"2_4",2,1,52,11,5,"GFI","Picea abies",1,"NB","FI","fi",5.2,0.11,NA,NA,4,"BU",15,"L"
"85",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",67,"2_2",2,1,29,10,3,"GFI","Picea abies",1,"NB","FI","fi",2.9,0.1,NA,NA,2,"BU",15,"L"
"86",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",68,"2_4",2,1,100,12,5,"GFI","Picea abies",1,"NB","FI","fi",10,0.12,NA,NA,4,"BU",15,"L"
"87",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",69,"2_4",2,1,95,14,5,"GFI","Picea abies",1,"NB","FI","fi",9.5,0.14,NA,NA,4,"BU",15,"L"
"88",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",70,"2_2",2,1,11,13,3,"GFI","Picea abies",1,"NB","FI","fi",1.1,0.13,NA,NA,2,"BU",15,"L"
"89",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",71,"2_2",2,1,13,9.5,3,"GFI","Picea abies",1,"NB","FI","fi",1.3,0.095,NA,NA,2,"BU",15,"L"
"90",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",72,"2_2",2,1,10,11,3,"GFI","Picea abies",1,"NB","FI","fi",1,0.11,NA,NA,2,"BU",15,"L"
"91",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",73,"2_4",2,1,75,12.5,5,"GFI","Picea abies",1,"NB","FI","fi",7.5,0.125,NA,NA,4,"BU",15,"L"
"92",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",74,"2_4",2,1,51,11,5,"GFI","Picea abies",1,"NB","FI","fi",5.1,0.11,NA,NA,4,"BU",15,"L"
"93",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",75,"2_3",2,1,49,17,4,"GFI","Picea abies",1,"NB","FI","fi",4.9,0.17,NA,NA,3,"BU",15,"L"
"94",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",76,"2_2",2,1,46,9,3,"GFI","Picea abies",1,"NB","FI","fi",4.6,0.09,NA,NA,2,"BU",15,"L"
"95",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",77,"2_1",2,1,76,8,1,"GFI","Picea abies",1,"NB","FI","fi",7.6,0.08,NA,NA,1,"BU",15,"L"
