"","plot_ID","dec_type","DW_type","compartiment","D_mean","L_mean","B_t","C_t","N_t","plot_A_ha","B_t_ha","C_t_ha","N_t_ha","C_share","N_share","B_share"
"316",32010,5,4,"ag",20.1428571428571,0.6,0.0480511308755539,0.024025565437777,3.90175182709498e-05,0.0500343869018386,0.960362139938367,0.480181069969183,0.000779814057629954,61.930203179282,61.930203179282,61.930203179282
"317",32010,5,4,"bg",20.1428571428571,0.6,0,0,0,0.0500343869018386,0,0,0,61.930203179282,61.930203179282,61.930203179282
"318",32010,5,4,"total",20.1428571428571,0.6,0.0480511308755539,0.024025565437777,3.90175182709498e-05,0.0500343869018386,0.960362139938367,0.480181069969183,0.000779814057629954,61.930203179282,61.930203179282,61.930203179282
"319",32020,2,1,"ag",15,7.3,0.164874866530842,0.082437433265421,0.000133878391623044,0.0500343869018386,3.2952310748667,1.64761553743335,0.00267572763279176,100,100,100
"320",32020,2,1,"bg",15,7.3,0,0,0,0.0500343869018386,0,0,0,100,100,100
"321",32020,2,1,"total",15,7.3,0.164874866530842,0.082437433265421,0.000133878391623044,0.0500343869018386,3.2952310748667,1.64761553743335,0.00267572763279176,100,100,100
"322",32020,3,1,"ag",13,1.5,0.0165931069980979,0.00829655349904895,1.34736028824555e-05,0.0500343869018386,0.331634062602817,0.165817031301408,0.000269286858833487,65.0193577772717,21.0756043874524,65.0193577772717
"323",32020,3,1,"bg",13,1.5,0,0,0,0.0500343869018386,0,0,0,65.0193577772717,21.0756043874524,65.0193577772717
"324",32020,3,1,"total",13,1.5,0.0165931069980979,0.00829655349904895,1.34736028824555e-05,0.0500343869018386,0.331634062602817,0.165817031301408,0.000269286858833487,65.0193577772717,21.0756043874524,65.0193577772717
"325",32020,3,4,"ag",32,0.3,0.00892714968444075,0.00446357484222038,5.04562500164591e-05,0.0500343869018386,0.178420287270727,0.0892101436353636,0.00100843146365415,34.9806422227283,78.9243956125476,34.9806422227283
"326",32020,3,4,"bg",32,0.3,0,0,0,0.0500343869018386,0,0,0,34.9806422227283,78.9243956125476,34.9806422227283
"327",32020,3,4,"total",32,0.3,0.00892714968444075,0.00446357484222038,5.04562500164591e-05,0.0500343869018386,0.178420287270727,0.0892101436353636,0.00100843146365415,34.9806422227283,78.9243956125476,34.9806422227283
"328",32020,4,1,"ag",16.5,8.23333333333333,0.243996191670766,0.121998095835383,0.000198124907636662,0.0500343869018386,4.87657003071622,2.43828501535811,0.00395977486494157,98.6535960788237,98.6535960788237,98.6535960788237
"329",32020,4,1,"bg",16.5,8.23333333333333,0,0,0,0.0500343869018386,0,0,0,98.6535960788237,98.6535960788237,98.6535960788237
"330",32020,4,1,"total",16.5,8.23333333333333,0.243996191670766,0.121998095835383,0.000198124907636662,0.0500343869018386,4.87657003071622,2.43828501535811,0.00395977486494157,98.6535960788237,98.6535960788237,98.6535960788237
"331",32020,4,4,"ag",17.5,0.3,0.00333000967298884,0.00166500483649442,2.70396785446694e-06,0.0500343869018386,0.0665544214526285,0.0332772107263142,5.40421902195343e-05,1.34640392117635,1.34640392117635,1.34640392117635
"332",32020,4,4,"bg",17.5,0.3,0,0,0,0.0500343869018386,0,0,0,1.34640392117635,1.34640392117635,1.34640392117635
"333",32020,4,4,"total",17.5,0.3,0.00333000967298884,0.00166500483649442,2.70396785446694e-06,0.0500343869018386,0.0665544214526285,0.0332772107263142,5.40421902195343e-05,1.34640392117635,1.34640392117635,1.34640392117635
"334",32020,5,1,"ag",20.5,3.25,0.0347329771391907,0.0173664885695954,2.82031774370229e-05,0.0500343869018386,0.694182127330402,0.347091063665201,0.000563675887392286,73.0344797973292,73.0344797973292,73.0344797973292
"335",32020,5,1,"bg",20.5,3.25,0,0,0,0.0500343869018386,0,0,0,73.0344797973292,73.0344797973292,73.0344797973292
"336",32020,5,1,"total",20.5,3.25,0.0347329771391907,0.0173664885695954,2.82031774370229e-05,0.0500343869018386,0.694182127330402,0.347091063665201,0.000563675887392286,73.0344797973292,73.0344797973292,73.0344797973292
"337",32020,5,4,"ag",24.3333333333333,0.433333333333333,0.0128239812119535,0.00641199060597677,1.04130727441063e-05,0.0500343869018386,0.25630335467311,0.128151677336555,0.000208118323994565,26.9655202026708,26.9655202026708,26.9655202026708
"338",32020,5,4,"bg",24.3333333333333,0.433333333333333,0,0,0,0.0500343869018386,0,0,0,26.9655202026708,26.9655202026708,26.9655202026708
"339",32020,5,4,"total",24.3333333333333,0.433333333333333,0.0128239812119535,0.00641199060597677,1.04130727441063e-05,0.0500343869018386,0.25630335467311,0.128151677336555,0.000208118323994565,26.9655202026708,26.9655202026708,26.9655202026708
"340",32050,5,1,"ag",11.4285714285714,5.01428571428571,0.0980442372499244,0.0490221186249622,7.96119206469386e-05,0.0500343869018386,1.95953709680255,0.979768548401275,0.00159114412260367,100,100,100
"341",32050,5,1,"bg",11.4285714285714,5.01428571428571,0,0,0,0.0500343869018386,0,0,0,100,100,100
"342",32050,5,1,"total",11.4285714285714,5.01428571428571,0.0980442372499244,0.0490221186249622,7.96119206469386e-05,0.0500343869018386,1.95953709680255,0.979768548401275,0.00159114412260367,100,100,100
"343",32070,1,1,"ag",8.5,7.9,0.0531877919438059,0.026593895971903,4.31884870583704e-05,0.0500343869018386,1.06302475631717,0.531512378158584,0.000863176102129541,78.5997980477953,34.5405779962708,78.5997980477953
"344",32070,1,1,"bg",8.5,7.9,0,0,0,0.0500343869018386,0,0,0,78.5997980477953,34.5405779962708,78.5997980477953
"345",32070,1,1,"total",8.5,7.9,0.0531877919438059,0.026593895971903,4.31884870583704e-05,0.0500343869018386,1.06302475631717,0.531512378158584,0.000863176102129541,78.5997980477953,34.5405779962708,78.5997980477953
"346",32070,1,4,"ag",17,1.1,0.0144813284163548,0.00724066420817742,8.18484682092375e-05,0.0500343869018386,0.28942751801407,0.144713759007035,0.00163584433181552,21.4002019522047,65.4594220037291,21.4002019522047
"347",32070,1,4,"bg",17,1.1,0,0,0,0.0500343869018386,0,0,0,21.4002019522047,65.4594220037291,21.4002019522047
"348",32070,1,4,"total",17,1.1,0.0144813284163548,0.00724066420817742,8.18484682092375e-05,0.0500343869018386,0.28942751801407,0.144713759007035,0.00163584433181552,21.4002019522047,65.4594220037291,21.4002019522047
"349",32070,2,1,"ag",12.3333333333333,4.65555555555556,0.3197918268276,0.1598959134138,0.000259670963384012,0.0500343869018386,6.39144089953562,3.19572044976781,0.00518985001042292,74.1677694374907,66.2699090581731,74.1677694374907
"350",32070,2,1,"bg",12.3333333333333,4.65555555555556,0,0,0,0.0500343869018386,0,0,0,74.1677694374907,66.2699090581731,74.1677694374907
"351",32070,2,1,"total",12.3333333333333,4.65555555555556,0.3197918268276,0.1598959134138,0.000259670963384012,0.0500343869018386,6.39144089953562,3.19572044976781,0.00518985001042292,74.1677694374907,66.2699090581731,74.1677694374907
"352",32070,2,3,"ag",20,5.6,0.11138175335823,0.0556908766791148,0.000132167454797711,0.0500343869018386,2.2261040907076,1.1130520453538,0.002641532413638,25.8322305625093,33.730090941827,25.8322305625093
"353",32070,2,3,"bg",20,5.6,0,0,0,0.0500343869018386,0,0,0,25.8322305625093,33.730090941827,25.8322305625093
"354",32070,2,3,"total",20,5.6,0.11138175335823,0.0556908766791148,0.000132167454797711,0.0500343869018386,2.2261040907076,1.1130520453538,0.002641532413638,25.8322305625093,33.730090941827,25.8322305625093
"355",32070,3,1,"ag",12.1111111111111,2.51111111111111,0.092523280860322,0.046261640430161,7.51289040585815e-05,0.0500343869018386,1.84919385625413,0.924596928127065,0.00150154541127835,84.7796565037944,44.4518974348394,84.7796565037944
"356",32070,3,1,"bg",12.1111111111111,2.51111111111111,0,0,0,0.0500343869018386,0,0,0,84.7796565037944,44.4518974348394,84.7796565037944
"357",32070,3,1,"total",12.1111111111111,2.51111111111111,0.092523280860322,0.046261640430161,7.51289040585815e-05,0.0500343869018386,1.84919385625413,0.924596928127065,0.00150154541127835,84.7796565037944,44.4518974348394,84.7796565037944
"358",32070,3,4,"ag",19,0.8,0.0166105428373253,0.00830527141866266,9.38827881165627e-05,0.0500343869018386,0.331982539726392,0.165991269863196,0.00187636531453357,15.2203434962056,55.5481025651606,15.2203434962056
"359",32070,3,4,"bg",19,0.8,0,0,0,0.0500343869018386,0,0,0,15.2203434962056,55.5481025651606,15.2203434962056
"360",32070,3,4,"total",19,0.8,0.0166105428373253,0.00830527141866266,9.38827881165627e-05,0.0500343869018386,0.331982539726392,0.165991269863196,0.00187636531453357,15.2203434962056,55.5481025651606,15.2203434962056
"361",32070,4,3,"ag",13.3333333333333,2.7,0.0837024462770622,0.0418512231385311,6.79663863769745e-05,0.0500343869018386,1.67289840967326,0.836449204836628,0.00135839350865468,92.8380880179594,92.8380880179594,92.8380880179594
"362",32070,4,3,"bg",13.3333333333333,2.7,0,0,0,0.0500343869018386,0,0,0,92.8380880179594,92.8380880179594,92.8380880179594
"363",32070,4,3,"total",13.3333333333333,2.7,0.0837024462770622,0.0418512231385311,6.79663863769745e-05,0.0500343869018386,1.67289840967326,0.836449204836628,0.00135839350865468,92.8380880179594,92.8380880179594,92.8380880179594
"364",32070,4,4,"ag",16.5,0.65,0.00645715100037212,0.00322857550018606,5.24320661230216e-06,0.0500343869018386,0.129054264480951,0.0645271322404756,0.000104792062758532,7.1619119820406,7.1619119820406,7.1619119820406
"365",32070,4,4,"bg",16.5,0.65,0,0,0,0.0500343869018386,0,0,0,7.1619119820406,7.1619119820406,7.1619119820406
"366",32070,4,4,"total",16.5,0.65,0.00645715100037212,0.00322857550018606,5.24320661230216e-06,0.0500343869018386,0.129054264480951,0.0645271322404756,0.000104792062758532,7.1619119820406,7.1619119820406,7.1619119820406
"367",32070,5,4,"ag",15.6,0.68,0.0165261910745764,0.00826309553728821,1.34192671525561e-05,0.0500343869018386,0.330296663912337,0.165148331956169,0.000268200891096818,100,100,100
