"","plot_ID","compartiment","stand_component","B_t_plot","C_t_plot","N_t_plot","Nt_plot","B_t_MA","C_t_MA","N_t_MA","Nt_MA","B_t_ha","C_t_ha","N_t_ha","Nt_ha"
"21",23060,"f","LT",1.40208330825036,0.701041654125178,0.00532180753118073,306,7.00559852467601,3.502799262338,0.0265907501855747,1528.94848397131,28.022394098704,14.011197049352,0.106363000742299,6115.79393588523
"22",23060,"fw","LT",3.03125415728138,1.51562707864069,0.00428046910632966,306,15.1458544062323,7.57292720311616,0.0213876364405515,1528.94848397131,60.5834176249293,30.2917088124646,0.085550545762206,6115.79393588523
"23",23060,"stw","LT",0.922287048792384,0.461143524396192,0.00439128807915558,306,4.60826596417479,2.3041329820874,0.0219413504944647,1528.94848397131,18.4330638566992,9.21653192834959,0.0877654019778589,6115.79393588523
"24",23060,"stwb","LT",0.0787702518464706,0.0393851259232353,0.00469527687842461,306,0.39358057889771,0.196790289448855,0.0234602498859243,1528.94848397131,1.57432231559084,0.78716115779542,0.0938409995436973,6115.79393588523
"25",23060,"sw","LT",20.8877193616607,10.4438596808303,0.00556616183955527,306,104.366819776566,52.1834098882831,0.0278116820461666,1528.94848397131,417.467279106264,208.733639553132,0.111246728184666,6115.79393588523
"26",23060,"swb","LT",1.763800055569,0.8819000277845,0.00516427498303679,306,8.81293928428343,4.40646964214172,0.0258036287781865,1528.94848397131,35.2517571371337,17.6258785685669,0.103214515112746,6115.79393588523
"27",23060,"total","LT",32.247612579907,16.1238062899535,0.0320828080807168,306,161.127249561251,80.5636247806256,0.160303793387433,1528.94848397131,644.508998245005,322.254499122502,0.64121517354973,6115.79393588523
"28",23061,"ag","LT",6.69545752880631,3.34772876440316,0.0272634296925321,441,33.4542798632768,16.7271399316384,0.136223462406063,2203.484579841,133.817119453107,66.9085597265535,0.544893849624253,8813.93831936401
"29",23061,"bg","LT",0.000677347412388839,0.000338673706194419,0.000602745368563396,441,0.00338440947481635,0.00169220473740817,0.00301165561269847,2203.484579841,0.0135376378992654,0.0067688189496327,0.0120466224507939,8813.93831936401
"30",23061,"f","LT",0.132546586927442,0.0662732934637209,0.0122646742192334,441,0.662277461236219,0.33113873061811,0.0612812256663362,2203.484579841,2.64910984494488,1.32455492247244,0.245124902665345,8813.93831936401
"31",23061,"fw","LT",1.54426429162996,0.772132145814982,0.00316194897107331,441,7.71601486123745,3.85800743061872,0.0157988793650888,2203.484579841,30.8640594449498,15.4320297224749,0.0631955174603551,8813.93831936401
"32",23061,"stw","LT",0.148646442808735,0.0743232214043676,0.00299210425245016,441,0.742721416274978,0.371360708137489,0.014950239413947,2203.484579841,2.97088566509991,1.48544283254996,0.0598009576557879,8813.93831936401
"33",23061,"stwb","LT",0.00970928925629293,0.00485464462814646,0.00329254795400955,441,0.0485130819896993,0.0242565409948496,0.016451425498973,2203.484579841,0.194052327958797,0.0970261639793985,0.0658057019958919,8813.93831936401
"34",23061,"sw","LT",4.62682136211041,2.3134106810552,0.00274485237418034,441,23.1182075398849,11.5591037699424,0.013714829660876,2203.484579841,92.4728301595394,46.2364150797697,0.0548593186435041,8813.93831936401
