"","plot_ID","loc_name","state","date","CCS_nr","t_ID","SP_group","DW_type","L_dm","D_cm","dec_type","dom_SP","tpS_SP_com_name","tpS_ID","LH_NH","L_m","D_m","D_h_m","dec_type_BWI"
"73",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",55,2,2,108,16,2,"GFI","Picea abies",1,"NB",10.8,0.16,1.3,1
"74",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",56,2,2,98,13,2,"GFI","Picea abies",1,"NB",9.8,0.13,1.3,1
"75",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",57,2,2,74,10,2,"GFI","Picea abies",1,"NB",7.4,0.1,1.3,1
"76",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",58,2,2,137,16.5,1,"GFI","Picea abies",1,"NB",13.7,0.16,1.3,1
"77",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",59,2,2,80,11,2,"GFI","Picea abies",1,"NB",8,0.11,1.3,1
"78",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",60,2,1,65,6.5,2,"GFI","Picea abies",1,"NB",6.5,0.06,1.3,1
"79",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",61,2,1,31,11,5,"GFI","Picea abies",1,"NB",3.1,0.11,1.3,4
"80",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",62,2,1,70,7.5,2,"GFI","Picea abies",1,"NB",7,0.07,1.3,1
"81",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",63,2,1,47,11.5,4,"GFI","Picea abies",1,"NB",4.7,0.11,1.3,3
"82",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",64,2,1,51,8.5,3,"GFI","Picea abies",1,"NB",5.1,0.08,1.3,2
"83",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",65,2,1,65,11,4,"GFI","Picea abies",1,"NB",6.5,0.11,1.3,3
"84",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",66,2,1,52,11,5,"GFI","Picea abies",1,"NB",5.2,0.11,1.3,4
"85",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",67,2,1,29,10,3,"GFI","Picea abies",1,"NB",2.9,0.1,1.3,2
"86",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",68,2,1,100,12,5,"GFI","Picea abies",1,"NB",10,0.12,1.3,4
"87",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",69,2,1,95,14,5,"GFI","Picea abies",1,"NB",9.5,0.14,1.3,4
"88",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",70,2,1,11,13,3,"GFI","Picea abies",1,"NB",1.1,0.13,1.3,2
"89",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",71,2,1,13,9.5,3,"GFI","Picea abies",1,"NB",1.3,0.09,1.3,2
"90",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",72,2,1,10,11,3,"GFI","Picea abies",1,"NB",1,0.11,1.3,2
"91",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",73,2,1,75,12.5,5,"GFI","Picea abies",1,"NB",7.5,0.12,1.3,4
"92",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",74,2,1,51,11,5,"GFI","Picea abies",1,"NB",5.1,0.11,1.3,4
"93",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",75,2,1,49,17,4,"GFI","Picea abies",1,"NB",4.9,0.17,1.3,3
"94",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",76,2,1,46,9,3,"GFI","Picea abies",1,"NB",4.6,0.09,1.3,2
"95",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",77,2,1,76,8,1,"GFI","Picea abies",1,"NB",7.6,0.08,1.3,1
"96",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",78,2,1,113,8.5,2,"GFI","Picea abies",1,"NB",11.3,0.08,1.3,1
"97",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",79,2,1,38,11.5,4,"GFI","Picea abies",1,"NB",3.8,0.11,1.3,3
"98",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",80,2,1,30,15,3,"GFI","Picea abies",1,"NB",3,0.15,1.3,2
"99",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",81,2,1,39,16,4,"GFI","Picea abies",1,"NB",3.9,0.16,1.3,3
"100",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",82,2,1,15,13,4,"GFI","Picea abies",1,"NB",1.5,0.13,1.3,3
"101",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",83,2,1,36,8,2,"GFI","Picea abies",1,"NB",3.6,0.08,1.3,1
"102",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",84,2,1,61,8,2,"GFI","Picea abies",1,"NB",6.1,0.08,1.3,1
"103",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",85,2,1,43,12,4,"GFI","Picea abies",1,"NB",4.3,0.12,1.3,3
"104",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",86,2,1,57,9,3,"GFI","Picea abies",1,"NB",5.7,0.09,1.3,2
"105",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",87,2,1,25,16.5,3,"GFI","Picea abies",1,"NB",2.5,0.16,1.3,2
"106",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",88,2,1,13,11,4,"GFI","Picea abies",1,"NB",1.3,0.11,1.3,3
"107",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",89,2,1,34,8.5,2,"GFI","Picea abies",1,"NB",3.4,0.08,1.3,1
"108",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",90,2,1,71,7.5,2,"GFI","Picea abies",1,"NB",7.1,0.07,1.3,1
"109",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",91,2,1,46,8,5,"GFI","Picea abies",1,"NB",4.6,0.08,1.3,4
"110",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",92,2,1,53,14,4,"GFI","Picea abies",1,"NB",5.3,0.14,1.3,3
"111",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",93,2,5,151,16.5,2,"GFI","Picea abies",1,"NB",15.1,0.16,1.3,1
"112",34010,"Gr. Eisenstraßenmoor/Johanngeorgenstadt","SN","14.10.2021","1",94,2,5,134,22.5,1,"GFI","Picea abies",1,"NB",13.4,0.22,1.3,1
