zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
,85,,130,,111,sbi,7,50007,-9,,40,1,,4,332,6
,128,,130,,111,sbi,8,50007,-9,,40,1,,2,681,6
,161,,130,,111,pa,9,50007,-9,,41,1,,1,752,6
,94,,130,,120,sbi,10,50007,-9,,40,1,,3,492,6
,105,,130,,130,sbi,11,50007,-9,,40,1,,3,741,6
,146,,130,,131,sbi,12,50007,-9,,40,1,,2,312,6
,120,,130,,131,sbi,13,50007,-9,,40,1,,3,506,6
,156,,130,,162,pa,14,50007,-9,,41,1,,1,372,6
,149,,130,174,166,sbi,15,50007,-9,,40,1,71,2,554,6
,166,,130,157,166,sbi,16,50007,-9,,40,1,64,2,813,6
,164,,130,,168,sbi,17,50007,-9,,40,1,,2,1159,6
,124,,130,,178,sbi,18,50007,-9,,40,1,,3,1169,6
,190,,130,,180,pa,19,50007,-9,,41,1,,1,945,6
,350,,130,233,198,pa,20,50007,-9,,41,1,107,1,1438,6
,158,,130,,198,sbi,21,50007,-9,,40,1,,2,195,6
,136,,130,,208,sbi,22,50007,-9,,40,1,,3,1020,6
,115,,130,,209,sbi,23,50007,-9,,40,1,,3,899,6
,121,,130,,224,sbi,24,50007,-9,,40,1,,2,1259,6
,154,,130,,236,pa,25,50007,-9,,41,1,,2,551,6
,123,,130,,238,sbi,26,50007,-9,,40,1,,3,626,6
,174,,130,,260,pa,27,50007,-9,,41,1,,1,973,6
,163,,130,,266,sbi,28,50007,-9,,40,1,,3,868,6
,121,,130,,280,sbi,29,50007,-9,,40,1,,2,665,6
,118,,130,,296,sbi,30,50007,-9,,40,1,,2,455,6
,97,,130,,297,sbi,31,50007,-9,,40,1,,4,436,6
,177,,130,,297,sbi,32,50007,-9,,40,1,,2,689,6
,169,,130,,297,sbi,33,50007,-9,,40,1,,2,1138,6
,155,,130,,316,sbi,34,50007,-9,,40,1,,3,1126,6
,186,,130,191,316,pa,35,50007,-9,,41,1,104,2,428,6
,96,,130,,319,sbi,36,50007,-9,,40,1,,4,474,6
,203,,130,,324,sbi,37,50007,-9,,40,1,,2,390,6
,289,,130,242,328,pa,38,50007,-9,,41,1,123,1,1128,6
,234,,130,139,336,sbi,39,50007,-9,,40,1,51,3,1205,6
,408,,130,254,350,pa,40,50007,-9,,41,1,98,1,1562,6
,341,,130,,355,pa,41,50007,-9,,41,1,,1,858,6
,364,,140,,369,pa,42,50007,-9,,41,1,,1,1410,6
,331,,130,244,389,pa,43,50007,-9,,41,1,133,1,1378,6
,167,,130,,9,pa,44,50007,-9,,41,1,,2,252,6
,141,,130,,9,sbi,45,50007,-9,,40,1,,3,1109,6
,120,,130,,10,sbi,46,50007,-9,,40,1,,4,998,6
,100,,130,,21,sbi,47,50007,-9,,40,1,,4,631,6
,107,,130,,22,sbi,48,50007,-9,,40,1,,4,430,6
,216,,130,196,29,pa,49,50007,-9,,41,1,106,2,1073,6
,134,,130,,31,sbi,50,50007,-9,,40,1,,2,631,6
,120,,130,,36,sbi,51,50007,-9,,40,1,,2,725,6
,212,,130,,54,sbi,52,50007,-9,,40,1,,2,1169,6
,148,,130,,58,sbi,53,50007,-9,,40,1,,3,452,6
,170,,130,,61,pa,54,50007,-9,,41,1,,1,699,6
,175,,130,178,69,pa,55,50007,-9,,41,1,124,1,1137,6
