bund_nr,lfd_nr,zwiesel,bart,baumkennzahl,d_mess,bhd_hoehe,hoehe,kransatz,kraft,schi,hori,azi,alter,alter_methode
50007,30,,sbi,-9,118,130,-9,-9,2,1,455,296,29,6
50007,31,,sbi,-9,97,130,-9,-9,4,1,436,297,29,6
50007,32,,sbi,-9,177,130,-9,-9,2,1,689,297,29,6
50007,33,,sbi,-9,169,130,-9,-9,2,1,1138,297,29,6
50007,34,,sbi,-9,155,130,-9,-9,3,1,1126,316,29,6
50007,35,,pa,-9,186,130,191,104,2,1,428,316,30,6
50007,36,,sbi,-9,96,130,-9,-9,4,1,474,319,29,6
50007,37,,sbi,-9,203,130,-9,-9,2,1,390,324,29,6
50007,38,,pa,-9,289,130,242,123,1,1,1128,328,30,6
50007,39,,sbi,-9,234,130,139,51,3,1,1205,336,29,6
50007,40,,pa,-9,408,130,254,98,1,1,1562,350,30,6
50007,41,,pa,-9,341,130,-9,-9,1,1,858,355,30,6
50007,42,,pa,-9,364,140,-9,-9,1,1,1410,369,30,6
50007,43,,pa,-9,331,130,244,133,1,1,1378,389,30,6
50007,44,,pa,-9,167,130,-9,-9,2,1,252,9,30,6
50007,45,,sbi,-9,141,130,-9,-9,3,1,1109,9,29,6
50007,46,,sbi,-9,120,130,-9,-9,4,1,998,10,29,6
50007,47,,sbi,-9,100,130,-9,-9,4,1,631,21,29,6
50007,48,,sbi,-9,107,130,-9,-9,4,1,430,22,29,6
50007,49,,pa,-9,216,130,196,106,2,1,1073,29,30,6
50007,50,,sbi,-9,134,130,-9,-9,2,1,631,31,29,6
50007,51,,sbi,-9,120,130,-9,-9,2,1,725,36,29,6
50007,52,,sbi,-9,212,130,-9,-9,2,1,1169,54,29,6
50007,53,,sbi,-9,148,130,-9,-9,3,1,452,58,29,6
50007,54,,pa,-9,170,130,-9,-9,1,1,699,61,30,6
50007,55,,pa,-9,175,130,178,124,1,1,1137,69,30,6
50008,1,,gfi,-9,275,125,-9,-9,1,1,198,9,35,6
50008,2,,gfi,-9,220,130,-9,-9,2,1,832,15,35,6
50008,3,,gfi,-9,246,130,-9,-9,2,1,443,33,35,6
50008,4,,gfi,-9,305,130,188,30,1,1,1694,51,35,6
50008,5,,gfi,-9,291,130,-9,-9,2,1,1209,56,35,6
50008,6,,gfi,-9,208,130,-9,-9,2,1,722,72,35,6
50008,7,,gfi,-9,151,130,-9,-9,3,1,445,76,35,6
50008,8,,gfi,-9,110,130,115,59,4,1,521,93,35,6
50008,9,,gfi,-9,114,130,-9,-9,4,1,854,93,35,6
50008,10,,gfi,-9,283,130,-9,-9,1,1,1221,98,35,6
50008,11,,gfi,-9,205,130,175,89,3,1,1066,108,35,6
50008,12,,gfi,-9,183,130,-9,-9,3,1,711,114,35,6
50008,13,,gfi,-9,199,130,-9,-9,2,1,1110,127,35,6
50008,14,,gfi,-9,202,130,-9,-9,3,1,1251,130,35,6
50008,15,,gfi,-9,192,130,171,67,2,1,617,134,35,6
50008,16,,gfi,-9,171,130,-9,-9,2,1,900,141,35,6
50008,17,,gfi,-9,220,130,-9,-9,2,1,1045,157,35,6
50008,18,,gfi,-9,216,130,-9,-9,2,1,754,161,35,6
50008,19,,gfi,-9,253,130,170,23,2,1,462,165,35,6
50008,20,,gfi,-9,226,130,-9,-9,2,1,1098,190,35,6
50008,21,,gfi,-9,203,130,-9,-9,2,1,771,210,35,6
50008,22,,gfi,-9,220,130,-9,-9,2,1,985,218,35,6
50008,23,,gfi,-9,224,130,-9,-9,2,1,878,235,35,6
50008,24,,gfi,-9,274,130,-9,-9,1,1,1125,244,35,6
50008,25,,gfi,-9,209,130,-9,-9,2,1,1167,270,35,6
50008,26,,gfi,-9,257,130,-9,-9,2,1,929,281,35,6
50008,27,,gfi,-9,217,130,-9,-9,2,1,1166,301,35,6
50008,28,,gfi,-9,194,140,-9,-9,3,1,845,301,35,6
50008,29,,gfi,-9,253,130,-9,-9,2,1,340,335,35,6
50008,30,,gfi,-9,278,130,-9,-9,1,1,618,344,35,6
50008,31,,gfi,-9,274,130,-9,-9,2,1,1171,377,35,6
50008,32,,gfi,-9,218,130,-9,-9,2,1,905,384,35,6
50008,33,,gfi,-9,272,130,-9,-9,2,1,600,4,35,6
50009,1,,gfi,-9,463,130,-9,-9,2,1,219,21,81,6
50009,2,,gfi,-9,359,130,281,160,2,1,1621,45,81,6
50009,3,,gfi,-9,312,130,261,142,2,1,1300,52,81,6
50009,4,,gfi,-9,519,130,323,148,1,1,868,65,81,6
50009,5,,gfi,-9,505,130,-9,-9,1,1,1346,81,81,6
50009,6,,gfi,-9,362,130,-9,-9,2,1,1743,94,81,6
50009,7,,gfi,-9,380,130,-9,-9,2,1,1089,94,81,6
50009,8,,gfi,-9,474,130,282,156,2,1,1751,125,81,6
50009,9,,gfi,-9,428,150,-9,-9,2,1,685,127,81,6
50009,10,,gfi,-9,539,130,-9,-9,1,1,1239,129,81,6
50009,11,,gfi,-9,408,130,256,153,2,1,1212,154,81,6
50009,12,,gfi,-9,430,130,-9,-9,2,1,675,188,81,6
50009,13,,gfi,-9,385,150,-9,-9,2,1,1000,213,81,6
50009,14,,gfi,-9,360,130,-9,-9,2,1,1287,224,81,6
50009,15,,gfi,-9,434,130,-9,-9,2,1,1730,232,81,6
50009,16,,gfi,-9,426,130,-9,-9,2,1,1027,236,81,6
50009,17,,gfi,-9,430,130,-9,-9,2,1,1490,255,81,6
50009,18,,gfi,-9,485,130,-9,-9,3,1,1525,263,81,6
50009,19,,gfi,-9,492,130,-9,-9,1,1,272,272,81,6
50009,20,,gfi,-9,409,130,-9,-9,2,1,975,281,81,6
50009,21,,gfi,-9,325,130,-9,-9,2,1,1374,295,81,6
50009,22,,gfi,-9,318,130,-9,-9,3,1,735,328,81,6
