"Nr_code","Chr_code_ger","name","icode","bot_name","bot_genus","bot_species","BWI","LH_NH","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","BWI_comparisson_group","bark_type_SP_group","fruit_type_SP_group"
"zki","ZKi","Zirbelkiefer",239,"Pinus cembra","Pinus","cembra","ki","NB","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI","ki","Pinus spp.","Pinus spp."
"snd","sNd","sonstige Nadelbaeume",299,"Alii acus","Alii","acus","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"swa","SWa","Stinkende Wacholder",303,"Juniperus foetidissima","Juniperus","foetidissima","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"kfi","KFi","Kaukasus-Fichte",304,"Picea orientalis","Picea","orientalis","fi","NB","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI","fi","Picea abies","Picea abies"
"lze","LZe","Libanon-Zeder",305,"Cedrus libani","Cedrus","libani","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"cta","CTa","Kilikische Tanne",306,"Abies cilicica","Abies","cilicica","ta","NB","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI","ta","Abies alba","Abies alba"
"gwa","GWa","Gemeiner Wacholder",307,"Juniperus communis","Juniperus","communis","snb","NB","Coniferales trees",14,"fi","fi","fi","FI","FI","aNB","FI","fi","conifer species","conifer species"
"fra","FrA","Franz̦sische Ahorn",308,"Acer monspessulanum","Acer","monspessulanum","ah","LB","Acer spp.",22,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer spp.","Acer spp."
"sba","SbA","Schneeball-Ahorn",309,"Acer opalus","Acer","opalus","ah","LB","Acer spp.",22,"bu","aLh","bu","AH","BU","aLB","BAH","aLh","Acer spp.","Acer spp."
"kap","KAp","Kulturapfel",310,"Malus domestica","Malus","domestica","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Malus sylvestris","Malus sylvestris"
"kbi","KBi","Kulturbirne",311,"Pyrus communis","Pyrus","communis","slb","LB","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI","aLB","BI","aLn","Pyrus pyraster","Pyrus pyraster"
