ICode;ACode;KurzD;KurzE;LangD;LangE;Sort;Farbe;Zu_1;Zu_2;Zu_3;Zu_4;Zu_5;BFH_Bemerkung;Konv_Ba2_Ba3;AutoKonv_Ba2_Ba3;Gattung;Art;BaGr;ba_str;ba_tarif;ba_ekh;ba_ln;ba_BWI1;ba_BWI1Schulze;Zu_2k;Zu_2l;BaEFDAC_2010;Zu_Ba1;Zu_Ba1Schulze;Zu_Ba2;Zu_Ba3;Zu_Ba3korr;Zu_BaEU;Zu_BaStf;Zu_BaGattung;Zu_BaFBa;Zu_BaRaum;Zu_BaBWI;Zu_BaBWIb;Zu_BaBWIc;Zu_BaBWId;Zu_BaStammhoehe;Zu_BaWSE;Zu_BaWehamDF;Zu_BaWehamW;Zu_BaWehamW2012;Zu_BaBDat20;Zu_BaLN;Zu_Ba_EiBuFiKi;Zu_Ba_LhNh;Konv_Ba1_Ba2;bart_bze;bart_bze_genau;Zu_2yz;Konv_Ba2_Ba2yz;Zu_ba_ehk2012;Zu_Wachs2012;Zu_BaVerj_BBuBE;VerjMinN_ha_BBuBE;Zu_BaAlle;Zu_BaHolz_Alle;DNA
199;199;ÜLH;ÜLH;Übrige Lb. mit hoher Lebensdauer;remaining deciduous trees with long life expectancy;3141;NULL;0;1;0;NULL;NULL;;199;199;_(ÜLH);spec.;ALH;ES ;BU ;ALH;L;SLB;SLB;0;1;NULL;30929;30929;199;NULL;190;30000;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;30114;35;31000;31102;31000;199;sLb;NULL;1;NULL;5;19;NULL;NULL;9999;9999;0
200;200;BI;BI;Gemeine Birke;silver birch (Betula pendula);3151;NULL;0;1;1;NULL;NULL;;200;200;Betula;pendula;ALN;BI ;BU ;ALN;L;BI ;BI ;1;1;34001001;30903;30903;200;200;200;30001;32011;32201;30228;4;4;4;4;14;4;30011;30104;30109;30120;26;31000;31102;31000;200;SBi;SBi;1;200;5;20;12200;4000;9999;9999;0
201;201;MBI;MBI;Moorbirke (+Karpatenbirke);Betula pubescens + Betula pubescens var. glabrata;3152;NULL;0;1;1;NULL;NULL;;201;201;Betula;pubescens;ALN;BI ;BU ;ALN;L;BI ;BI ;1;1;34001002;30903;30903;201;201;201;30001;32011;32201;30228;4;4;4;4;14;4;30011;30104;30109;30120;26;31000;31102;31000;201;MBi;MBi;1;201;5;20;12200;4000;9999;9999;0
210;210;ERL;ERL;Erle;alder;3153;NULL;0;1;0;NULL;NULL;Achtung: Bei BWI3 muss Erle unterschieden werden in Schwarzerle (211) oder  Weißerle/Grauerle (212) ;211;210;Alnus;spec.;ALN;ERL;BU ;ALN;L;ERL;ERL;1;0;34002999;30911;30911;210;NULL;211;30001;32012;32212;30229;4;4;4;4;14;4;30011;30104;30109;30121;28;31000;31102;31000;210;Er ;Er ;1;210;5;21;NULL;NULL;9999;9999;0
211;211;SER;SER;Schwarzerle;black alder (Alnus glutinosa);3154;NULL;0;1;1;NULL;NULL;;211;211;Alnus;glutinosa;ALN;ERL;BU ;ALN;L;ERL;ERL;0;1;NULL;30911;30911;211;211;211;30001;32012;32212;30229;4;4;4;4;14;4;30011;30104;30109;30121;28;31000;31102;31000;211;SEr;SEr;0;210;5;21;12211;3000;9999;9999;0
212;212;WER;WER;Weißerle, Grauerle;grey alder (Alnus incana);3155;NULL;0;1;1;NULL;NULL;;212;212;Alnus;incana;ALN;ERL;BU ;ALN;L;ERL;ERL;0;1;NULL;30911;30911;212;212;212;30001;32012;32212;30229;4;4;4;4;14;4;30011;30104;30109;30121;28;31000;31102;31000;212;Wer;Wer;0;210;5;21;12211;3000;9999;9999;0
213;213;GER;GER;Grünerle;green alder (Alnus viridis);3156;NULL;0;1;0;NULL;NULL;Grünerle gilt NICHT mehr als Baum, sondern als Strauch;NULL;213;Alnus;viridis;ALN;ERL;BU ;ALN;L;ERL;ERL;0;1;NULL;30911;30911;213;NULL;NULL;30001;32012;32212;30229;4;4;4;4;14;4;30011;30104;30109;30121;28;31000;31102;31000;213;sLb;NULL;0;210;5;21;NULL;NULL;9999;9999;0
220;220;ZPA;ZPA;Aspe, Zitterpappel;common aspen (Populus tremula);3157;NULL;0;1;1;NULL;NULL;;220;220;Populus;tremula;ALN;PA ;BU ;ALN;L;PA ;PA ;1;1;31002004;30923;30923;220;220;220;30001;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;30122;19;31000;31102;31000;220;Pa ;Pa ;1;220;5;22;12990;32767;9999;9999;0
221;221;SPA;SPA;Europäische Schwarzpappel (+Hybriden);European black poplar (+ hybrids);3158;NULL;0;1;1;NULL;NULL;;221;221;Populus;nigra;ALN;PA ;BU ;ALN;L;PA ;PA ;1;1;31002008;30923;30923;221;221;221;30001;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;30122;19;31000;31102;31000;221;Pa ;Pa ;1;221;5;22;12990;32767;9999;9999;0
222;222;GPA;GPA;Graupappel (+Hybriden);grey poplar (+hybrids);3159;NULL;0;1;1;NULL;NULL;;222;222;Populus;x canescens;ALN;PA ;BU ;ALN;L;PA ;PA ;1;1;31002002;30923;30923;222;222;222;30001;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;30122;19;31000;31102;31000;222;Pa ;Pa ;1;222;5;22;12990;32767;9999;9999;0
223;223;WPA;WPA;Silberpappel, Weißpappel;silver poplar (Populus alba);3160;NULL;0;1;1;NULL;NULL;;223;223;Populus;alba;ALN;PA ;BU ;ALN;L;PA ;PA ;1;1;31002001;30923;30923;223;223;223;30001;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;30122;19;31000;31102;31000;223;Pa ;Pa ;1;223;5;22;12990;32767;9999;9999;0
224;224;BPA;BPA;Balsampappel (+Hybriden);balsam poplar (Populus balsamifera +hybrids);3161;NULL;0;1;1;NULL;NULL;;224;224;Populus;trichocarpa x maximoviczii;ALN;PA ;BU ;ALN;L;BPA;BPA;1;1;31002999;30905;30905;224;224;224;30000;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;30122;20;31000;31102;31000;224;Pa ;Pa ;1;224;5;22;12990;32767;9999;9999;0
230;230;VB;VB;Vogelbeere;European rowan (Sorbus aucuparia);3162;NULL;0;1;1;NULL;NULL;;230;230;Sorbus;aucuparia;ALN;ES ;BU ;ALN;L;VB ;VB ;1;1;80028002;30935;30935;230;230;230;30001;32010;32295;30232;4;4;4;4;14;4;30011;30104;30108;30129;36;31000;31102;31000;230;Vbe;Vbe;1;230;5;29;12990;32767;9999;9999;0
240;240;WEI;WEI;Weide;willow;3163;NULL;0;1;1;NULL;NULL;;240;240;Salix;spec.;ALN;ES ;BU ;ALN;L;WEI;WEI;1;1;31001999;30936;30936;240;240;240;30001;32010;32240;30232;4;4;4;4;14;4;30011;30104;30107;30129;34;31000;31102;31000;240;Wie;Wie;1;240;5;29;12990;32767;9999;9999;0
250;250;GTK;GTK;Gewöhnliche Traubenkirsche;bird cherry (Prunus padus);3164;NULL;0;1;1;NULL;NULL;;250;250;Prunus;padus;ALN;ES ;BU ;ALN;L;KIR;KIR;1;1;80035017;30919;30919;250;250;250;30001;32010;32252;30232;4;4;4;4;14;4;30011;30104;30108;30129;29;31000;31102;31000;250;sLb;NULL;1;250;5;29;12990;32767;9999;9999;0
251;251;VK;VK;Vogelkirsche;wild cherry (Prunus avium);3165;NULL;0;1;1;NULL;NULL;;251;251;Prunus;avium;ALN;ES ;BU ;ALN;L;KIR;KIR;1;1;80035014;30919;30919;251;251;251;30001;32010;32252;30232;4;4;4;4;14;4;30011;30104;30107;30129;29;31000;31102;31000;251;Kir;Kir;1;251;5;29;12990;32767;9999;9999;0
252;252;STK;STK;Spätblühende Traubenkirsche;black cherry (Prunus serotina);3166;NULL;0;1;1;NULL;NULL;;252;252;Prunus;serotina;ALN;ES ;BU ;ALN;L;KIR;KIR;0;1;NULL;30919;30919;252;252;252;30000;32010;32252;30232;4;4;4;4;14;4;30011;30104;30107;30129;29;31000;31102;31000;252;sLb;NULL;0;252;5;29;12990;32767;9999;9999;0
290;290;SOLN;SOLN;Sonstige Lb. mit niedriger Lebensdauer;misc. deciduous trees with short life expectancy;3167;NULL;0;1;1;NULL;NULL;;290;290;_(ALN);(sonstige);ALN;ES ;BU ;ALN;L;SLB;SLB;1;0;999;30929;30929;290;290;290;30000;32010;32290;30232;4;4;4;4;14;4;30011;30104;30107;30129;35;31000;31102;31000;290;sLb;NULL;1;290;5;29;12990;32767;9999;9999;0
291;291;FAU;FAU;Gemeiner Faulbaum, Pulverholz;Alder Buckthorn (Rhamnus frangula);3168;NULL;0;1;0;NULL;NULL;Faulbaum gilt NICHT mehr als Baum, sondern als Strauch;NULL;291;Rhamnus;frangular;ALN;ES ;BU ;ALN;L;SLB;SLB;1;1;103004001;30929;30929;291;NULL;NULL;30001;32010;NULL;30232;4;4;4;4;14;4;30011;30104;30108;30129;35;31000;31102;31000;291;sLb;NULL;0;291;5;29;NULL;NULL;9999;9999;0
292;292;WAP;WAP;Holzapfel, Wildapfel;European crab apple (Malus sylvestris);3169;NULL;0;1;1;NULL;NULL;;292;292;Malus;sylvestris;ALN;ES ;BU ;ALN;L;SLB;SLB;1;1;80027003;30929;30929;292;292;292;30001;32010;32292;30232;4;4;4;4;14;4;30011;30104;30109;30129;35;31000;31102;31000;292;sLb;NULL;1;292;5;29;12990;32767;9999;9999;0
293;293;WBI;WBI;Holzbirne, Wildbirne;European wild pear (Pyrus pyraster);3170;NULL;0;1;1;NULL;NULL;;293;293;Pyrus;communis;ALN;ES ;BU ;ALN;L;SLB;SLB;1;1;80026013;30929;30929;293;293;293;30001;32010;32293;30232;4;4;4;4;14;4;30011;30104;30109;30129;35;31000;31102;31000;293;sLb;NULL;1;293;5;29;12990;32767;9999;9999;0
294;294;HAS;HAS;Baumhasel;Turkish hazel (Corylus colurna);3171;NULL;0;1;0;NULL;NULL;;290;290;Corylus;colurna;ALN;ES ;BU ;ALN;L;SLB;SLB;1;1;35003999;30929;30929;294;NULL;290;30001;32010;NULL;30232;4;4;4;4;14;4;30011;30104;30107;30129;35;31000;31102;31000;294;sLb;NULL;1;294;5;29;NULL;NULL;9999;9999;0
295;295;ELS;ELS;Elsbeere;wild service tree (Sorbus torminalis);3172;NULL;0;1;1;NULL;NULL;;295;295;Sorbus;torminalis;ALN;ES ;BU ;ALN;L;SLB;EL ;1;1;80028003;30909;30909;295;295;295;30001;32010;32295;30232;4;4;4;4;14;4;30011;30104;30109;30129;32;31000;31102;31000;295;sLb;NULL;1;295;5;29;12990;32767;9999;9999;0
296;296;GOT;GOT;Gemeiner Götterbaum;tree of heaven (Ailanthus altissima);3173;NULL;0;1;0;NULL;NULL;;290;290;Ailantus;altissima;ALN;ES ;BU ;ALN;L;SLB;SLB;0;1;NULL;30929;30929;296;NULL;290;30000;32010;NULL;30232;4;4;4;4;14;4;30011;30104;30107;30129;35;31000;31102;31000;296;sLb;NULL;0;290;5;29;NULL;NULL;9999;9999;0
299;299;ÜLN;ÜLN;Übrige Lb. mit niedriger Lebensdauer;remaining deciduous trees with short life expectancy;3174;NULL;0;1;0;NULL;NULL;;290;290;_(ÜLN);spec.;ALN;ES ;BU ;ALN;L;SLB;SLB;0;1;NULL;30929;30929;299;NULL;290;30000;32010;NULL;30232;4;4;4;4;14;4;30011;30104;30107;30129;35;31000;31102;31000;299;sLb;NULL;0;290;5;29;NULL;NULL;9999;9999;0
901;AH ;AH;AH;Ahorn;maple (Acer spec.);NULL;NULL;1;0;0;NULL;NULL;;NULL;901;Acer;spec.;ALH;ES ;BU ;ALH;L;AH ;AH ;1;1;NULL;30901;30901;-1;NULL;NULL;NULL;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;NULL;22;31000;31102;31000;140;Ah ;Ah ;0;NULL;5;14;NULL;NULL;9999;9999;0
902;BAH;BAH;BAH;Bergahorn;sycamore maple (Acer pseudoplatanus);NULL;NULL;1;0;0;NULL;NULL;;140;140;Acer;pseudoplatanus;ALH;ES ;BU ;ALH;L;BAH;BAH;1;1;NULL;30902;30902;-1;NULL;NULL;30001;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;NULL;23;31000;31102;31000;140;BAh;BAh;0;140;5;14;NULL;NULL;9999;9999;0
903;BI ;BI;BI;Birke;birch;NULL;NULL;1;0;0;NULL;NULL;;200;200;Betula;pendula;ALN;BI ;BU ;ALN;L;BI ;BI ;1;1;NULL;30903;30903;-1;NULL;NULL;30001;32011;32201;30228;4;4;4;4;14;4;30011;30104;30109;NULL;26;31000;31102;31000;200;Bi ;Bi ;0;200;5;20;NULL;NULL;9999;9999;0
904;BLB;BLB;BLB;Buntlaubbaum ?! = sLb;other deciduous trees with high life expectancy;NULL;NULL;1;0;0;NULL;NULL;;NULL;904;_(Lb.);spec.;ALH;ES ;BU ;ALH;L;BLB;BLB;1;1;NULL;30929;30904;-1;NULL;NULL;NULL;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;NULL;35;31000;31102;31000;190;sLb;NULL;0;NULL;5;19;NULL;NULL;9999;9999;0
905;BPA;BPA;BPA;Balsampappel;balsam poplar (Populus balsamifera);NULL;NULL;1;0;0;NULL;NULL;;224;224;Populus;trichocarpa x maximoviczii;ALN;PA ;BU ;ALN;L;BPA;BPA;1;1;NULL;30905;30905;-1;NULL;NULL;30000;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;NULL;20;31000;31102;31000;224;Pa ;Pa ;0;224;5;22;NULL;NULL;9999;9999;0
906;BU ;BU;BU;Buche;beech;3106;NULL;1;0;0;NULL;NULL;;100;100;Fagus;sylvatica;BU ;BU ;BU ;BU ;L;BU ;BU ;1;1;NULL;30906;30906;-1;NULL;NULL;30001;32007;32100;30226;1;1;1;1;11;1;30016;30104;30107;NULL;15;31000;31102;31000;100;RBu;RBu;0;100;5;10;NULL;NULL;9999;9999;0
907;DGL;DGL;DGL;Douglasie;Douglas fir (Pseudotsuga menziesii);NULL;NULL;1;0;0;NULL;NULL;;40;40;Pseudotsuga;menziesii;DGL;DGL;DGL;DGL;N;DGL;DGL;1;1;NULL;30907;30907;-1;NULL;NULL;30000;32004;32040;30223;5;7;7;7;17;NULL;30012;30103;30103;NULL;8;32000;31103;32000;40;Dgl;Dgl;0;40;2;4;NULL;NULL;9999;9999;0
908;EI ;EI;EI;Eiche;oak;3001;NULL;1;0;0;NULL;NULL;;NULL;908;Quercus;spec.;EI ;EI ;EI ;EI ;L;EI ;EI ;1;1;NULL;30908;30908;-1;NULL;NULL;NULL;32008;32112;30227;2;2;2;2;12;2;30013;30104;30107;NULL;17;31000;31101;31000;110;Ei ;Ei ;0;NULL;6;11;NULL;NULL;9999;9999;0
909;EL ;EL;EL;Elsbeere;wild service tree (Sorbus torminalis);NULL;NULL;1;0;0;NULL;NULL;;295;295;Sorbus;torminalis;ALN;ES ;BU ;ALN;L;SLB;EL ;1;1;NULL;30909;30909;-1;NULL;NULL;30001;32010;32295;30232;4;4;4;4;14;4;30011;30104;30109;NULL;32;31000;31102;31000;295;sLb;NULL;0;295;5;29;NULL;NULL;9999;9999;0
910;ELA;ELA;ELA;Europäische Lärche;European larch (Larix decidua);NULL;NULL;1;0;0;NULL;NULL;;50;50;Larix;decidua;LAE;ELA;LAE;LAE;N;ELA;ELA;1;1;NULL;30910;30910;-1;NULL;NULL;30001;32005;32051;30224;8;9;9;9;19;NULL;30012;30101;30105;NULL;10;32000;31104;32000;50;ELa;ELa;0;50;4;5;NULL;NULL;9999;9999;0
911;ERL;ERL;ERL;Erle;alder;NULL;NULL;1;0;0;NULL;NULL;;210;210;Alnus;spec.;ALN;ERL;BU ;ALN;L;ERL;ERL;1;1;NULL;30911;30911;-1;NULL;NULL;NULL;32012;32212;30229;4;4;4;4;14;4;30011;30104;30109;NULL;28;31000;31102;31000;210;Er ;Er ;0;210;5;21;NULL;NULL;9999;9999;0
912;ES ;ES;ES;Esche;ash;NULL;NULL;1;0;0;NULL;NULL;;120;120;Fraxinus;excelsior;ALH;ES ;BU ;ALH;L;ES ;ES ;1;1;NULL;30912;30912;-1;NULL;NULL;30001;32010;32120;30230;1;3;3;3;14;3;30011;30104;30106;NULL;21;31000;31102;31000;120;GEs;NULL;0;120;5;12;NULL;NULL;9999;9999;0
913;FAH;FAH;FAH;Feldahorn;field maple (Acer campestre);NULL;NULL;1;0;0;NULL;NULL;;142;142;Acer;campestre;ALH;ES ;BU ;ALH;L;FAH;FAH;1;1;NULL;30913;30913;-1;NULL;NULL;30001;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;NULL;25;31000;31102;31000;142;Ah ;Ah ;0;142;5;14;NULL;NULL;9999;9999;0
914;FI ;FI;FI;Fichte;spruce;NULL;NULL;1;0;0;NULL;NULL;;10;10;Picea;abies;FI ;FI ;FI ;FI ;N;FI ;FI ;1;1;NULL;30914;30914;-1;NULL;NULL;NULL;32001;32019;30221;5;5;5;5;15;NULL;30014;30101;30101;NULL;1;32000;31103;32000;10;GFi;GFi;0;10;0;1;NULL;NULL;9999;9999;0
915;HBU;HBU;HBU;Hainbuche (Weißbuche);hornbeam;NULL;NULL;1;0;0;NULL;NULL;;130;130;Carpinus;betulus;ALH;ES ;BU ;ALH;L;HBU;HBU;1;1;NULL;30915;30915;-1;NULL;NULL;30001;32010;32130;30231;1;3;3;3;14;3;30011;30104;30108;NULL;16;31000;31102;31000;130;Hbu;Hbu;0;130;5;19;NULL;NULL;9999;9999;0
916;JLA;JLA;JLA;Japanische Lärche;Japanese larch (Larix kaempferi);NULL;NULL;1;0;0;NULL;NULL;;51;51;Larix;kaempferi;LAE;JLA;LAE;LAE;N;JLA;JLA;1;1;NULL;30916;30916;-1;NULL;NULL;30000;32006;32051;30224;8;9;9;9;19;NULL;30012;30101;30105;NULL;11;32000;31104;32000;51;JLa;JLa;0;51;4;5;NULL;NULL;9999;9999;0
917;KA ;KA;KA;Kastanie (Roßkastanie);horse chestnut (Aesculus hippocastanum);NULL;NULL;1;0;0;NULL;NULL;;180;180;Aesculus;hippocastanum;ALH;ES ;BU ;ALH;L;KA ;KA ;1;1;NULL;30917;30917;-1;NULL;NULL;NULL;32010;NULL;30231;1;3;3;3;14;3;30011;30104;30107;NULL;33;31000;31102;31000;180;sLb;NULL;0;180;5;19;NULL;NULL;9999;9999;0
918;KI ;KI;KI;Kiefer;pine;NULL;NULL;1;0;0;NULL;NULL;;20;20;Pinus;sylvestris;KI ;KI ;KI ;KI ;N;KI ;KI ;1;1;NULL;30918;30918;-1;NULL;NULL;NULL;32003;32029;30222;8;8;8;8;18;NULL;30015;30101;30104;NULL;5;32000;31104;32000;20;Ki ;Ki ;0;20;3;2;NULL;NULL;9999;9999;0
919;KIR;KIR;KIR;Kirsche;Prunus spec.;NULL;NULL;1;0;0;NULL;NULL;;NULL;919;Sorbus;spec.;ALN;ES ;BU ;ALN;L;KIR;KIR;1;1;NULL;30919;30919;-1;NULL;NULL;NULL;32010;32295;30231;4;4;4;4;14;4;30011;30104;30107;NULL;29;31000;31102;31000;190;Kir;Kir;0;NULL;5;29;NULL;NULL;9999;9999;0
920;KTA;KTA;KTA;Küstentanne;Grand fir (Abies grandis);NULL;NULL;1;0;0;NULL;NULL;;33;33;Abies;grandis;TA ;TA ;TA ;TA ;N;KTA;KTA;1;1;NULL;30920;30920;-1;NULL;NULL;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30103;NULL;4;32000;31103;32000;33;KTa;KTa;0;39;1;4;NULL;NULL;9999;9999;0
921;LAE;LAE;LAE;Lärche;larch;NULL;NULL;1;0;0;NULL;NULL;;NULL;921;Larix;spec.;LAE;ELA;LAE;LAE;N;LAE;LAE;1;1;NULL;30921;30921;-1;NULL;NULL;NULL;32005;32051;30224;8;9;9;9;19;NULL;30012;30101;30105;NULL;9;32000;31104;32000;50;Lae;Lae;0;NULL;4;5;NULL;NULL;9999;9999;0
922;LI ;LI;LI;Linde;linden tree;NULL;NULL;1;0;0;NULL;NULL;;150;150;Tilia;spec.;ALH;ES ;BU ;ALH;L;LI ;LI ;1;1;NULL;30922;30922;-1;NULL;NULL;NULL;32010;32150;30231;1;3;3;3;14;3;30011;30104;30107;NULL;27;31000;31102;31000;150;Li ;Li ;0;150;5;19;NULL;NULL;9999;9999;0
923;PA ;PA;PA;Pappel;poplar;NULL;NULL;1;0;0;NULL;NULL;;NULL;923;Populus;spec.;ALN;PA ;BU ;ALN;L;PA ;PA ;1;1;NULL;30923;30923;-1;NULL;NULL;NULL;32013;32224;30232;4;4;4;4;14;4;30011;30104;30107;NULL;19;31000;31102;31000;220;Pa ;Pa ;0;NULL;5;22;NULL;NULL;9999;9999;0
924;REI;REI;REI;Roteiche;Northern red oak (Quercus rubra);3003;NULL;1;0;0;NULL;NULL;;112;112;Quercus;rubra;EI ;REI;BU ;ALH;L;REI;REI;1;1;NULL;30924;30924;-1;NULL;NULL;30000;32009;32112;30227;2;2;2;2;12;2;30011;30104;30106;NULL;18;31000;31101;31000;112;REi;REi;0;112;6;10;NULL;NULL;9999;9999;0
925;ROB;ROB;ROB;Robinie;black locust (Robinia pseudoacacia);NULL;NULL;1;0;0;NULL;NULL;;160;160;Robinia;pseudoacacia;ALH;ES ;BU ;ALH;L;ROB;ROB;1;1;NULL;30925;30925;-1;NULL;NULL;30000;32010;32160;30231;1;3;3;3;14;3;30011;30104;30107;NULL;31;31000;31102;31000;160;Rob;Rob;0;160;5;19;NULL;NULL;9999;9999;0
926;SAH;SAH;SAH;Spitzahorn;Norway maple (Acer platanoides);NULL;NULL;1;0;0;NULL;NULL;;141;141;Acer;platanoides;ALH;ES ;BU ;ALH;L;SAH;SAH;1;1;NULL;30926;30926;-1;NULL;NULL;30001;32010;32142;30231;1;3;3;3;14;3;30011;30104;30107;NULL;24;31000;31102;31000;141;SAh;SAh;0;141;5;14;NULL;NULL;9999;9999;0
927;SFI;SFI;SFI;Sitkafichte;sitka spruce (Picea sitchensis);NULL;NULL;1;0;0;NULL;NULL;;12;12;Picea;sitchensis;FI ;FI ;FI ;FI ;N;SFI;SFI;1;1;NULL;30927;30927;-1;NULL;NULL;30000;32001;32019;30221;5;5;5;5;15;NULL;30012;30101;30101;NULL;2;32000;31103;32000;12;SFi;SFi;0;19;0;1;NULL;NULL;9999;9999;0
928;SKI;SKI;SKI;Schwarzkiefer;European black pine (Pinus nigra);NULL;NULL;1;0;0;NULL;NULL;;22;22;Pinus;nigra;KI ;KI ;KI ;KI ;N;SKI;SKI;1;1;NULL;30928;30928;-1;NULL;NULL;30001;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;NULL;6;32000;31104;32000;22;SKi;SKi;0;22;3;2;NULL;NULL;9999;9999;0
929;SLB;SLB;SLB;sonstige Laubbäume;other deciduous trees;NULL;NULL;1;0;0;NULL;NULL;;NULL;929;_(Lb.);spec.;ALN;ES ;BU ;ALN;L;SLB;SLB;1;1;NULL;30929;30929;-1;NULL;NULL;NULL;32010;NULL;30232;4;4;4;4;14;4;30011;30104;30107;NULL;35;31000;31102;31000;190;sLb;NULL;0;NULL;5;29;NULL;NULL;9999;9999;0
930;SNB;SNB;SNB;sonstige Nadelbäume;other coniferous trees;NULL;NULL;1;0;0;NULL;NULL;;NULL;930;_(Nb.);spec.;FI ;FI ;FI ;FI ;N;SNB;SNB;1;1;NULL;30930;30930;-1;NULL;NULL;NULL;32001;32090;30221;5;5;5;5;15;NULL;30012;30101;30101;NULL;14;32000;31103;32000;90;sNb;NULL;0;NULL;0;1;NULL;NULL;9999;9999;0
931;TA ;TA;TA;Tanne;fir;NULL;NULL;1;0;0;NULL;NULL;;39;39;Abies;alba;TA ;TA ;TA ;TA ;N;TA ;TA ;1;1;NULL;30931;30931;-1;NULL;NULL;30000;32002;32039;30225;5;6;6;6;16;NULL;30012;30102;30102;NULL;3;32000;31103;32000;30;Ta ;Ta ;0;30;1;3;NULL;NULL;9999;9999;0
932;THU;THU;THU;Thuja;Thuja spec.;NULL;NULL;1;0;0;NULL;NULL;;90;90;Thuja;spec.;FI ;FI ;FI ;FI ;N;THU;THU;1;1;NULL;30932;30932;-1;NULL;NULL;NULL;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;NULL;12;32000;31103;32000;91;sNb;NULL;0;90;0;1;NULL;NULL;9999;9999;0
933;TSU;TSU;TSU;Tsuga;Tsuga spec.;NULL;NULL;1;0;0;NULL;NULL;;90;90;Tsuga;spec.;FI ;FI ;FI ;FI ;N;TSU;TSU;1;1;NULL;30933;30933;-1;NULL;NULL;NULL;32001;NULL;30221;5;5;5;5;15;NULL;30012;30101;30101;NULL;13;32000;31103;32000;10;sNb;NULL;0;90;0;1;NULL;NULL;9999;9999;0
934;UL ;UL;UL;Ulme (Rüster);elm;NULL;NULL;1;0;0;NULL;NULL;;170;170;Ulmus;spec.;ALH;ES ;BU ;ALH;L;UL ;UL ;1;1;NULL;30934;30934;-1;NULL;NULL;NULL;32010;32170;30231;1;3;3;3;14;3;30011;30104;30107;NULL;30;31000;31102;31000;170;Ul ;Ul ;0;170;5;19;NULL;NULL;9999;9999;0
935;VB ;VB;VB;Vogelbeere;European rowan (Sorbus aucuparia);NULL;NULL;1;0;0;NULL;NULL;;230;230;Sorbus;aucuparia;ALN;ES ;BU ;ALN;L;VB ;VB ;1;1;NULL;30935;30935;-1;NULL;NULL;30001;32010;32295;30232;4;4;4;4;14;4;30011;30104;30108;NULL;36;31000;31102;31000;230;Vbe;Vbe;0;230;5;29;NULL;NULL;9999;9999;0
936;WEI;WEI;WEI;Weide;willow;NULL;NULL;1;0;0;NULL;NULL;;240;240;Salix;spec.;ALN;ES ;BU ;ALN;L;WEI;WEI;1;1;NULL;30936;30936;-1;NULL;NULL;30001;32010;32240;30232;4;4;4;4;14;4;30011;30104;30107;NULL;34;31000;31102;31000;240;Wie;Wie;0;240;5;29;NULL;NULL;9999;9999;0
937;WEY;WEY;WEY;Weymouthkiefer;eastern white pine (Pinus strobus);NULL;NULL;1;0;0;NULL;NULL;;25;25;Pinus;strobus;KI ;KI ;KI ;KI ;N;WEY;WEY;1;1;NULL;30937;30937;-1;NULL;NULL;30000;32003;32029;30222;8;8;8;8;18;NULL;30012;30101;30104;NULL;7;32000;31104;32000;25;sNb;NULL;0;29;3;2;NULL;NULL;9999;9999;0
950;Bl ;Blöße;temp.unstocked area;Blöße;temporarily unstocked area;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NULL;NULL;1;1;0;NULL;NULL;;950;950;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10;NULL;NULL;NULL;NULL;-1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;952;NULL;NULL;NULL;NULL;9999;9999;0;;;;;
951;Lü ;Lücke;gap;Lücke;gap;NULL;NULL;1;1;0;NULL;NULL;;951;951;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;11;11;NULL;NULL;NULL;NULL;-1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;951;NULL;NULL;NULL;NULL;9999;9999;0
