bfhnr;bart;N-Gehalt [g/kg];Moor oder nicht;;;;;;;;
30602;Gewoehnliche Fichte;12,45;nicht Moor;;;;;;;;
30602;Gewoehnliche Fichte;13,38;nicht Moor;;;;;;;;
30602;Gewoehnliche Fichte;13,78;nicht Moor;;;;;;;;
30603;Gewoehnliche Fichte;16,8;nicht Moor;;;;;;;;
30603;Gewoehnliche Fichte;16,18;nicht Moor;;;;;;;;
30603;Gewoehnliche Fichte;14,51;nicht Moor;;;;;;;;
30604;Gewoehnliche Fichte;14,74;nicht Moor;;;;;;;;
30604;Gewoehnliche Fichte;13,64;nicht Moor;;;;;;;;
30604;Gewoehnliche Fichte;15,11;nicht Moor;;;;;;;;
30605;Gewoehnliche Fichte;16,54;nicht Moor;;;;;;;;
30605;Gewoehnliche Fichte;16,2;nicht Moor;;;;;;;;
30605;Gewoehnliche Fichte;15,2;nicht Moor;;;;;;;;
30606;Gewoehnliche Fichte;16,77;nicht Moor;;;;;;;;
30606;Gewoehnliche Fichte;15,03;nicht Moor;;;;;;;;
30606;Gewoehnliche Fichte;13,63;nicht Moor;;;;;;;;
30607;Gewoehnliche Fichte;18,16;nicht Moor;;;;;;;;
30607;Gewoehnliche Fichte;15,86;nicht Moor;;;;;;;;
30607;Gewoehnliche Fichte;12,9603;nicht Moor;;;;;;;;
30611;Gewoehnliche Fichte;16,39;nicht Moor;;;;;;;;
30611;Gewoehnliche Fichte;15,15;nicht Moor;;;;;;;;
30611;Gewoehnliche Fichte;14,61;nicht Moor;;;;;;;;
30612;Gewoehnliche Kiefer;15,64;nicht Moor;;;;;;;;
30612;Gewoehnliche Kiefer;14,96;nicht Moor;;;;;;;;
30614;Gewoehnliche Kiefer;20,04;nicht Moor;;;;;;;;
30614;Gewoehnliche Kiefer;17,6;nicht Moor;;;;;;;;
30615;Gewoehnliche Kiefer;15,93;nicht Moor;;;;;;;;
30615;Gewoehnliche Kiefer;21,15;nicht Moor;;;;;;;;
30617;Gewoehnliche Kiefer;17,48;nicht Moor;;;;;;;;
30617;Gewoehnliche Kiefer;16,92;nicht Moor;;;;;;;;
30618;Gewoehnliche Kiefer;18,75;nicht Moor;;;;;;;;
30618;Gewoehnliche Kiefer;17,19;nicht Moor;;;;;;;;
30619;Gewoehnliche Kiefer;17,68;nicht Moor;;;;;;;;
30619;Gewoehnliche Kiefer;15,87;nicht Moor;;;;;;;;
30620;Gewoehnliche Kiefer;17,51;nicht Moor;;;;;;;;
30620;Gewoehnliche Kiefer;17,3;nicht Moor;;;;;;;;
30621;Gewoehnliche Kiefer;15,73;nicht Moor;;;;;;;;
30621;Gewoehnliche Kiefer;17;nicht Moor;;;;;;;;
30623;Gewoehnliche Kiefer;18,65;nicht Moor;;;;;;;;
30623;Gewoehnliche Kiefer;17,01;nicht Moor;;;;;;;;
30624;Gewoehnliche Kiefer;18,74;nicht Moor;;;;;;;;
30624;Gewoehnliche Kiefer;22,66;nicht Moor;;;;;;;;
30625;Gewoehnliche Kiefer;19,12;nicht Moor;;;;;;;;
30625;Gewoehnliche Kiefer;21,75;nicht Moor;;;;;;;;
30626;Gewoehnliche Fichte;17,25;nicht Moor;;;;;;;;
30626;Gewoehnliche Fichte;19,06;nicht Moor;;;;;;;;
30626;Gewoehnliche Fichte;19,88;nicht Moor;;;;;;;;
30626;Gewoehnliche Kiefer;18,3;nicht Moor;;;;;;;;
30626;Gewoehnliche Kiefer;19,01;nicht Moor;;;;;;;;
30627;Gewoehnliche Fichte;14,56;nicht Moor;;;;;;;;
30627;Gewoehnliche Fichte;15,22;nicht Moor;;;;;;;;
30627;Gewoehnliche Fichte;14,67;nicht Moor;;;;;;;;
30627;Gewoehnliche Kiefer;15,25;nicht Moor;;;;;;;;
30627;Gewoehnliche Kiefer;17,9;nicht Moor;;;;;;;;
30628;Gewoehnliche Kiefer;18,22;nicht Moor;;;;;;;;
30628;Gewoehnliche Kiefer;17,92;nicht Moor;;;;;;;;
30629;Gewoehnliche Kiefer;18,06;nicht Moor;;;;;;;;
30629;Gewoehnliche Kiefer;17,15;nicht Moor;;;;;;;;
30630;Gewoehnliche Kiefer;16,18;nicht Moor;;;;;;;;
30630;Gewoehnliche Kiefer;16,92;nicht Moor;;;;;;;;
30631;Gewoehnliche Kiefer;21,13;nicht Moor;;;;;;;;
30631;Gewoehnliche Kiefer;21,59;nicht Moor;;;;;;;;
30632;Gewoehnliche Fichte;17,54;nicht Moor;;;;;;;;
30632;Gewoehnliche Fichte;15,14;nicht Moor;;;;;;;;
30632;Gewoehnliche Fichte;14,8;nicht Moor;;;;;;;;
30632;Gewoehnliche Kiefer;18,13;nicht Moor;;;;;;;;
30632;Gewoehnliche Kiefer;19,01;nicht Moor;;;;;;;;
30633;Gewoehnliche Fichte;17,81;nicht Moor;;;;;;;;
30633;Gewoehnliche Fichte;15,21;nicht Moor;;;;;;;;
30633;Gewoehnliche Fichte;13,24;nicht Moor;;;;;;;;
30634;Gewoehnliche Fichte;19,2;nicht Moor;;;;;;;;
30634;Gewoehnliche Fichte;16,69;nicht Moor;;;;;;;;
30634;Gewoehnliche Fichte;15,68;nicht Moor;;;;;;;;
30634;Gewoehnliche Kiefer;19,86;nicht Moor;;;;;;;;
30634;Gewoehnliche Kiefer;21,41;nicht Moor;;;;;;;;
30635;Gewoehnliche Kiefer;20,08;nicht Moor;;;;;;;;
30635;Gewoehnliche Kiefer;21,49;nicht Moor;;;;;;;;
30637;Gewoehnliche Fichte;18,44;nicht Moor;;;;;;;;
30637;Gewoehnliche Fichte;19,22;nicht Moor;;;;;;;;
30637;Gewoehnliche Fichte;12,87;nicht Moor;;;;;;;;
30638;Gewoehnliche Kiefer;18,99;nicht Moor;;;;;;;;
30638;Gewoehnliche Kiefer;19,13;nicht Moor;;;;;;;;
30639;Gewoehnliche Kiefer;22,55;nicht Moor;;;;;;;;
30639;Gewoehnliche Kiefer;19,98;nicht Moor;;;;;;;;
30640;Gewoehnliche Kiefer;20,92;nicht Moor;;;;;;;;
30640;Gewoehnliche Kiefer;21,85;nicht Moor;;;;;;;;
30641;Gewoehnliche Fichte;21,15;nicht Moor;;;;;;;;
30641;Gewoehnliche Fichte;16,74;nicht Moor;;;;;;;;
30641;Gewoehnliche Fichte;14,81;nicht Moor;;;;;;;;
30642;Gewoehnliche Kiefer;20,02;nicht Moor;;;;;;;;
30642;Gewoehnliche Kiefer;21,77;nicht Moor;;;;;;;;
